acqsysID:ID,name,component_name,title,description,:LABEL
acqsys007749,516 AESW Oracle,516 AESW Oracle,516TH AERONAUTICAL SYSTEMS WING ORACLE SYSTEM,"The 516 AESW Oracle systems is an unclassified systems developed by the AF to support the Mobility and Training Aircraft (MATAC) and Presidential Executive and Airlift (PE) Directorates. It includes multiple applications used by directorate personnel that is accessible via a web interface. MATAC and PE Directorate Personnel/Equipment Database application tracks personnel in/out processing, assignment of IT equipment and wireless devices (iPhones, iPads, etc.). The EPASS Management Utility tracks in-house general contracts information and modifications to those contracts. The systems is not mission essential to the warfighter, but is mission essential to the MATAC and PE Directorates. This systems does not meet the criteria for Internal Use Software (IUS) reporting.",AcquisitionSystem
acqsys009690,A-10 3DM,A-10 3DM,A-10 3D MODEL DATA MANAGEMENT SYSTEM,"A-10 3DM is a COTS application titled TeamCenter Unified and stores master 3-dimensional solid models of the A-10 thick-skin wing. It is also used to manage the engineering change process with electronic approval workflows. The application is licensed by OO-ALC/GHAEC, and requires access by the contractor creating 3D models and the contractor building replacement A-10 wings. This COTS application is server-based and covered under the C&A package of the Hill Enterprise Data Center (HEDC), hosting systems EITDR # BI0009HS.",AcquisitionSystem
acqsys001314,A-10 DDB,A-10 DDB,A-10 DRAWING DATABASE,"It allows engineers to simultaneously access TOs, Drawings, Specs, and TCTOs. Can quickly call up drawings referenced in a TO just by clicking on the TO drawing reference. Same thing is true for the specifications and TCTOs. This will save us literally hundreds of man hours per year.Accountability and Capitalization A&C Suspense: systems is IUS and is not tracked in EITDR due to not meeting the monetary threshold of $100,00.00.",AcquisitionSystem
acqsys002543,AAIS,AAIS,AUTOMATED ACQUISITION INFORMATION SYSTEM,"ACC-RI public facing webpage, AAIS functionality has bene subsumed by ASFI and ArmyHire respectively. The original date for this to be completed was 30 Sep 13. However the transfer of this application is currently pushed back.",AcquisitionSystem
acqsys060001,AAMS ,AAMS ,AAMS (Automated Acquisition Management Solution),"The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle. This software solution provides the technology to manage all phases of acquisition including planning, requisition creation, solicitation publishing, award and closeout. AAMS collects procurement information from the Request for Procurement Action (RFPA) and vendor information from the System for Award Management (SAM) which has a built-in proprietary database, used to prepopulate data fields for procurement documentation.",AcquisitionSystem
acqsys060002,AAMS ,AAMS ,AAMS (Automated Acquisition Management Solution),"The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle. This software solution provides the technology to manage all phases of acquisition including planning, requisition creation, solicitation publishing, award and closeout. AAMS collects procurement information from the Request for Procurement Action (RFPA) and vendor information from the System for Award Management (SAM) which has a built-in proprietary database, used to prepopulate data fields for procurement documentation.",AcquisitionSystem
acqsys060003,AAMS ,AAMS ,AAMS (Automated Acquisition Management Solution),"The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle. This software solution provides the technology to manage all phases of acquisition including planning, requisition creation, solicitation publishing, award and closeout. AAMS collects procurement information from the Request for Procurement Action (RFPA) and vendor information from the System for Award Management (SAM) which has a built-in proprietary database, used to prepopulate data fields for procurement documentation.",AcquisitionSystem
acqsys060004,AAMS ,AAMS ,AAMS (Automated Acquisition Management Solution),"The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle. This software solution provides the technology to manage all phases of acquisition including planning, requisition creation, solicitation publishing, award and closeout. AAMS collects procurement information from the Request for Procurement Action (RFPA) and vendor information from the System for Award Management (SAM) which has a built-in proprietary database, used to prepopulate data fields for procurement documentation.",AcquisitionSystem
acqsys060005,AAMS ,AAMS ,AAMS (Automated Acquisition Management Solution),"The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle. This software solution provides the technology to manage all phases of acquisition including planning, requisition creation, solicitation publishing, award and closeout. AAMS collects procurement information from the Request for Procurement Action (RFPA) and vendor information from the System for Award Management (SAM) which has a built-in proprietary database, used to prepopulate data fields for procurement documentation.",AcquisitionSystem
acqsys060006,AAMS ,AAMS ,AAMS (Automated Acquisition Management Solution),"The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle. This software solution provides the technology to manage all phases of acquisition including planning, requisition creation, solicitation publishing, award and closeout. AAMS collects procurement information from the Request for Procurement Action (RFPA) and vendor information from the System for Award Management (SAM) which has a built-in proprietary database, used to prepopulate data fields for procurement documentation.",AcquisitionSystem
acqsys060007,AAMS ,AAMS ,AAMS (Automated Acquisition Management Solution),"The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle. This software solution provides the technology to manage all phases of acquisition including planning, requisition creation, solicitation publishing, award and closeout. AAMS collects procurement information from the Request for Procurement Action (RFPA) and vendor information from the System for Award Management (SAM) which has a built-in proprietary database, used to prepopulate data fields for procurement documentation.",AcquisitionSystem
acqsys060008,AAMS ,AAMS ,AAMS (Automated Acquisition Management Solution),"The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle. This software solution provides the technology to manage all phases of acquisition including planning, requisition creation, solicitation publishing, award and closeout. AAMS collects procurement information from the Request for Procurement Action (RFPA) and vendor information from the System for Award Management (SAM) which has a built-in proprietary database, used to prepopulate data fields for procurement documentation.",AcquisitionSystem
acqsys060009,AAMS ,AAMS ,AAMS (Automated Acquisition Management Solution),"The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle. This software solution provides the technology to manage all phases of acquisition including planning, requisition creation, solicitation publishing, award and closeout. AAMS collects procurement information from the Request for Procurement Action (RFPA) and vendor information from the System for Award Management (SAM) which has a built-in proprietary database, used to prepopulate data fields for procurement documentation.",AcquisitionSystem
acqsys006207,AAP,AAP,ADVANCED acquisition PLAN,"The purpose of this application/business intelligence program is to track the status of all actions for subordinate activities. Users include Army Sustainment Command (ASC) contracting, Installation Support Office and ASC sub-ordinate installations. Inputs consist of planned acquisitions for each subordinate Installation (Blue Grass, Crane, Tooele, McAlester, Pine Bluff) to the Advanced Acquisition Plan Data Tracker function of the Metric Management Reporting systems (MMRS). Data is transferred from the MMRS systems into the Advanced Acquisition Plan Database which is a Microsoft Access program resident on an individual's pc. The AAP database is maintained throughout each FY and produces numerous acquisition reports. Acquisition Planning as required by the ASC PARC. Enterprise solution: Web portal",AcquisitionSystem
acqsys000402,ACASS,ACASS,ARCHITECT-ENGINEERS CONTRACT ADMINISTRATION SUPPORT SYSTEM,"ACASS is used for the preparation of performance evaluations of A-E contractors, collection of A-E qualifications, and reporting of DoD awards to A-E firms. CCASS is used for the preparation of performance evaluations of construction contractors.",AcquisitionSystem
acqsys001294,ACBIS,ACBIS,ARMY CONTRACTING BUSINESS INTELLIGENCE SYSTEM,"Army Contracting Business Intelligence systems (ACBIS) is a web-based business intelligence (BI) systems that extracts contract data populated in the two Army contract writing systemss (SPS and PADDS) and populates that data in a data warehouse which is used for real time query purposes. SPS consists of 200+ individual databases aligned to each of the Army CONUS and OCONUS contracting offices. With ACBIS creating metrics and other strategic queries is performed easier from the central BI data warehouse, as opposed to compiling data derived from 200+ databases via a manual data call. Using ACBIS Army contracting leadership has the capability to analyze contracting data using standard reports or ad hoc queries. The BI application provides authorized users a tool to assist with data analysis and provides access to near real time operational contract obligation information, cross indexed to other data sources that provides a greater insight into contracting business operations. ACBIS obtains data from other systemss such as the Federal Procurement Data systems-Next Generation (FPDS-NG), the Wide Area Workflow (WAWF) Electronic Document Access (EDA) database, and the Contractor Performance Assessment Reporting systems (CPARS). The ACBIS systems is designed to share and exchange key management information vertically and horizontally between and among the Army Contracting Environment, both OCONUS and CONUS.",AcquisitionSystem
acqsys001514,ACE-C,ACE-C,ACQUISITION AND CONTRACTS E-COMMERCE,"ACE-C is an integrated end-to-end SPAWAR Claimancy 2.0 electronic commerce systems supporting SPAWAR and associated claimants business activities. ACE-C seamlessly integrates components such as SPAWAR E-Commerce Central (ECC), E-Commerce Select (ECS), WEBX/AX Contracts Imaging Document Management systems (CIDMS), PD2 also known as the Standard Procurement systems (SPS) and the Acquisition Source Selection Interactive Support Tool (ASSIST) to provide online acquisition, automated solicitations posting, and offer evaluation support as well as automated contracts archiving. ACE-C is a complete automation support and workflow systems providing automation tools for the entire consolidated end to end procurement process from requirements definition and receipt to acquisition planning, solicitation, award, administration, and closeout. Day to day operation of ACE-C is managed by SPAWAR HQ 2.0 Paperless Initiatives Office.",AcquisitionSystem
acqsys002554,ACINTERN,ACINTERN,ACQUISITION INTERNS INTRANET WEB SITE,"The systems will assist the AC Interns in developing the broad acquisition knowledge, outstanding business and management insight, and demonstrated expertise in developing and applying effective business solutions.",AcquisitionSystem
acqsys002555,ACINTERWS,ACINTERWS,ACQUISITION CENTER INTERNET WEBDESK,"APPLICATIONBENEFITS: Acquisition Center Internet WEBDESK (ACINTERWS) is the AMCOM Acquisition Center's (AC) public internet website which contains links, reports, or forms of an acquisition nature that are viewable by the public sector. These items are categorized / broken out onto the following pages within this application:1. Visitor Information2. Current AMCOM Business Opportunities3. Current AMCOM Business Opportunities Army Single Face to Industry (ASFI)4. Competition Advocates Shopping List (CASL) - Planned AMCOM Business Opportunities5. Special Notice for Service Disabled Veteran Owned Small Business6. Wide Area Work Flow (WAWF)7. List of Forms/Checklists used by Acquisition such as the Engineering Change Proposal (ECP)/ form8. List of AMCOM Local Clauses broken out by Missile and Aviation9. Procurement History Records (PHR) listed by Missile and Aviation10. Links to all of Team Redstone Tenants11. Links to other sites such as the Department of the Army (DA), Department of Defense (DoD), Freedom of Information Act (FOIA)12. Others that might be useful to Acquisition ACINTERWS were internally developed and provide real time processing, links, and static data reports. This product is both a web-content managed and a web-application with an Oracle database on a UNIX platform. AMCs Procurement Data and Document systems (PADDS) pushes PDF files, Excel spreadsheets, and Word documents to the ACINTERWS application.NO ADDITIONAL CAPABILITIES / FUNCTIONALITIES IDENTIFIED.",AcquisitionSystem
acqsys007374,ACINTRAWS,ACINTRAWS,ACQUISITION CENTER INTRANET WEBDESK,"APPLICATIONBENEFITS: ACINTRAWS is the AMCOM Acquisition Center's (AC) private intranet WEBDESK which provides a central point to obtain information. This is done by providing links to a number of sites applicable to and owned by the AC as well as external sites of interest to AC personnel. ACINTRAWS allows AC administrative control over personnel that view and /or modify data residing in this product. This product was internally developed and provides real time processing. This product is both a web-content managed and a web-application with an Oracle database on a UNIX platform. While this ACINTRAWS provides links to other applications, it does not interface (pull data from or push data to) with any other product.NO ADDITIONAL CAPABILITIES / FUNCTIONALITIES IDENTIFIED.",AcquisitionSystem
acqsys006208,ACL,ACL,ADVANCED CONCEPTS LABORATORY,"This interactive facility is equipped for design and analysis of 3-D advanced vehicle models. Animation and stereo imaging tools are available, providing the capability for interactive concept design reviews. The Advanced Concepts Team (ACT) is the Army's premier laboratory for the development of Virtual prototype representations of innovative, future Army systemss for the near, mid and far term. The Advanced Concepts Laboratory's Computer Aided Design (CAD) facility is a stand-alone systems in a secure area that allows the ACT to work on classified projects involving the development of future vehicle concepts. The CAD facility is equipped with state-of-the-art Computer Aided Design, visualization, animation and analysis equipment.",AcquisitionSystem
acqsys001315,ACMB-52LPT,ACMB-52LPT,ACM B-52 LOADED PYLON TEST,This CPCI is used to verified that pylon loaded with one to six missiles is ready for transfer to the flight for uploading on a B-52 aircraft and isolat faults to a pylon or missile.,AcquisitionSystem
acqsys001316,ACMESTSFLS,ACMESTSFLS,ACM ESTS FLIGHT LOAD SOFTWARE,This CPCI is used to load the Air Vehicle Digital Computer Unit (ADCU) Operational Flight Software (OFS) into an Air Vehicle (A/V) in readiness for flight and provides associated security declassification functions. OFS is not included.,AcquisitionSystem
acqsys001317,ACMFGS/W,ACMFGS/W,ACM FIELD GUIDANCE SOFTWARE,This CPCI is used to provide overall control of the Inertial Reference Unit (IRU) and to implement the required modes and functions to perform a field calibration of the Air Vehicle Digital Computer Unit (ADCU).,AcquisitionSystem
acqsys001318,ACML1/2,ACML1/2,ACM LEVEL 1/LEVEL 2 TEST,This CPCI is used to verify that an AGM-129 air vehicle isoperating properly so as to be ready for load of Operational Flight Software and storage an a pylon,AcquisitionSystem
acqsys002562,ACPO,ACPO,ACQUISITION CENTER POLICY OFFICE QUICK CLICK PLACE,"APPLICATIONBENEFITS: Acquisition Center Policy Office Quick Click Place (ACPO) is a public website which was internally developed for AMCOM Acquisition Center (AC) to post acquisition regulations, information, and training in various formats such as Word documents, PDF files, and Excel spreadsheets. The information provided by ACPO is broken out into six groups:1. What's New: Listing of new regulations, information, training, etc. that has recently been added.2. Local Acquisition Regulation / Information: Listing of documents, regulations, guidance, etc. which is relevant to the Acquisition Center.3. Higher Acquisition Regs & Information: Links to regs and information at higher organization's level.4. Acquisition Reform Information & Links: Links to The AMC-Wide Acquisition Newsletter's publications.5. Quick Help Guide: General help guidance pertinent to the Acquisition Center.6. Upcoming Training: List of future training relevant to the Acquisition Center.ACPO is an HTML content-managed site on a UNIX platform. ACPO is an HTML content-managed site on a UNIX platform. ACPO does not interface with any other products.NO ADDITIONAL CAPABILITIES / FUNCTIONALITIES IDENTIFIED.",AcquisitionSystem
acqsys000403,ACPS,ACPS,AUTOMATED CONTRACT PREPARATION SYSTEM,Contract writing systems for Logistics buying organizations. ACPS is currently in sustainment with analysis of its future status currently underway. ACPS is included in AFMC's portfolio management and CPIC processes and is reviewed twice yearly to ensure alignment with mission goals and objectives are met with lowest lifecycle cost and least risk. AFEMS/AIM reporting not required -- Implemented/Accepted prior to 9/30/2000; no development (as defined in Business Rules) occurred post implementation (no new functionality).,AcquisitionSystem
acqsys001084,ACQ NOW CL,ACQ NOW CL,ACQUISITION NOW FOR CONTINUOUS LEARNING ,"The Air Force has to report continuous learning compliance to DoD and ACQ, CL provides an automated tool to support that requirement. More importantly, it's a tool for employees, supervisors and senior leaders at the local and MAJCOM levels to oversee wor",AcquisitionSystem
acqsys001622,ACQBIZ,ACQBIZ,ACQBUSINESS,"AcqBusiness (ACQBIZ) provides a portfolio of enterprise business systemss and web services capabilities that enable Program Executive Officers and Program Managers to effectively and efficiently perform the business of acquisition. AcqBusiness accesses and uses authoritative data from Army enterprise systemss [e.g., General Fund Enterprise Business systems (GFEBS)], and it does not duplicate the functionality they provide. AcqBusiness provides a portal environment where Acquisition practitioners can access the enterprise business systemss, web services and data resources they need to perform their jobs. The AcqBusiness environment is enabled by a service-oriented architecture that will provide robust access control down to the individual and data item level; general collaboration, business intelligence and knowledge management tools; and enterprise/functional applications and services that are segregated from their supporting data. This approach and underlying architecture ensures the agility necessary to effectively keep pace with evolving technologies and maintain the functionality required as acquisition policy and user needs change. AcqBusiness supports the Army Acquisition Domain in 3 ways: 1) by providing a secure and modern web-based enterprise business architecture/environment that provides for flexibility, universal access and efficiency in operations, 2) by filling capability gaps with automated enterprise solutions that are integrated through that architecture, and 3) by replacing legacy, stovepiped systemss with new or reengineered heterogeneous tools that enhance usability and productivity. As the environment evolves, outdated legacy IT systemss will be retired, thus driving down the cost of doing business and enhancing acquisition productivity and decision making.",AcquisitionSystem
acqsys009898,ACQBIZ,AcqBiz Central,ACQUISITION BUSINESS CENTRAL PORTAL,"AcqBiz Central formerly the Acquisition Business Enterprise (ABE) Hub, it is the single collection point for the Army Acquisition Community and Life Cycle Management Command communities of interest providing a focal point with single sign-on and central repository entry point. Access and visibility is controlled based by user's requirements. The AcqBiz Central is the single access point using CAC to Army Acquisition program inforamtion and provides common COTS and GOTS enterprise tools with common user interfaces. All Army Acquisition and Program Life Cycle communities may have a presence in the Hub. AcqBiz Central a) promotes COTS Enterprise Resource Planning (ERP) solutions; b) provides Service Oriented Architecture (SOA) to the Army Acquisition Business Enterprise Domain and c) aligns PM AcqBiz to Army systemss to the Army Transformation. The VIS v2.0 Tool Set (configured COTS Oracle Colabration Suite) - Project Management, Document Management, and File Sharing are seamlessly incorporated into AcqBiz Central, accessible to all AcqBiz Central customers. AcqBiz Central functionality includes a) centrally located life cycle tools; b) one-click/ access by Army leadership and Program Offices to Program data and reporting; c) DoD and Army security requirements of Single Sign On (SSO) and DoD PKI (CAC) migration of multiple systems user-id and passwords to a single CAC hae been completed and PIN logon for all AcqBiz Central modules; and e) Oracle Collaboration Suite 10G (Document management, Tasks).",AcquisitionSystem
acqsys011738,ACQBIZ,ACQBIZ 3.0 DEV,ACQBIZ 3.0 DEV ENVIRONMENT,AcqBiz 3.0 DEV Environment (formally named AcqBiz DEAL) provides an environment for hosting services and capabilities that meet the enterprise acquisition needs of the Warfighter based on a Service Oriented Architecture (SOA) approach. The AcqBiz development systems serves as the initial development location for all PM AcqBusiness projects and applications. The purpose of the systems are to perform development testing prior to moving new applications to the AcqBiz testing and production environments located at ALTESS. HBSS and anti-virus software are deployed within the development environment.,AcquisitionSystem
acqsys002565,ACQPACKLOG,ACQPACKLOG,ACQUISITION PACKAGE LOG,Tracking systems for acquisition packages reviewed by Small Business office,AcquisitionSystem
acqsys011745,AcqReadiness,AcqReadiness,ACQUISITION BUSINESS READINESS,"1. PURPOSE The AcqReadiness enclave developed and hosted by PM Acquisition Business (PM AcqBus) is a reporting and business intelligence environment that delivers decision support capabilities to the Army. One of the first systemss to be deployed to the AcqReadiness enclave is Organizational Clothing and Individual Equipment Decision Support Tool (OCIE-DST). Functionality include Organizational Clothing and Individual Equipment (OCIE) financial analysis and demand forecasts as well as reporting, asset visibility, fielding efficiency and full readiness support for tracking OCIE through all phases of the Army Force Generation (ARFORGEN) cycle. Business functions for the first iteration of OCIE-DST include allocation, planning and execution of funds for OCIE. This phase will feature a web application that provides Tank-automotive and Armaments Command Integrated Business Logistics Support-Business Management Directorate (TACOM-ILSC-BMD) and the Central Management Office (CMO) of Army Materiel Command (AMC) with the ability to allocate funds and track execution against those funds by funding streams (BASE, GWOT, RESET, Training) and down to the National Stock Number (NSN) level. It will incorporate data from a limited number of systemss including the Standard Operation and Maintenance Army Research and Development systems SOMARDS and Central Issue Facility Information Support Module (CIF-ISM). 2. USERS The Organizational Clothing and Individual Equipment Decision Support Tool (OCIE-DST) supports approximately 200 user accounts, with an average of eight (8) simultaneous connections. The user community includes the Tank-automative and Armaments Command Integrated Business Logistics Support (TACOM-ISLC) budget personnel in Natick, MA, Central Management Office staff in Aberdeen, MD, OCIE Leadership across CONUS, Central Issue Facility (CIF) managers both CONUS and OCONUS, and Headquarters Department of the Army (HQDA) G-4. 3. INPUTS OCIE-DST Phase I will interface with Central Issue Facility Information Support Module (CIF-ISM) and Financial Management Information systems (FMIS) for SOMARDS data. OCIE-DST will pull obligations and expenditure financial data from FMIS/SOMARDS via nightly web service feeds. OCIE-DST will obtain requisition data from CIF-ISM by pulling nightly requisition information via secure FTP. OCIE-DST will leverage the same feed to also retrieve FEDLOG catalog data monthly via the CIF-ISM feed. 4. OUTPUTS AcqReadiness is a",AcquisitionSystem
acqsys002566,ACQUIRE,ACQUIRE,ACQUISITION CENTER QUERY/UPDATE RESPONSIBLE CONTRACT SPECIALIST,"APPLICATION BENEFITS: Acquisition Center Query/Update Responsible Contract Specialist (ACQUIRE) provides the AMCOM Acquisition Center (AC) with a view of both missile and aviation AMCs Procurement Automated Data and Document systems (PADDS) data, with the focus of the queries being the Buyer-Code information. This product consists of a single simple report which is an Inquiry of weapon systemss items pulled by Buyer Code for the purpose of showing procurement cost of the selected item. This report shows the Instrument (Item) ID, Procurement Point, Contractor ID (the contractor or sub-contractor developing the item), and the Contract Total Dollar Amount. This product can only be used by AC government personnel. ACQUIRE is an Oracle product that generates reports on a UNIX platform. This product pulls data from AMCs Procurement Data and Document systems (PADDS). NO ADDITIONAL CAPABILITIES / FUNCTIONALITIES IDENTIFIED.",AcquisitionSystem
acqsys008894,Acquisition.Gov,FARSite,FARSITE,"FARSite was created to provide a web version of the Federal Acquisition Regulations for the Acquisition Community (Government and Contractors) and is the primary regulations tool used by the DoD. Acquisition personnel require the ability to efficiently access and review the FAR, applicable supplements and guidance to ensure accurate and comprehensive application to all DoD acquisitions. FARSite is a web-based application that supports over 20,000 acquisition professionals within the Air Force, Department of Defense and Contractors. It also provides access to Acquisition Regulations for most Federal agencies. The AF is the executive agent for the FARSite. Accountability and Capitalization (A&C) Suspense: systems IS Internal Use Software (IUS) Is not tracked in EITDR due to not meeting the following for Accountability and Capitalization criteria: NOT meeting functionality NOT meeting the monetary threshold of $100,000.00",AcquisitionSystem
acqsys005990,ACQWEB,ACQWEB,AT&L ACQUISITION WEBSITE,"The online publicly-accessible home for OUSD (AT&L) providing information on functions, activities and projects.",AcquisitionSystem
acqsys009911,ACST,ACST,ACQUISITION AND COMMAND SUPPORT TOOLKIT,"Suite of web based tools used for business planning, acquisition, and decision-making assistance. Includes but is not limited to the following applications: Air Force systemss Information Library (AFSIL), Aircraft Serial Number Management systems (ASNMS), Program Managers Qualifications Tool (PMQT), Requirements Activity Document Tool (RAD).",AcquisitionSystem
acqsys001088,ACTIVE PROJECT,ACTIVE PROJECT,ACTIVE PROJECT,"Active Project -an internet solution designed as a repository of all engineering drawings and specifications associated with your projects. From Design Stages, Owner Review thru Bid, Construction, to Completion, all phases of your project drawings and spe",AcquisitionSystem
acqsys023055,A-CTS,A-CTS,AVIATION AND MISSILE CENTER CONTRACT TRACKING SYSTEM,"The application is designed to provide the user a tool to efficiently create, track, modify, and submit tasks to the Army Contracting Command for award of an AVIATION and MISSILE CENTER contract. Post award, the systems shall assist all users (serving in different roles defined within the architecture) with the progression of awarded effort(s) from award to completion. By providing these capabilities to the user, the systems will streamline the submittal, approval, and management process. The systems will use a website interface to allow ease of access, standardized forms, and processes.",AcquisitionSystem
acqsys009026,ACTT,ACTT,ADVANCED CONTRACT TRACKING TOOL,Advanced Contract Tracking Tool - Legacy,AcquisitionSystem
acqsys002570,ACUWS,ACUWS,ACQUISITION CENTER UNIVERSITY WEBSITE,"ACUWS provides the capability to satisfy business requirements to inform the AMCOM acquisition community about continuing acquisition education opportunities, to improve the efficiency of ACU administration functions, to control class enrollment, to document and track completed courses for certification using Continuous Learning Points (CLPs), and provides a link to the CAPPMIS systems for viewing the IDP. ACUWS supports AMCOM personnel only; however, the ACU classes are open to all civilian and military acquisition workforce employees at Redstone Arsenal. This product was developed internally. This product is a web-content managed site on a UNIX platform and is accessible via an Intranet URL limited to the Redstone Local Area Network. The ACUWS does not interface with any other systemss.",AcquisitionSystem
