srsID:ID,name,System Requirement Specification (SRS) Text,System Requirement Specification (SRS) Text Only,:LABEL
aut0060800,AUT-06.08,"AUT-06.08 The system shall automatically include all clauses and provisions designated as ""included"" when an automatic solicitation has been created.","The system shall automatically include all clauses and provisions designated as ""included"" when an automatic solicitation has been created.",Requirement
aut0060900,AUT-06.09,AUT-06.09 The system shall automatically designate the automatic solicitation as ready to submit for processing when an automatic solicitation has been created.,The system shall automatically designate the automatic solicitation as ready to submit for processing when an automatic solicitation has been created.,Requirement
aut0070000,AUT-07,AUT-07 The system shall provide the capability to automatically process a solicitation when an automatic solicitation has been created.,The system shall provide the capability to automatically process a solicitation when an automatic solicitation has been created.,Requirement
aut0070100,AUT-07.01,AUT-07.01 The system shall provide the capability to automatically record the solicitation in the corresponding workload when an automatic solicitation has been created.,The system shall provide the capability to automatically record the solicitation in the corresponding workload when an automatic solicitation has been created.,Requirement
aut0070200,AUT-07.02,AUT-07.02 The system shall provide the capability to automatically assign the workload IAW the automatic workload assignment criteria when an automatic solicitation has been created.,The system shall provide the capability to automatically assign the workload IAW the automatic workload assignment criteria when an automatic solicitation has been created.,Requirement
aut0080000,AUT-08,AUT-08 The system shall automatically create a solicitation assignment when a semi-automatic solicitation has been created.,The system shall automatically create a solicitation assignment when a semi-automatic solicitation has been created.,Requirement
aut0080100,AUT-08.01,AUT-08.01 The system shall automatically assign the user identified in the auto-solicitation criteria to review the solicitation when a semi-automatic solicitation has been created.,The system shall automatically assign the user identified in the auto-solicitation criteria to review the solicitation when a semi-automatic solicitation has been created.,Requirement
aut0090000,AUT-09,AUT-09 The system shall provide the ability to establish a standard set of clauses that will be associated with each type of automatic order without user interaction.,The system shall provide the ability to establish a standard set of clauses that will be associated with each type of automatic order without user interaction.,Requirement
aut0090100,AUT-09.01,AUT-09.01 The system shall provide delivery/task order against IDC as an automatic order type.,The system shall provide delivery/task order against IDC as an automatic order type.,Requirement
aut0090200,AUT-09.02,AUT-09.02 The system shall provide Basic Ordering Agreements (BOA) order as an automatic order type.,The system shall provide Basic Ordering Agreements (BOA) order as an automatic order type.,Requirement
aut0090300,AUT-09.03,AUT-09.03 The system shall provide Blanket Purchase Agreement (BPA) call as an automatic order type.,The system shall provide Blanket Purchase Agreement (BPA) call as an automatic order type.,Requirement
aut0090400,AUT-09.04,AUT-09.04 The system shall provide Purchase order (PO) as an automatic order type.,The system shall provide Purchase order (PO) as an automatic order type.,Requirement
aut0100000,AUT-10,AUT-10 The system shall provide the ability to identify whether automatic orders against a specific award vehicle within a specific dollar range are releasable without user interaction.,The system shall provide the ability to identify whether automatic orders against a specific award vehicle within a specific dollar range are releasable without user interaction.,Requirement
aut0100100,AUT-10.01,AUT-10.01 The system shall enable a user acting as a workflow originator to revoke temporary individual access to any document associated with the workflow at any time during the workflow.,The system shall enable a user acting as a workflow originator to revoke temporary individual access to any document associated with the workflow at any time during the workflow.,Requirement
aut0100200,AUT-10.02,AUT-10.02 The system shall enable a user acting as a workflow originator to revoke temporary individual access to any instrument associated with the workflow at any time during the workflow.,The system shall enable a user acting as a workflow originator to revoke temporary individual access to any instrument associated with the workflow at any time during the workflow.,Requirement
aut0100300,AUT-10.03,AUT-10.03 The system shall enable a user acting as a workflow originator to revoke temporary group access to any document associated with the workflow at any time during the workflow.,The system shall enable a user acting as a workflow originator to revoke temporary group access to any document associated with the workflow at any time during the workflow.,Requirement
aut0100400,AUT-10.04,AUT-10.04 The system shall enable a user acting as a workflow originator to revoke temporary group access to any instrument associated with the workflow at any time during the workflow.,The system shall enable a user acting as a workflow originator to revoke temporary group access to any instrument associated with the workflow at any time during the workflow.,Requirement
aut0110000,AUT-11,AUT-11 The system shall provide the ability to identify whether automatic solicitations within a specific estimated dollar range are available for processing without user interaction.,The system shall provide the ability to identify whether automatic solicitations within a specific estimated dollar range are available for processing without user interaction.,Requirement
aut0110100,AUT-11.01,AUT-11.01 The system shall provide the ability to identify automatic solicitations that require user interaction.,The system shall provide the ability to identify automatic solicitations that require user interaction.,Requirement
aut0110200,AUT-11.02,AUT-11.02 The system shall provide the ability to identify the user responsible for reviewing and processing the automatic solicitation.,The system shall provide the ability to identify the user responsible for reviewing and processing the automatic solicitation.,Requirement
aut0120000,AUT-12,AUT-12 The system shall determine whether the PR matches any of the established automatic solicitation criteria when an electronic PR has been received.,The system shall determine whether the PR matches any of the established automatic solicitation criteria when an electronic PR has been received.,Requirement
aut0130000,AUT-13,AUT-13 The system shall determine whether the PR matches any of the established automatic ordering criteria when an electronic PR has been received.,The system shall determine whether the PR matches any of the established automatic ordering criteria when an electronic PR has been received.,Requirement
aut0140000,AUT-14,AUT-14 The system shall automatically create an order when the electronic PR matches against the established criteria and falls within the constraints for an automatic order.,The system shall automatically create an order when the electronic PR matches against the established criteria and falls within the constraints for an automatic order.,Requirement
aut0140100,AUT-14.01,"AUT-14.01 The system shall automatically assign the Procurement Instrument Identifier (PIID) in accordance with FAR 4.16, DFARS 204.16, and NMCARS 5204.70 when an order is created automatically.","The system shall automatically assign the Procurement Instrument Identifier (PIID) in accordance with FAR 4.16, DFARS 204.16, and NMCARS 5204.70 when an order is created automatically.",Requirement
aut0140200,AUT-14.02,AUT-14.02 The system shall automatically create the award face page when an order is automatically created.,The system shall automatically create the award face page when an order is automatically created.,Requirement
aut0140300,AUT-14.03,AUT-14.03 The system shall automatically prepare the order document in the same format as the basic award vehicle when an order is automatically created.,The system shall automatically prepare the order document in the same format as the basic award vehicle when an order is automatically created.,Requirement
aut0140400,AUT-14.04,AUT-14.04 The system shall include the standard set of clauses in the default order in the appropriate section when an order is automatically created.,The system shall include the standard set of clauses in the default order in the appropriate section when an order is automatically created.,Requirement
aut0140500,AUT-14.05,AUT-14.05 The system shall automatically designate the automatic order as ready to submit for processing when an order is automatically created.,The system shall automatically designate the automatic order as ready to submit for processing when an order is automatically created.,Requirement
aut0150000,AUT-15,AUT-15 The system shall provide the capability to generate delivery orders for long-term contracts with availability quantity and ceiling in an automated process.,The system shall provide the capability to generate delivery orders for long-term contracts with availability quantity and ceiling in an automated process.,Requirement
aut0160000,AUT-16,AUT-16 The automated process shall provide the capability to link a requirement to a long-term contract based upon defined criteria to create the final delivery order (DO) for signature.,The automated process shall provide the capability to link a requirement to a long-term contract based upon defined criteria to create the final delivery order (DO) for signature.,Requirement
aut0170000,AUT-17,"AUT-17 The system shall provide the capability in the automated process to generate a delivery order for item(s) that match an existing, fixed-price ordering vehicle with availability quantity and ceiling.","The system shall provide the capability in the automated process to generate a delivery order for item(s) that match an existing, fixed-price ordering vehicle with availability quantity and ceiling.",Requirement
aut0180000,AUT-18,"AUT-18 The system shall provide the capability in the automated process to execute a delivery order for item(s) that match an existing, fixed-price ordering vehicle with availability quantity and ceiling.","The system shall provide the capability in the automated process to execute a delivery order for item(s) that match an existing, fixed-price ordering vehicle with availability quantity and ceiling.",Requirement
aut0190000,AUT-19,AUT-19 The system shall provide the capability to auto-solicit goods using defined criteria.,The system shall provide the capability to auto-solicit goods using defined criteria.,Requirement
aut0200000,AUT-20,AUT-20 The system shall provide the capability to include goods with predictable recurring demand as defined criteria when auto soliciting goods as well as goods with few suppliers.,The system shall provide the capability to include goods with predictable recurring demand as defined criteria when auto soliciting goods as well as goods with few suppliers.,Requirement
aut0210000,AUT-21,AUT-21 The system shall provide the capability to include goods with few suppliers as defined criteria when auto soliciting goods.,The system shall provide the capability to include goods with few suppliers as defined criteria when auto soliciting goods.,Requirement
aut0220000,AUT-22,AUT-22 The system shall provide the capability to include solicitations as part of the auto-solicit process.,The system shall provide the capability to include solicitations as part of the auto-solicit process.,Requirement
aut0230000,AUT-23,AUT-23 The system shall provide the capability to include received bills as part of the auto-solicit process.,The system shall provide the capability to include received bills as part of the auto-solicit process.,Requirement
aut0240000,AUT-24,AUT-24 The system shall provide the capability for the auto-solicit process to flow into user review via workflow.,The system shall provide the capability for the auto-solicit process to flow into user review via workflow.,Requirement
aut0250000,AUT-25,"AUT-25 The system shall ensure, through automated process(es) interfacing with the Agency core financial system, that sufficient funds are available at the time of commitment.","The system shall ensure, through automated process(es) interfacing with the Agency core financial system, that sufficient funds are available at the time of commitment.",Requirement
aut0260000,AUT-26,AUT-26 The system shall record the appropriate funding status at the time of obligation in the procurement instrument.,The system shall record the appropriate funding status at the time of obligation in the procurement instrument.,Requirement
aut0270000,AUT-27,AUT-27 The system shall record the fund cite at the time of obligation in the procurement instrument.,The system shall record the fund cite at the time of obligation in the procurement instrument.,Requirement
aut0280000,AUT-28,AUT-28 The system shall record accounting data at the time of obligation in the procurement instrument.,The system shall record accounting data at the time of obligation in the procurement instrument.,Requirement
aut0290000,AUT-29,AUT-29 Accounting data shall include the Agency Accounting Identifier (AAI).,Accounting data shall include the Agency Accounting Identifier (AAI).,Requirement
aut0300000,AUT-30,AUT-30 Accounting data shall include Line of Accounting (LOA).,Accounting data shall include Line of Accounting (LOA).,Requirement
aut0310000,AUT-31,AUT-31 Accounting data shall include Accounting Classification Reference Number (ACRN).,Accounting data shall include Accounting Classification Reference Number (ACRN).,Requirement
aut0320000,AUT-32,AUT-32 The system shall record contingency clause(s) at the appropriate CLIN level at the time of commitment in the final document.,The system shall record contingency clause(s) at the appropriate CLIN level at the time of commitment in the final document.,Requirement
aut0330000,AUT-33,AUT-33 The system shall record contingency clause(s) at the appropriate SLIN level at the time of commitment in the final document.,The system shall record contingency clause(s) at the appropriate SLIN level at the time of commitment in the final document.,Requirement
aut0340000,AUT-34,AUT-34 The system shall record contingency clause(s) at the appropriate ELIN level at the time of commitment in the final document.,The system shall record contingency clause(s) at the appropriate ELIN level at the time of commitment in the final document.,Requirement
aut0350000,AUT-35,AUT-35 The system shall allow the automated filing process to auto-generate a subfolder based on a document attribute.,The system shall allow the automated filing process to auto-generate a subfolder based on a document attribute.,Requirement
aut0360000,AUT-36,AUT-36 The system shall automatically modify the subfolder when the document attribute is changed.,The system shall automatically modify the subfolder when the document attribute is changed.,Requirement
aut0370000,AUT-37,"AUT-37 The system shall allow the automated filing process to append the GWAC number, if available, to the name of the auto-generated subfolder.","The system shall allow the automated filing process to append the GWAC number, if available, to the name of the auto-generated subfolder.",Requirement
aut0380000,AUT-38,AUT-38 The system shall provide the capability to automatically file a document after import.,The system shall provide the capability to automatically file a document after import.,Requirement
aut0390000,AUT-39,AUT-39 The system shall provide the capability to manually file a document after import.,The system shall provide the capability to manually file a document after import.,Requirement
aut0400000,AUT-40,AUT-40 The system shall provide the capability to link document types with electronic contract subfolders to facilitate automated filing.,The system shall provide the capability to link document types with electronic contract subfolders to facilitate automated filing.,Requirement
aut0410000,AUT-41,AUT-41 The system shall provide the capability to allow the creation of automated filing rules using document attributes.,The system shall provide the capability to allow the creation of automated filing rules using document attributes.,Requirement
aut0420000,AUT-42,AUT-42 The system shall provide the capability to allow the creation of automated filing rules using user specified criteria.,The system shall provide the capability to allow the creation of automated filing rules using user specified criteria.,Requirement
aut0430000,AUT-43,AUT-43 The system shall provide the capability to use defined criteria to trigger an automated workflow for small business referral.,The system shall provide the capability to use defined criteria to trigger an automated workflow for small business referral.,Requirement
aut0440000,AUT-44,AUT-44 The system shall provide the capability to create system-defined process models.,The system shall provide the capability to create system-defined process models.,Requirement
aut0450000,AUT-45,AUT-45 The system shall provide the capability to create automated workflow business rules.,The system shall provide the capability to create automated workflow business rules.,Requirement
aut0460000,AUT-46,AUT-46 The system shall provide the capability to maintain system workflow notification settings.,The system shall provide the capability to maintain system workflow notification settings.,Requirement
aut0470000,AUT-47,AUT-47 The system shall provide the capability to establish workload limits for users.,The system shall provide the capability to establish workload limits for users.,Requirement
aut0480000,AUT-48,AUT-48 The system shall notify the workflow originator during manual assignment if workload limits are exceeded.,The system shall notify the workflow originator during manual assignment if workload limits are exceeded.,Requirement
aut0490000,AUT-49,AUT-49 The system shall automatically reassign a task based on established workload criteria if workload limits are exceeded.,The system shall automatically reassign a task based on established workload criteria if workload limits are exceeded.,Requirement
aut0500000,AUT-50,AUT-50 The system shall provide the capability to allow direct database access for command line queries by system administrators.,The system shall provide the capability to allow direct database access for command line queries by system administrators.,Requirement
aut0510000,AUT-51,AUT-51 The system shall provide the capability to allow direct database access for scripted automated reporting by system administrators.,The system shall provide the capability to allow direct database access for scripted automated reporting by system administrators.,Requirement
aut0520000,AUT-52,AUT-52 The system shall provide the capability to automatically process an incremental funding modification.,The system shall provide the capability to automatically process an incremental funding modification.,Requirement
aut0530000,AUT-53,AUT-53 The system shall provide the capability to automatically generate modifications for incremental funding Purchase Requests (PRs).,The system shall provide the capability to automatically generate modifications for incremental funding Purchase Requests (PRs).,Requirement
aut0540000,AUT-54,AUT-54 The automated incremental funding process shall link the incremental funding PR to the appropriate contract.,The automated incremental funding process shall link the incremental funding PR to the appropriate contract.,Requirement
aut0550000,AUT-55,AUT-55 The automated incremental funding process shall generate the final modification for signature once the incremental funding PR has been linked to the appropriate contract.,The automated incremental funding process shall generate the final modification for signature once the incremental funding PR has been linked to the appropriate contract.,Requirement
aut0560000,AUT-56,AUT-56 The system shall provide the capability to allow the assigned user to be determined by the owner of the associated procurement/assistance instrument.,The system shall provide the capability to allow the assigned user to be determined by the owner of the associated procurement/assistance instrument.,Requirement
awa0010000,AWA-01,AWA-01 The system shall capture award terms and conditions.,The system shall capture award terms and conditions.,Requirement
awa0020000,AWA-02,AWA-02 The system shall capture customized clauses text and fill-ins.,The system shall capture customized clauses text and fill-ins.,Requirement
awa0030000,AWA-03,"AWA-03 The system shall provide the capability to generate final terms and conditions, including customized clause text and fill-ins in applicable formats.","The system shall provide the capability to generate final terms and conditions, including customized clause text and fill-ins in applicable formats.",Requirement
awa0030100,AWA-03.01,AWA-03.01 The system shall generate final award terms and conditions.,The system shall generate final award terms and conditions.,Requirement
awa0030200,AWA-03.02,AWA-03.02 The system shall generate final grant terms and conditions.,The system shall generate final grant terms and conditions.,Requirement
awa0040000,AWA-04,AWA-04 The system shall generate the proposed award documents.,The system shall generate the proposed award documents.,Requirement
awa0050000,AWA-05,AWA-05 The system shall be configurable to notify an approving official when generating award documents.,The system shall be configurable to notify an approving official when generating award documents.,Requirement
awa0060000,AWA-06,AWA-06 The system shall associate multiple offers with solicitation and all resulting awards.,The system shall associate multiple offers with solicitation and all resulting awards.,Requirement
awa0070000,AWA-07,AWA-07 The system shall capture selection criteria and grading (ranking) information for multiple offers with solicitation and all resulting awards.,The system shall capture selection criteria and grading (ranking) information for multiple offers with solicitation and all resulting awards.,Requirement
awa0080000,AWA-08,AWA-08 The system shall capture contract line item information to include a list of documents at the line item level.,The system shall capture contract line item information to include a list of documents at the line item level.,Requirement
awa0090000,AWA-09,AWA-09 The system shall capture contract line item information to include exhibits at the line item level.,The system shall capture contract line item information to include exhibits at the line item level.,Requirement
awa0100000,AWA-10,AWA-10 The system shall capture contract line item information to include fill-ins at the line item level.,The system shall capture contract line item information to include fill-ins at the line item level.,Requirement
awa0110000,AWA-11,AWA-11 The system shall capture contract line item information to include other attachments at the line item level.,The system shall capture contract line item information to include other attachments at the line item level.,Requirement
awa0120000,AWA-12,AWA-12 The system shall identify modifications to clauses.,The system shall identify modifications to clauses.,Requirement
awa0130000,AWA-13,AWA-13 The system shall identify updates to clauses.,The system shall identify updates to clauses.,Requirement
awa0140000,AWA-14,AWA-14 The system shall generate a list of attachments and exhibits for procurement instruments and award actions.,The system shall generate a list of attachments and exhibits for procurement instruments and award actions.,Requirement
awa0150000,AWA-15,AWA-15 The system shall capture attachments and exhibits for procurement instruments and award actions.,The system shall capture attachments and exhibits for procurement instruments and award actions.,Requirement
awa0160000,AWA-16,AWA-16 The system shall generate a configurable procurement action checklist.,The system shall generate a configurable procurement action checklist.,Requirement
awa0170000,AWA-17,AWA-17 The system shall provide the capability for one or more solicitation line item(s) for use on one or more awards.,The system shall provide the capability for one or more solicitation line item(s) for use on one or more awards.,Requirement
awa0180000,AWA-18,AWA-18 The system shall capture delivery/performance dates.,The system shall capture delivery/performance dates.,Requirement
awa0190000,AWA-19,AWA-19 The system shall calculate the delivery/performance date based on task completion information when delivery/performance dates are dependent on other scheduled items.,The system shall calculate the delivery/performance date based on task completion information when delivery/performance dates are dependent on other scheduled items.,Requirement
awa0200000,AWA-20,"AWA-20 The system shall capture liquidation rate and basis for contract financing payments, where applicable.","The system shall capture liquidation rate and basis for contract financing payments, where applicable.",Requirement
awa0210000,AWA-21,AWA-21 The system shall prevent awards to vendors who do not have an active SAM registration or capture FAR exception clause.,The system shall prevent awards to vendors who do not have an active SAM registration or capture FAR exception clause.,Requirement
awa0220000,AWA-22,AWA-22 The system shall allow for override when allowing awards to vendors who do not have an active SAM registration or capture FAR exception clause.,The system shall allow for override when allowing awards to vendors who do not have an active SAM registration or capture FAR exception clause.,Requirement
awa0230000,AWA-23,AWA-23 The system shall prevent awards to excluded parties.,The system shall prevent awards to excluded parties.,Requirement
awa0240000,AWA-24,AWA-24 The system shall prevent the distribution of documents designated unapproved/internal to vendors.,The system shall prevent the distribution of documents designated unapproved/internal to vendors.,Requirement
awc0010000,AWC-01,"AWC-01 The system shall capture designated COR, Alternate COR, or COTR.","The system shall capture designated COR, Alternate COR, or COTR.",Requirement
awc0020000,AWC-02,AWC-02 The system shall notify all unsuccessful offerors that offer has not been accepted.,The system shall notify all unsuccessful offerors that offer has not been accepted.,Requirement
awc0030000,AWC-03,AWC-03 The system shall notify selected awardee that offer has been accepted.,The system shall notify selected awardee that offer has been accepted.,Requirement
awc0040000,AWC-04,"AWC-04 The system shall capture contract payment ceilings at the contract and/or contract line item levels, as appropriate.","The system shall capture contract payment ceilings at the contract and/or contract line item levels, as appropriate.",Requirement
awc0050000,AWC-05,AWC-05 The system shall generate contract action report to FPDS-NG.,The system shall generate contract action report to FPDS-NG.,Requirement
awc0060000,AWC-06,AWC-06 The system shall export contract action report to FPDS-NG.,The system shall export contract action report to FPDS-NG.,Requirement
awc0070000,AWC-07,AWC-07 The system shall distribute final award document and associated notifications to the user-defined distribution list based on notification rules.,The system shall distribute final award document and associated notifications to the user-defined distribution list based on notification rules.,Requirement
awc0080000,AWC-08,AWC-08 The system shall generate and export information on the obligation document to the DON Core financial system.,The system shall generate and export information on the obligation document to the DON Core financial system.,Requirement
awc0080100,AWC-08.01,AWC-08.01 The system shall generate and export award date on the obligation document to the DON Core financial system.,The system shall generate and export award date on the obligation document to the DON Core financial system.,Requirement
awc0080200,AWC-08.02,AWC-08.02 The system shall generate and export source system ID on the obligation document to the DON Core financial system.,The system shall generate and export source system ID on the obligation document to the DON Core financial system.,Requirement
awc0080300,AWC-08.03,AWC-08.03 The system shall generate and export source system generated document number on the obligation document to the DON Core financial system.,The system shall generate and export source system generated document number on the obligation document to the DON Core financial system.,Requirement
awc0080400,AWC-08.04,AWC-08.04 The system shall generate and export reference document number on the obligation document to the DON Core financial system.,The system shall generate and export reference document number on the obligation document to the DON Core financial system.,Requirement
awc0080500,AWC-08.05,AWC-08.05 The system shall generate and export reimbursable agreement number on the obligation document to the DON Core financial system.,The system shall generate and export reimbursable agreement number on the obligation document to the DON Core financial system.,Requirement
