departmentID:ID,name,title,:LABEL
D7500,HHS,Department of Health and Human Services,ContractingDepartment
D7700,USIDFC,US International Development Finance Corporation,ContractingDepartment
D8000,NASA,National Aeronautics and Space Administration,ContractingDepartment
D8300,EXIM,Export Import Bank,ContractingDepartment
D84AF,AFRH,Armed Forces Retirement Home,ContractingDepartment
D8600,HUD,Department of Housing and Urban Development,ContractingDepartment
D8800,NARA,National Archives and Records Administration,ContractingDepartment
D8900,DOE,Department of Energy,ContractingDepartment
D9000,SSS,Selective Service System,ContractingDepartment
D9100,ED,Department of Education,ContractingDepartment
D9300,FMCS,Federal Mediation and Conciliation Service,ContractingDepartment
D9502,NCPC,National Capital Planning Commission,ContractingDepartment
D9504,FMSHRC,Federal Mine Safety and Health Review Commission,ContractingDepartment
D9505,STB,Surface Transportation Board,ContractingDepartment
D9506,FEC,Federal Election Commission,ContractingDepartment
D9507,CFTC,Commodity Futures Trading Commission,ContractingDepartment
D9508,NTSB,National Transportation Safety Board,ContractingDepartment
D9511,COIG,Council of Inspectors General On Integrity and Efficiency,ContractingDepartment
D9513,MMC,Marine Mammal Commission,ContractingDepartment
D9514,OSHRC,Occupational Safety and Health Review Commission,ContractingDepartment
D9515,ACUS,Administrative Conference of US ,ContractingDepartment
D9516,DNFSB,Defense Nuclear Facilities Safety Board,ContractingDepartment
D9518,AblityOne,Committee for Purchase From People Who Are Blind Or Severely Disabled,ContractingDepartment
D9519,ICMA,Intelligence Community Management Account,ContractingDepartment
D9523,EAC,Election Assistance Commission,ContractingDepartment
D9524,NMB,National Mediation Board,ContractingDepartment
D9526,PCLOB,Privacy and Civil Liberties Oversight Board,ContractingDepartment
D9532,ATBCB,Architectural and Transportation Barriers Compliance Board,ContractingDepartment
D9533,GCERC,Gulf Coast Ecosystem Restoration Council,ContractingDepartment
D9534,DCC,District of Columbia Courts,ContractingDepartment
D9536,VEF,Vietnam Education Foundation,ContractingDepartment
D9537,CFA,Commission of Fine Arts,ContractingDepartment
D9542,FHFA,Federal Housing Finance Agency,ContractingDepartment
D9543,MCC,Millennium Challenge Corporation,ContractingDepartment
D9545,MKUSEPF,Morris K Udall Scholarship and Excellence In National Environmental Policy Foundation,ContractingDepartment
D9549,OGE,Office of Government Ethics,ContractingDepartment
D9557,NBRC,Northern Border Regional Commission,ContractingDepartment
D955F,CFPB,Consumer Financial Protection Bureau,ContractingDepartment
D9560,BGSEIEF,Barry Goldwater Scholarship and Excellence In Education Fund,ContractingDepartment
D9565,CSHIB,Chemical Safety and Hazard Investigation Board,ContractingDepartment
D9568,USAGMB,US Agency for Global Media Bbg,ContractingDepartment
D9572,DC,Denali Commission,ContractingDepartment
D9577,CNCS,Corporation for National and Community Service,ContractingDepartment
D9594,CSOSA,Court Services and Offender Supervision Agency,ContractingDepartment
D9700,DoD,Department of Defense,ContractingDepartment
