projectID:ID,name,PIID,NAICSCode,NAICSDescription,ProductorServiceCode,ProductorServiceDescription,PrincipalPlaceofPerformanceCityName,PrincipalPlaceofPerformanceStateCode,PlaceofPerformanceZipCode,Sum of DollarsObligated,:LABEL
pn6274220d0001n6274221f03070,NAVAL FAC ENGINEEERING CMD PACIFIC ENGINEERING SERVICES,N6274221F0307,541330,ENGINEERING SERVICES,C1CZ,ARCHITECT AND ENGINEERING- CONSTRUCTION: OTHER EDUCATIONAL BUILDINGS,AGANA HEIGHTS,GU,969106494,1165372,Contract
pn6274220d0001n6274221f03080,NAVAL FAC ENGINEEERING CMD PACIFIC ENGINEERING SERVICES,N6274221F0308,541330,ENGINEERING SERVICES,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,AGANA HEIGHTS,GU,969106494,1426634,Contract
pn6809621p00010,U S NAVAL HOSPITAL   GUAM IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING,N6809621P0001,325413,IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",AGANA HEIGHTS,GU,969106100,13472,Contract
pn6274220d0004n6274221f03010,NAVAL FAC ENGINEEERING CMD PACIFIC ENGINEERING SERVICES,N6274221F0301,541330,ENGINEERING SERVICES,C1LB,"ARCHITECT AND ENGINEERING- CONSTRUCTION: HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS",AGAT,GU,969280005,462051,Contract
pn0018321p00020,NAVAL MEDICAL CENTER PORTSMOUTH VA PHARMACEUTICAL PREPARATION MANUFACTURING,N0018321P0002,325412,PHARMACEUTICAL PREPARATION MANUFACTURING,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",AIKEN,SC,298032600,0,Contract
pn6833519d0010n6833521f00270,NAVAL AIR WARFARE CTR AIRCRAFT DIV ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,N6833521F0027,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,5342,"HARDWARE, WEAPON SYSTEM",AIRMONT,NY,109523415,108072.5,Contract
pn5005421p00120,MID ATLANTIC REG MAINT CTR ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,N5005421P0012,332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,2040,MARINE HARDWARE AND HULL ITEMS,AKRON,NY,140011038,14940,Contract
pspmym221p02270,PUGET SOUND NAVAL SHIPYARD IMF RUBBER AND PLASTICS HOSES AND BELTING MANUFACTURING,SPMYM221P0227,326220,RUBBER AND PLASTICS HOSES AND BELTING MANUFACTURING,4720,HOSE AND FLEXIBLE TUBING,AKRON,OH,443331001,63000,Contract
pspmym221p02170,"PUGET SOUND NAVAL SHIPYARD IMF GASKET, PACKING, AND SEALING DEVICE MANUFACTURING",SPMYM221P0217,339991,"GASKET, PACKING, AND SEALING DEVICE MANUFACTURING",5330,PACKING AND GASKET MATERIALS,ALABASTER,AL,350079598,765.6,Contract
pspmym221p04870,"PUGET SOUND NAVAL SHIPYARD IMF GASKET, PACKING, AND SEALING DEVICE MANUFACTURING",SPMYM221P0487,339991,"GASKET, PACKING, AND SEALING DEVICE MANUFACTURING",5330,PACKING AND GASKET MATERIALS,ALABASTER,AL,350079598,638,Contract
p6933a218d0000016991pe21f0000950,FIELD SUPPORT ACTIVITY BSO-11 ENGINEERING SERVICES,6991PE21F000095,541330,ENGINEERING SERVICES,C216,ARCHITECT AND ENGINEERING- GENERAL: MARINE ENGINEERING,ALAMEDA,CA,945017606,60928.2,Contract
pdtma98d160116991pe21f0000110,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000011,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,475699.68,Contract
pdtma98d160116991pe21f0000120,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000012,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,511752.96,Contract
pdtma98d160116991pe21f0000290,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000029,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,571855,Contract
pdtma98d160116991pe21f0000300,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000030,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,392272,Contract
pdtma98d160116991pe21f0000310,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000031,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,487000,Contract
pdtma98d160116991pe21f0000550,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000055,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,31000,Contract
pdtma98d160116991pe21f0000700,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000070,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,498500,Contract
pdtma98d160116991pe21f0000740,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000074,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,443584,Contract
pdtma98d160116991pe21f0000790,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000079,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,444550,Contract
pdtma98d160116991pe21f0000810,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000081,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,132400,Contract
pdtma98d160116991pe21f0000830,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000083,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,563040,Contract
pdtma98d160116991pe21f0000850,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000085,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,621030,Contract
pdtma98d160116991pe21f0000860,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000086,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,443584,Contract
pdtma98d160146991pe21f0000160,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000016,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,491456.88,Contract
pdtma98d160146991pe21f0000170,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000017,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,457043.76,Contract
pdtma98d160146991pe21f0000180,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000018,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,491456.88,Contract
pdtma98d160146991pe21f0000220,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000022,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,200000,Contract
pdtma98d160146991pe21f0000530,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000053,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,21300,Contract
pdtma98d160146991pe21f0000580,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000058,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,51300,Contract
pdtma98d160146991pe21f0000590,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000059,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,51300,Contract
pdtma98d160146991pe21f0000800,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000080,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,1122535,Contract
pdtma98d160146991pe21f0000820,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000082,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,643000,Contract
pdtma98d160156991pe21f0000140,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000014,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017606,484367.04,Contract
pdtma98d160156991pe21f0000150,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000015,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017606,449126.64,Contract
pdtma98d160156991pe21f0000400,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000040,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017606,30000,Contract
pdtma98d160156991pe21f0000410,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000041,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017606,30000,Contract
pdtma98d160156991pe21f0000420,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000042,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017606,804500,Contract
pdtma98d160156991pe21f0000770,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000077,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017606,41470,Contract
pdtma98d160156991pe21f0000780,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000078,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017606,113900,Contract
pdtma98d160156991pe21f0000880,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000088,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017606,145000,Contract
pdtma98d160156991pe21f0000900,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000090,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017606,1799240,Contract
pdtma98d160156991pe21f0000960,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000096,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017606,113900,Contract
pdtma98d160176991pe21f0000100,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000010,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,498685.68,Contract
pdtma98d160176991pe21f0000130,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000013,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,90000,Contract
pdtma98d160176991pe21f0000490,FIELD SUPPORT ACTIVITY BSO-11 DEEP SEA FREIGHT TRANSPORTATION,6991PE21F000049,483111,DEEP SEA FREIGHT TRANSPORTATION,M1PZ,OPERATION OF OTHER NON-BUILDING FACILITIES,ALAMEDA,CA,945017601,18700,Contract
p47qswc21p00010,COMMANDER ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,47QSWC21P0001,335999,ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,6115,"GENERATORS AND GENERATOR SETS, ELECTRICAL",ALBANY,GA,317040325,344919,Contract
p47qswc21p00040,COMMANDER OTHER INDUSTRIAL MACHINERY MANUFACTURING,47QSWC21P0004,333249,OTHER INDUSTRIAL MACHINERY MANUFACTURING,4910,MOTOR VEHICLE MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,ALBANY,GA,317040325,1299457.3,Contract
pgs35f465gam6700421f50080,COMMANDER SOFTWARE PUBLISHERS,M6700421F5008,511210,SOFTWARE PUBLISHERS,7045,INFORMATION TECHNOLOGY SUPPLIES,ALBANY,GA,317041128,98369.73,Contract
pm6700119d0002m6700121f00080,COMMANDING OFFICER OTHER MOTOR VEHICLE PARTS MANUFACTURING,M6700121F0008,336390,OTHER MOTOR VEHICLE PARTS MANUFACTURING,R799,SUPPORT- MANAGEMENT: OTHER,ALBANY,GA,317040254,70421.88,Contract
pm6700119d0002m6700121f00090,COMMANDING OFFICER OTHER MOTOR VEHICLE PARTS MANUFACTURING,M6700121F0009,336390,OTHER MOTOR VEHICLE PARTS MANUFACTURING,R799,SUPPORT- MANAGEMENT: OTHER,ALBANY,GA,317040254,110662.96,Contract
pm6700119d0002m6700121f00160,COMMANDING OFFICER OTHER MOTOR VEHICLE PARTS MANUFACTURING,M6700121F0016,336390,OTHER MOTOR VEHICLE PARTS MANUFACTURING,2590,MISCELLANEOUS VEHICULAR COMPONENTS,ALBANY,GA,317040254,474628.05,Contract
pm6700119d0002m6700121f00170,COMMANDING OFFICER OTHER MOTOR VEHICLE PARTS MANUFACTURING,M6700121F0017,336390,OTHER MOTOR VEHICLE PARTS MANUFACTURING,2590,MISCELLANEOUS VEHICULAR COMPONENTS,ALBANY,GA,317040254,371791.89,Contract
pm6700119d0002m6700121f00210,COMMANDING OFFICER OTHER MOTOR VEHICLE PARTS MANUFACTURING,M6700121F0021,336390,OTHER MOTOR VEHICLE PARTS MANUFACTURING,2590,MISCELLANEOUS VEHICULAR COMPONENTS,ALBANY,GA,317040254,237314.07,Contract
pm6700421p40010,"COMMANDER PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",M6700421P4001,541614,"PROCESS, PHYSICAL DISTRIBUTION, AND LOGISTICS CONSULTING SERVICES",R706,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,ALBANY,GA,317040001,1309159.52,Contract
pm6700421p50060,COMMANDER BUSINESS AND SECRETARIAL SCHOOLS,M6700421P5006,611410,BUSINESS AND SECRETARIAL SCHOOLS,U008,EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT,ALBANY,GA,317040325,40960,Contract
pm6700421p50070,COMMANDER OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,M6700421P5007,811219,OTHER ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,J052,MAINT/REPAIR/REBUILD OF EQUIPMENT- MEASURING TOOLS,ALBANY,GA,317050001,3537.6,Contract
pn0014098g2415n0622a21f00250,"NAVAL MEDICAL FORCES SUPPORT CMD COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",N0622A21F0025,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",U005,EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES,ALBANY,NY,122083479,92928,Contract
pn0018920dz889n0018921fz0500,"NAVAL COMMUNITY COLLEGE COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",N0018921FZ050,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",U009,EDUCATION/TRAINING- GENERAL,ALBANY,NY,122072826,71820,Contract
pn3943017d1950n4008521f41700,NAVAL FACILITIES ENGINEERING COMD ENGINEERING SERVICES,N4008521F4170,541330,ENGINEERING SERVICES,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,ALBANY,GA,317219466,229572.87,Contract
pn4008515d7738n4008521f41510,COMMANDER FACILITIES SUPPORT SERVICES,N4008521F4151,561210,FACILITIES SUPPORT SERVICES,Z2NZ,REPAIR OR ALTERATION OF OTHER UTILITIES,ALBANY,GA,317050001,250000,Contract
pn4008516d5524n6945021f45000,COMMANDING OFFICER COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,N6945021F4500,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,Z2FD,REPAIR OR ALTERATION OF DINING FACILITIES,ALBANY,GA,317054702,2998888,Contract
pn4008517d8313n6945021f45070,COMMANDING OFFICER COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,N6945021F4507,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,Z2NZ,REPAIR OR ALTERATION OF OTHER UTILITIES,ALBANY,GA,317054702,2639536,Contract
pn4008520d0065n6945021f45020,COMMANDING OFFICER FACILITIES SUPPORT SERVICES,N6945021F4502,561210,FACILITIES SUPPORT SERVICES,Z1JZ,MAINTENANCE OF MISCELLANEOUS BUILDINGS,ALBANY,GA,317040277,250000,Contract
pn4008520d0100n6945021f45030,COMMANDER COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,N6945021F4503,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,J030,MAINT/REPAIR/REBUILD OF EQUIPMENT- MECHANICAL POWER TRANSMISSION EQUIPMENT,ALBANY,GA,317040356,725950.75,Contract
pn4008520d0101n6945021f45080,"COMMANDING OFFICER HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",N6945021F4508,237310,"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",Z2LB,REPAIR OR ALTERATION OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,ALBANY,GA,317040002,1526963,Contract
pspmym221p00520,PUGET SOUND NAVAL SHIPYARD IMF OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,SPMYM221P0052,334519,OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,6635,PHYSICAL PROPERTIES TESTING AND INSPECTION,ALBERT LEA,MN,560074044,13500,Contract
pspmym221p01610,"PUGET SOUND NAVAL SHIPYARD IMF FIBER, YARN, AND THREAD MILLS",SPMYM221P0161,313110,"FIBER, YARN, AND THREAD MILLS",4020,"FIBER ROPE, CORDAGE, AND TWINE",ALBERT LEA,MN,560074044,11500,Contract
pspmym221p01870,PUGET SOUND NAVAL SHIPYARD IMF ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,SPMYM221P0187,314999,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,5640,"WALLBOARD, BUILDING PAPER, AND THERMAL INSULATION MATERIALS",ALBERT LEA,MN,560074044,30315,Contract
pspmym221p03140,"PUGET SOUND NAVAL SHIPYARD IMF NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM) ROLLING, DRAWING, AND EXTRUDING",SPMYM221P0314,331491,"NONFERROUS METAL (EXCEPT COPPER AND ALUMINUM) ROLLING, DRAWING, AND EXTRUDING",9540,"STRUCTURAL SHAPES, NONFERROUS BASE METAL",ALBERT LEA,MN,560074044,7600,Contract
pspmym221p03540,PUGET SOUND NAVAL SHIPYARD IMF APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,SPMYM221P0354,315990,APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,8415,"CLOTHING, SPECIAL PURPOSE",ALBERT LEA,MN,560074044,7506,Contract
pspmym221p03910,PUGET SOUND NAVAL SHIPYARD IMF APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,SPMYM221P0391,315990,APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,8415,"CLOTHING, SPECIAL PURPOSE",ALBERT LEA,MN,560074044,9846,Contract
