cognitivebiasID:ID,name,definition,:LABEL
bizarrenesseffect3,Bizarreness effect,bizarre material is better remembered than common material,CognitiveBias
cheerleadereffect3,Cheerleader effect,tendency for people to appear more attractive group than isolation,CognitiveBias
choicesupportivebias3,Choice-supportive bias,tendency to remember one's choices as better than they actually were,CognitiveBias
clusteringillusion3,Clustering illusion,"tendency to overestimate importance of small runs, streaks, or clusters large samples of random data that is, seeing phantom patterns ",CognitiveBias
commonsourcebias3,Common source bias,"common source bias csb refers to tendency to combine or compare research studies from same source, or from sources use same methodologies or data",CognitiveBias
compassionfade3,Compassion fade,predisposition to behave more compassionately towards small number of identifiable victims than to large number of anonymous ones,CognitiveBias
confirmationbias3,Confirmation bias,"tendency to search for, interpret, focus on and remember information way confirms one's preconceptions",CognitiveBias
congruencebias3,Congruence bias,"tendency to test hypotheses exclusively through direct testing, instead of testing possible alternative hypotheses",CognitiveBias
conjunctionfallacy3,Conjunction fallacy,tendency to assume specific conditions are more probable than more general version of those same conditions,CognitiveBias
conservatismorregressivebias3,Conservatismor Regressive bias,tendency to remember high values and high likelihoods or probabilities or frequencies as lower than they actually were and low ones as higher than they actually were,CognitiveBias
conservatismbias3,Conservatism bias,tendency to revise one's belief insufficiently when presented with new evidence,CognitiveBias
consistencybias3,Consistency bias,incorrectly remembering one's past attitudes and behaviour as resembling present attitudes and behaviour,CognitiveBias
contexteffect3,Context effect,"cognition and memory are dependent on context, such out-of-context memories are more difficult to retrieve than in-context memories e",CognitiveBias
continuedinfluenceeffect3,Continued influence effect,tendency to believe previously learned misinformation even after it has been corrected,CognitiveBias
contrasteffect3,Contrast effect,"enhancement or reduction of certain stimulus' perception when compared with recently observed, contrasting object",CognitiveBias
courtesybias3,Courtesy bias,"tendency to give opinion is more socially correct than one's true opinion, so as to avoid offending anyone",CognitiveBias
crossraceeffect3,Cross-race effect,tendency for people of one race to have difficulty identifying members of race other than their own,CognitiveBias
cryptomnesia3,Cryptomnesia,"form of misattribution where memory is mistaken for imagination, because there is no subjective experience of it being memory",CognitiveBias
curseofknowledge3,Curse of knowledge,when better-informed people find it extremely difficult to think about problems from perspective of lesser-informed people,CognitiveBias
declinism3,Declinism,predisposition to view past favorably rosy retrospection and future negatively,CognitiveBias
decoyeffect3,Decoy effect,"preferences for either option or b change favor of option b when option c is presented, which is completely dominated by option b inferior all respects and partially dominated by option a",CognitiveBias
defaulteffect3,Default effect,"when given choice between several options, tendency to favor default one",CognitiveBias
defensiveattributionhypothesis3,Defensive attribution hypothesis,attributing more blame to harm-doer as outcome becomes more severe or as personal or situational similarity to victim increases,CognitiveBias
denominationeffect3,Denomination effect,tendency to spend more money when it is denominated small amounts e,CognitiveBias
diffusionofresponsibility3,Diffusion of Responsibility,people are less likely to take responsibility for action or inaction when others are present and individuals assume other are responsible for taking action or have already done so,CognitiveBias
dispositioneffect3,Disposition effect,tendency to sell asset has accumulated value and resist selling asset has declined value,CognitiveBias
distinctionbias3,Distinction bias,tendency to view two options as more dissimilar when evaluating them simultaneously than when evaluating them separately,CognitiveBias
dreadaversion3,Dread aversion,"just as losses yield double emotional impact of gains, dread yields double emotional impact of savouring",CognitiveBias
dunningkrugereffect3,Dunning-Kruger Effect,tendency for unskilled individuals to overestimate their own ability and tendency for experts to underestimate their own ability,CognitiveBias
durationneglect3,Duration neglect,neglect of duration of episode determining its value,CognitiveBias
egocentricbias3,Egocentric bias,"recalling past self-serving manner, e",CognitiveBias
empathygap3,Empathy gap,"tendency to underestimate influence or strength of feelings, either oneself or others",CognitiveBias
endofhistoryillusion3,End-of-history illusion,age-independent belief one will change less future than one has past,CognitiveBias
endowmenteffect3,Endowment effect,tendency for people to demand much more to give up object than they would be willing to pay to acquire it,CognitiveBias
errorsofomissionvscommissionbias3,Errors of Omission vs. Commission Bias,people prefer errors they make through inaction over errors they may through direct and deliberate action,CognitiveBias
escalationofcommitment3,Escalationofcommitment,"phenomenon where people justify increased investment decision, based on cumulative prior investment, despite new evidence suggesting decision was probably wrong",CognitiveBias
exaggeratedexpectation3,Exaggerated expectation,tendency to expect or predict more extreme outcomes than those outcomes actually happen,CognitiveBias
expectationbias3,expectation bias,"tendency for experimenters to believe, certify, and publish data agree with their expectations for outcome of experiment, and to disbelieve, discard, or downgrade corresponding weightings for data appear to conflict with those expectations",CognitiveBias
experimenters3,Experimenter's,"tendency for experimenters to believe, certify, and publish data agree with their expectations for outcome of experiment, and to disbelieve, discard, or downgrade corresponding weightings for data appear to conflict with those expectations",CognitiveBias
extrinsicincentivesbias3,Extrinsic incentives bias,"exception to the fundamental attribution error, when people view others as having situational extrinsic motivations and dispositional intrinsic motivations for oneself",CognitiveBias
fadingaffectbias3,Fading affect bias,bias which emotion associated with unpleasant memories fades more quickly than emotion associated with positive events,CognitiveBias
falseconsensuseffect3,False consensus effect,tendency for people to overestimate degree to which others agree with them,CognitiveBias
falsememory3,False memory,form of misattribution where imagination is mistaken for memory,CognitiveBias
falseuniquenessbias3,False uniqueness bias,tendency of people to see their projects and themselves as more singular than they actually are,CognitiveBias
forereffect3,Forer effect,"observation individuals will give high accuracy ratings to descriptions of their personality supposedly are tailored specifically for them, but are fact vague and general enough to apply to wide range of people",CognitiveBias
formfunctionattributionbias3,Form function attribution bias,"in humanrobot interaction, tendency of people to make systematic errors when interacting with robot",CognitiveBias
framingeffect3,Framing effect,"drawing different conclusions from same information, depending on how information is presented",CognitiveBias
frequencyillusion3,Frequency illusion,"frequency illusion is once something has been noticed then every instance of thing is noticed, leading to belief it has high frequency of occurrence a form of selection bias ",CognitiveBias
functionalfixedness3,Functional fixedness,limits person to using object only way it is traditionally used,CognitiveBias
fundamentalattributionerror3,Fundamental attribution error,"tendency for people to over-emphasize personality-based explanations for behaviors observed others while under-emphasizing role and power of situational influences on same behavior1 see also actor-observer bias, group attribution error, positivity effect",CognitiveBias
gamblersfallacy3,Gambler fallacy,"tendency to think future probabilities are altered by past events, when reality they are unchanged",CognitiveBias
genderbias3,Gender bias,widely held set of implicit biases discriminate against gender,CognitiveBias
generationeffectselfgenerationeffect3,Generation effect Self-generation effect ,self-generated information is remembered best,CognitiveBias
gettierproblems3,Gettier Problems,can conclusions count as knowledge if they were formed without right information? is belief justified if it is believed for invalid reasons? if premise is faulty?,CognitiveBias
googleeffect3,Google effect,tendency to forget information can be found readily online by using internet search engines,CognitiveBias
groupattributionerror3,Group attribution error,"biased belief characteristics of individual group member are reflective of group as whole or tendency to assume group decision outcomes reflect preferences of group members, even when information is available clearly suggests otherwise",CognitiveBias
groupthink3,Groupthink,psychological phenomenon that occurs within a group of people in which desire for harmony or conformity group results irrational or dysfunctional decision-making outcome,CognitiveBias
haloeffect3,Halo effect,tendency for person's positive or negative traits to spill over from one personality area to another others' perceptions of them see also physical attractiveness stereotype ,CognitiveBias
hardeasyeffect3,Hardeasy effect,"tendency to overestimate one's ability to accomplish hard tasks, and underestimate one's ability to accomplish easy tasks",CognitiveBias
hindsightbias3,Hindsight bias,"sometimes called i-knew-it-all-along effect, tendency to see past events as being predictable1 at time those events happened",CognitiveBias
hostileattributionbias3,Hostile attribution bias," hostile attribution bias is tendency to interpret others' behaviors as having hostile intent, even when behavior is ambiguous or benign",CognitiveBias
hothandfallacy3,Hot-hand fallacy, hot-hand fallacy also known as hot hand phenomenon or hot hand  is belief person who has experienced success with random event has greater chance of further success additional attempts,CognitiveBias
humoreffect3,Humor effect,"humorous items are more easily remembered than non-humorous ones, which might be explained by distinctiveness of humor, increased cognitive processing time to understand humor, or emotional arousal caused by humor",CognitiveBias
hyperbolicdiscounting3,Hyperbolic discounting,discounting is tendency for people to have stronger preference for more immediate payoffs relative to later payoffs,CognitiveBias
ikeaeffect3,IKEA effect,"tendency for people to place disproportionately high value on objects they partially assembled themselves, such as furniture from ikea, regardless of quality of end product",CognitiveBias
illicittransference3,Illicit transference,occurs when term distributive referring to every member of class and collective referring to class itself as whole sense are treated as equivalent,CognitiveBias
illusionofasymmetricinsight3,Illusion of asymmetric insight,people perceive their knowledge of their peers to surpass their peers' knowledge of them,CognitiveBias
illusionofcontrol3,Illusion of control,tendency to overestimate one's degree of influence over other external events,CognitiveBias
illusionoftransparency3,Illusion of transparency,"tendency for people to overestimate degree to which their personal mental state is known by others, and to overestimate how well they understand others' personal mental states",CognitiveBias
illusionofvalidity3,Illusion of validity,"overestimating accuracy of one's judgments, especially when available information is consistent or inter-correlated",CognitiveBias
illusorycorrelation3,Illusory correlation,inaccurately perceiving relationship between two unrelated events,CognitiveBias
illusorysuperiority3,Illusory superiority,"overestimating one's desirable qualities, and underestimating undesirable qualities, relative to other people",CognitiveBias
illusorytrutheffect3,Illusory truth effect,"tendency to believe statement is true if it is easier to process, or if it has been stated multiple times, regardless of its actual veracity",CognitiveBias
impactbias3,Impact bias,tendency to overestimate length or intensity of impact of future feeling states,CognitiveBias
implicitassociation3,Implicit association,speed with which people can match words depends on how closely they are associated,CognitiveBias
impostersyndrome3,Imposter Syndrome,"people doubt their accomplishments and have persistent, often internalized fear of being exposed as “fraud“ and proof of success is dismissed as luck, timing, or as result of deceit",CognitiveBias
informationbias3,Information bias,tendency to seek information even when it cannot affect action,CognitiveBias
ingroupbias3,Ingroup bias,tendency for people to give preferential treatment to others they perceive to be members of their own groups,CognitiveBias
insensitivitytosamplesize3,Insensitivity to sample size,tendency to under-expect variation small samples,CognitiveBias
intentionalitybias3,Intentionality bias,tendency to judge human action to be intentional rather than accidental,CognitiveBias
interoceptivebias3,Interoceptive bias,"tendency for sensory input about body itself to affect one's judgement about external, unrelated circumstances",CognitiveBias
irrationalescalation3,Irrational escalation,"phenomenon where people justify increased investment decision, based on cumulative prior investment, despite new evidence suggesting decision was probably wrong",CognitiveBias
justworldhypothesis3,Just-world hypothesis,"tendency for people to want to believe world is fundamentally just, causing them to rationalize otherwise inexplicable injustice as deserved by victim s ",CognitiveBias
lageffect3,Lag effect,"phenomenon whereby learning is greater when studying is spread out over time, as opposed to studying same amount of time single session",CognitiveBias
lawoftheinstrument3,Law of the instrument,"over-reliance on familiar tool or methods, ignoring or under-valuing alternative approaches",CognitiveBias
learnedhelplessness3,Learned Helplessness,when people accept and remain passive negative situations despite their clear ability to change them,CognitiveBias
lessisbettereffect3,Less-is-better effect,"tendency to prefer smaller set to larger set judged separately, but not jointly",CognitiveBias
levelingandsharpening3,Leveling and sharpening,"memory distortions introduced by loss of details recollection over time, often concurrent with sharpening or selective recollection of certain details take on exaggerated significance relation to details or aspects of experience lost through leveling",CognitiveBias
levelsofprocessingeffect3,Levels-of-processing effect,different methods of encoding information into memory have different levels of effectiveness,CognitiveBias
listlengtheffect3,List-length effect,"smaller percentage of items are remembered longer list, but as length of list increases, absolute number of items remembered increases as well",CognitiveBias
lossaversion3,Loss aversion,perceived disutility of giving up object is greater than utility associated with acquiring it,CognitiveBias
mereexposureeffect3,Mere exposure effect,tendency to express undue liking for things merely because of familiarity with them,CognitiveBias
misinformationeffect3,Misinformation effect,memory becoming less accurate because of interference from post-event information,CognitiveBias
modalityeffect3,Modality effect,memory recall is higher for last items of list when list items were received via speech than when they were received through writing,CognitiveBias
moneyillusion3,Money illusion,tendency to concentrate on nominal value face value of money rather than its value terms of purchasing power,CognitiveBias
moodcongruentmemorybias3,Mood-congruent memory bias,improved recall of information congruent with one's current mood,CognitiveBias
moralcredentialeffect3,Moral credential effect,occurs when someone who does something good gives themselves permission to be less good future,CognitiveBias
moralluck3,Moral luck,tendency for people to ascribe greater or lesser moral standing based on outcome of event,CognitiveBias
naïvecynicism3,Naïve cynicism,expecting more egocentric bias in others than oneself,CognitiveBias
naïverealism3,Naïve realism,"belief we see reality as it really is  objectively and without bias; facts are plain for all to see; rational people will agree with us; and those who don't are either uninformed, lazy, irrational, or biased",CognitiveBias
negativitybiasornegativityeffect3,Negativity biasor Negativity effect,psychological phenomenon by which humans have greater recall of unpleasant memories compared with positive memories,CognitiveBias
neglectofprobability3,Neglect of probability,tendency to completely disregard probability when making decision under uncertainty,CognitiveBias
nextinlineeffect3,Next-in-line effect,when taking turns speaking group using predetermined order e,CognitiveBias
nonadaptivechoiceswitching3,Non-adaptive choice switching,"after experiencing bad outcome with decision problem, tendency to avoid choice previously made when faced with same decision problem again, even though choice was optimal",CognitiveBias
normalcybias3,Normalcy bias,"refusal to plan for, or react to, disaster which has never happened before",CognitiveBias
notinventedhere3,Not invented here,"aversion to contact with or use of products, research, standards, or knowledge developed outside group",CognitiveBias
observerexpectancyeffect3,Observer-expectancy effect,when researcher expects given result and therefore unconsciously manipulates experiment or misinterprets data order to find it see also subject-expectancy effect ,CognitiveBias
omissionbias3,Omission bias,"tendency to judge harmful actions commissions as worse, or less moral, than equally harmful inactions omissions ",CognitiveBias
optimismbias3,Optimism bias,"tendency to be over-optimistic, underestimating greatly probability of undesirable outcomes and overestimating favorable and pleasing outcomes see also wishful thinking, valence effect, positive outcome bias ",CognitiveBias
ostracism3,Ostracism,"when people are ostracized, their brain’s pain center registers physical pain, and they are more likely to engage behaviors increase inclusion by mimicking, complying, obeying orders, cooperating or expressing attraction",CognitiveBias
ostricheffect3,Ostrich effect,ignoring obvious negative situation,CognitiveBias
outcomebias3,Outcome bias,tendency to judge decision by its eventual outcome instead of based on quality of decision at time it was made,CognitiveBias
outgrouphomogeneitybias3,Outgroup homogeneity bias,individuals see members of their own group as being relatively more varied than members of other groups,CognitiveBias
overconfidenceeffect3,Overconfidence effect,excessive confidence one's own answers to questions,CognitiveBias
pareidolia3,Pareidolia,"vague and random stimulus often image or sound is perceived as significant, e",CognitiveBias
parkinsonslawoftriviality3,Parkinson law of triviality,tendency to give disproportionate weight to trivial issues,CognitiveBias
partlistcueingeffect3,Part-list cueing effect,being shown some items from list and later retrieving one item causes it to become harder to retrieve other items,CognitiveBias
peakendrule3,Peakend rule,people seem to perceive not sum of experience but average of how it was at its peak e,CognitiveBias
personification3,personification,"tendency to characterize animals, objects, and abstract concepts as possessing human-like traits, emotions, and intentions",CognitiveBias
pessimismbias3,Pessimism bias,"tendency for some people, especially those suffering from depression, to overestimate likelihood of negative things happening to them",CognitiveBias
picturesuperiorityeffect3,Picture superiority effect,notion concepts are learned by viewing pictures are more easily and frequently recalled than are concepts are learned by viewing their written word form counterparts,CognitiveBias
planck’sprinciple3,Planck’s Principle,"new scientific truth triumphs not by convincing its opponents, but rather because its opponents eventually die and new generation grows up is familiar with it",CognitiveBias
plancontinuationbias3,Plan continuation bias,failure to recognize original plan of action is no longer appropriate for changing situation or for situation is different than anticipated,CognitiveBias
planningfallacy3,Planning fallacy,tendency to underestimate one's own task-completion times,CognitiveBias
plantblindness3,Plant blindness,tendency to ignore plants their environment and failure to recognize and appreciate utility of plants to life on earth,CognitiveBias
pluralisticignorance3,Pluralistic Ignorance,"occurs when majority of group members privately reject idea, but incorrectly assume most others accept it, and therefore go along with it",CognitiveBias
positivityeffectsocioemotionalselectivitytheory3,Positivity effect Socioemotional selectivity theory ,older adults favor positive over negative information their memories,CognitiveBias
presentbias3,Present bias,tendency of people to give stronger weight to payoffs are closer to present time when considering trade-offs between two future moments,CognitiveBias
preventionbias3,Prevention bias,"when investing money to protect against risks, decision makers perceive dollar spent on prevention buys more security than dollar spent on timely detection and response, even when investing either option is equally effective",CognitiveBias
probabilitymatching3,Probability matching,sub-optimal matching of probability of choices with probability of reward stochastic context,CognitiveBias
processingdifficultyeffect3,Processing difficulty effect,information takes longer to read and is thought about more processed with more difficulty is more easily remembered,CognitiveBias
proinnovationbias3,Pro-innovation bias,"tendency to have excessive optimism towards invention or innovation's usefulness throughout society, while often failing to identify its limitations and weaknesses",CognitiveBias
projectionbias3,Projection bias,"tendency to overestimate how much our future selves share one's current preferences, thoughts and values, thus leading to sub-optimal choices",CognitiveBias
proportionalitybias3,Proportionality bias,"our innate tendency to assume big events have big causes, may also explain our tendency to accept conspiracy theories",CognitiveBias
pseudocertaintyeffect3,Pseudocertainty effect,"tendency to make risk-averse choices if expected outcome is positive, but make risk-seeking choices to avoid negative outcomes",CognitiveBias
puritanicalbias3,Puritanical bias,refers to tendency to attribute cause of undesirable outcome or wrongdoing by individual to moral deficiency or lack of self-control rather than taking into account impact of broader societal determinants ,CognitiveBias
pygmalioneffect3,Pygmalion effect,phenomenon whereby others' expectations of target person affect target person's performance,CognitiveBias
reactance3,Reactance,urge to do opposite of what someone wants you to do out of need to resist perceived attempt to constrain your freedom of choice see also reverse psychology ,CognitiveBias
reactivedevaluation3,Reactive devaluation,devaluing proposals only because they purportedly originated with adversary,CognitiveBias
recencyillusion3,Recency illusion,illusion phenomenon one has noticed only recently is itself recent,CognitiveBias
reminiscencebump3,Reminiscence bump,recalling of more personal events from adolescence and early adulthood than personal events from other lifetime periods,CognitiveBias
restraintbias3,Restraint bias,tendency to overestimate one's ability to show restraint face of temptation,CognitiveBias
rhymeasreasoneffect3,Rhyme as reason effect,rhyming statements are perceived as more truthful,CognitiveBias
riskcompensationorpeltzmaneffect3,Risk compensation or Peltzman effect,tendency to take greater risks when perceived safety increases,CognitiveBias
saliencebias3,Salience bias,"tendency to focus on items are more prominent or emotionally striking and ignore those are unremarkable, even though difference is often irrelevant by objective standards",CognitiveBias
scopeinsensitivity3,scope insensitivity,tendency to be insensitive to size of problem when evaluating it,CognitiveBias
scopeneglect3,Scope neglect,tendency to be insensitive to size of problem when evaluating it,CognitiveBias
selectionbias3,Selection bias,"happens when members of a statistical sample are not chosen completely at random, which leads to sample not being representative of population",CognitiveBias
selectiveperception3,Selective perception,tendency for expectations to affect perception,CognitiveBias
selfrelevanceeffect3,Self-relevance effect,memories relating to self are better recalled than similar information relating to others,CognitiveBias
selfservingbias3,Self-serving bias,tendency to claim more responsibility for successes than failures,CognitiveBias
semmelweisreflex3,Semmelweis reflex,tendency to reject new evidence contradicts paradigm,CognitiveBias
serialpositioneffect3,Serial position effect,"items near end of sequence are easiest to recall, followed by items at beginning of sequence; items middle are least likely to be remembered",CognitiveBias
sexualoverperceptionbiasorsexualunderperceptionbias3,Sexual overperception bias or Sexual underperception bias,tendency to over- or underestimate sexual interest of another person oneself,CognitiveBias
sharedinformationbias3,Shared information bias,known as tendency for group members to spend more time and energy discussing information all members are already familiar with i,CognitiveBias
socialcomparisonbias3,Social comparison bias,"tendency, when making decisions, to favour potential candidates who don't compete with one's own particular strengths",CognitiveBias
socialdesirabilitybias3,Social desirability bias,tendency to over-report socially desirable characteristics or behaviours oneself and under-report socially undesirable characteristics or behaviours,CognitiveBias
sourceconfusion3,Source confusion,"confusing episodic memories with other information, creating distorted memories",CognitiveBias
spacingeffect3,Spacing effect,information is better recalled if exposure to it is repeated over long span of time rather than short one,CognitiveBias
spotlighteffect3,Spotlight effect,tendency to overestimate amount other people notice your appearance or behavior,CognitiveBias
statusquobias3,Status quo bias,"tendency to like things to stay relatively same see also loss aversion, endowment effect, and system justification ",CognitiveBias
stereotypicalbias3,Stereotypical bias,memory distorted towards stereotypes e,CognitiveBias
stereotyping3,Stereotyping,expecting member of group to have certain characteristics without having actual information about individual,CognitiveBias
subadditivityeffect3,Subadditivity effect,tendency to judge probability of whole to be less than probabilities of parts,CognitiveBias
subjectivevalidation3,Subjective validation,perception something is true if subject's belief demands it to be true,CognitiveBias
suffixeffect3,Suffix effect,diminishment of recency effect because sound item is appended to list subject is not required to recall,CognitiveBias
suggestibility3,Suggestibility,form of misattribution where ideas suggested by questioner are mistaken for memory,CognitiveBias
surrogation3,Surrogation,"losing sight of strategic construct measure is intended to represent, and subsequently acting as though measure is construct of interest",CognitiveBias
survivorshipbias3,Survivorship bias,concentrating on people or things survived some process and inadvertently overlooking those didn't because of their lack of visibility,CognitiveBias
systematicbias3,Systematic bias,judgement arises when targets of differentiating judgement become subject to effects of regression are not equivalent,CognitiveBias
systemjustification3,System justification,tendency to defend and bolster status quo,CognitiveBias
tachypsychia3,Tachypsychia,"when time perceived by individual either lengthens, making events appear to slow down, or contracts",CognitiveBias
telescopingeffect3,Telescoping effect,"tendency to displace recent events backwards time and remote events forward time, so recent events appear more remote, and remote events, more recent",CognitiveBias
testingeffect3,Testing effect,fact you more easily remember information you have read by rewriting it instead of rereading it,CognitiveBias
thirdpersoneffect3,Third-person effect,hypothesized tendency to believe mass communicated media messages have greater effect on others than on themselves,CognitiveBias
timesavingbias3,Time-saving bias,underestimations of time could be saved or lost when increasing or decreasing from relatively low speed and overestimations of time could be saved or lost when increasing or decreasing from relatively high speed,CognitiveBias
tipofthetonguephenomenon3,Tip of the tonguephenomenon,"when subject is able to recall parts of item, or related information, but is frustratingly unable to recall whole item",CognitiveBias
traitascriptionbias3,Trait ascription bias,"tendency for people to view themselves as relatively variable terms of personality, behavior, and mood while viewing others as much more predictable",CognitiveBias
travissyndrome3,Travis Syndrome,overestimating significance of present,CognitiveBias
ultimateattributionerror3,Ultimate attribution error,"similar to fundamental attribution error, error person is likely to make internal attribution to entire group instead of individuals within group",CognitiveBias
unconsciousbias3,Unconscious bias,"also known as implicit biases, are underlying attitudes and stereotypes people unconsciously attribute to another person or group of people affect how they understand and engage with them",CognitiveBias
unitbias3,Unit bias,standard suggested amount of consumption e,CognitiveBias
verbatimeffect3,Verbatim effect, gist of what someone has said is better remembered than verbatim wording,CognitiveBias
vonrestorffeffect3,von Restorff effect,item sticks out is more likely to be remembered than other items,CognitiveBias
weberfechnerlaw3,WeberFechner law,difficulty comparing small differences large quantities,CognitiveBias
welltravelledroadeffect3,Well travelled road effect,underestimation of duration taken to traverse oft-travelled routes and overestimation of duration taken to traverse less familiar routes,CognitiveBias
womenarewonderfuleffect3,Women are wonderful effect,tendency to associate more positive attributes with women than with men,CognitiveBias
worsethanaverageeffect3,Worse-than-average effect,tendency to believe ourselves to be worse than others at tasks which are difficult,CognitiveBias
zeigarnikeffect3,Zeigarnik effect,uncompleted or interrupted tasks are remembered better than completed ones,CognitiveBias
zeroriskbias3,Zero-risk bias,preference for reducing small risk to zero over greater reduction larger risk,CognitiveBias
zerosumbias3,Zero-sum bias,bias whereby situation is incorrectly perceived to be like zero-sum game i,CognitiveBias
