contractingofficeID:ID,name,title,city,state,zip,COUNTRY_CODE,:LABEL,Column1
O12013K,USDA FOREST SERVICE,USDA FOREST SERVICE,PETERSBURG,AK,99833,USA,ContractingOffice,
O120152,FSA AK STATE OFFICE,FSA AK STATE OFFICE,PALMER,AK,99645,USA,ContractingOffice,
O120168,USDA APHIS PPQ,USDA APHIS PPQ,ANCHORAGE,AK,99519,USA,ContractingOffice,
O120169,USDA APHIS VS,USDA APHIS VS,PALMER,AK,99645,USA,ContractingOffice,
O120186,USDA RURAL DEVELOPMENT,USDA RURAL DEVELOPMENT,PALMER,AK,99645,USA,ContractingOffice,
O120202,USDA ARS PWA SGPGR,USDA ARS PWA SGPGR,ABERDEEN,ID,83210,USA,ContractingOffice,
O120208,USDA ARS PWA NWISR,USDA ARS PWA NWISR,KIMBERLY,ID,83341-5076,USA,ContractingOffice,
O120217,USDA APHIS PPQ,USDA APHIS PPQ,TWIN FALLS,ID,83301,USA,ContractingOffice,
O120219,USDA RURAL DEVELOPMENT,USDA RURAL DEVELOPMENT,BOISE,ID,83709,USA,ContractingOffice,
O120245,FSA ID STATE OFFICE,FSA ID STATE OFFICE,BOISE,ID,83709,USA,ContractingOffice,
O12024B,USDA FOREST SERVICE,USDA FOREST SERVICE,BOISE,ID,83705,USA,ContractingOffice,
O120250,USDA GIPSA,USDA GIPSA,MOSCOW,ID,83843,USA,ContractingOffice,
O120252,NEZ PERCE CLEARWATER NATIONAL FOREST,NEZ PERCE CLEARWATER NATIONAL FOREST,GRANGEVILLE,ID,83530,USA,ContractingOffice,
O120261,BOISE NATIONAL FOREST,BOISE NATIONAL FOREST,BOISE,ID,83709,USA,ContractingOffice,
O120267,SAWTOOTH NATIONAL FOREST,SAWTOOTH NATIONAL FOREST,JEROME,ID,83338,USA,ContractingOffice,
O120281,IDAHO PANHANDLE NATIONAL FOREST,IDAHO PANHANDLE NATIONAL FOREST,COEUR D ALENE,ID,83815,USA,ContractingOffice,
O1202MH,USDA APHIS PPQ,USDA APHIS PPQ,BOISE,ID,83709,USA,ContractingOffice,
O1202NY,USDA APHIS PPQ,USDA APHIS PPQ,IDAHO FALLS,ID,83401,USA,ContractingOffice,
O1202NZ,USDA APHIS PPQ PCN,USDA APHIS PPQ PCN,IDAHO FALLS,ID,83402,USA,ContractingOffice,
O1202RB,CENTENNIAL JOB CORPS CCC,CENTENNIAL JOB CORPS CCC,NAMPA,ID,83687,USA,ContractingOffice,
O1202RC,USDA FOREST SERVICE,USDA FOREST SERVICE,COEUR D ALENE,ID,83815,USA,ContractingOffice,
O1202RF,USDA APHIS WS ID CD,USDA APHIS WS ID CD,GOODING,ID,83330,USA,ContractingOffice,
O1202RZ,USDA FS AT INCIDENT MGT SVCS BRANCH,USDA FS AT INCIDENT MGT SVCS BRANCH,BOISE,ID,837055354,USA,ContractingOffice,
O1202SA,INCIDENT PROCUREMENT AVIATION BRANCH,INCIDENT PROCUREMENT AVIATION BRANCH,BOISE,ID,837055354,USA,ContractingOffice,
O1202SB,INCIDENT PROCUREMENT EQUIP&SVC BR,INCIDENT PROCUREMENT EQUIP&SVC BR,BOISE,ID,837055354,USA,ContractingOffice,
O1202SC,USDA FS INCIDENT PROCUREMENT LOGISTICS,USDA FS INCIDENT PROCUREMENT LOGISTICS,BOISE,ID,837055354,USA,ContractingOffice,
O1202WE,USDA APHIS VS,USDA APHIS VS,BOISE,ID,83709,USA,ContractingOffice,
O1202Y7,USDA AMS FV PROGRAM FPB,USDA AMS FV PROGRAM FPB,NAMPA,ID,83687,USA,ContractingOffice,
O1202YA,USDA AMS FRUIT AND VEGETABLE DIV,USDA AMS FRUIT AND VEGETABLE DIV,IDAHO FALLS,ID,83404,USA,ContractingOffice,
O1202YG,USDA APHIS WILDLIFE SVC,USDA APHIS WILDLIFE SVC,BOISE,ID,83709,USA,ContractingOffice,
O1202YH,USDA APHIS ANIMAL DAMAGE CONTROL,USDA APHIS ANIMAL DAMAGE CONTROL,POCATELLO,ID,83201,USA,ContractingOffice,
O1202YJ,USDA APHIS ADC,USDA APHIS ADC,TWIN FALLS,ID,83303,USA,ContractingOffice,
O1202YL,USDA APHIS PPQ,USDA APHIS PPQ,BOISE,ID,83706,USA,ContractingOffice,
O120303,USDA APHIS PPQ,USDA APHIS PPQ,BILLINGS,MT,59102,USA,ContractingOffice,
O120313,USDA ARS PA NPARL,USDA ARS PA NPARL,SIDNEY,MT,59270,USA,ContractingOffice,
O120317,USDA RURAL DEVELOPMENT,USDA RURAL DEVELOPMENT,BOZEMAN,MT,59715,USA,ContractingOffice,
O120342,FSA MT STATE OFFICE,FSA MT STATE OFFICE,BOZEMAN,MT,59771,USA,ContractingOffice,
O120343,REGIONAL OFFICE R1,REGIONAL OFFICE R1,MISSOULA,MT,59804,USA,ContractingOffice,
O120345,AERIAL FIRE DEPOT,AERIAL FIRE DEPOT,MISSOULA,MT,59808,USA,ContractingOffice,
O120346,USDA AMS LS AND SEED DIVISION,USDA AMS LS AND SEED DIVISION,BILLINGS,MT,59103,USA,ContractingOffice,
O120349,TRAPPER CREEK JOB CORPS BITTERROOT NATIONAL FOREST,TRAPPER CREEK JOB CORPS BITTERROOT NATIONAL FOREST,DARBY,MT,59829,USA,ContractingOffice,
O120351,BITTERROOT NATIONAL FOREST,BITTERROOT NATIONAL FOREST,HAMILTON,MT,59840,USA,ContractingOffice,
O120353,USDA FOREST SERVICE,USDA FOREST SERVICE,MISSOULA,MT,59801,USA,ContractingOffice,
O120355,USDA FOREST SERVICE,USDA FOREST SERVICE,BILLINGS,MT,59101,USA,ContractingOffice,
O120356,USDA FOREST SERVICE,USDA FOREST SERVICE,BUTTE,MT,59703,USA,ContractingOffice,
O120378,USDA FOREST SERVICE,USDA FOREST SERVICE,BUTTE,MT,59701,USA,ContractingOffice,
O120379,USDA FOREST SERVICE R1,USDA FOREST SERVICE R1,DARBY,MT,59829,USA,ContractingOffice,
O120385,USDA FOREST SERIVCE,USDA FOREST SERIVCE,KALISPELL,MT,59901,USA,ContractingOffice,
O120391,FLATHEAD NATIONAL FOREST,FLATHEAD NATIONAL FOREST,HUNGRY HORSE,MT,59919,USA,ContractingOffice,
O120398,CUSTER GALLATIN NATIONAL FOREST,CUSTER GALLATIN NATIONAL FOREST,BOZEMAN,MT,59715,USA,ContractingOffice,
O1203H6,HELENA NATIONAL FOREST,HELENA NATIONAL FOREST,HELENA,MT,59601,USA,ContractingOffice,
O1203K0,LEWIS&CLARK NATIONAL FOREST,LEWIS&CLARK NATIONAL FOREST,GREAT FALLS,MT,59405,USA,ContractingOffice,
O1203L1,USDA FOREST SERVICE,USDA FOREST SERVICE,PLAINS,MT,59859,USA,ContractingOffice,
O1203L7,ANACONDA JOB CORPS CENTER,ANACONDA JOB CORPS CENTER,ANACONDA,MT,59711,USA,ContractingOffice,
O1203R6,LOLO NATIONAL FOREST,LOLO NATIONAL FOREST,MISSOULA,MT,59804,USA,ContractingOffice,
O1203TT,MISSOULA TECHNOLOGY AND DEVELOPMENT CENTER,MISSOULA TECHNOLOGY AND DEVELOPMENT CENTER,MISSOULA,MT,59808,USA,ContractingOffice,
O120415,USDA ARS PWA CORVALLIS ADMIN OFFICE,USDA ARS PWA CORVALLIS ADMIN OFFICE,CORVALLIS,OR,97330,USA,ContractingOffice,
O120426,USDA ARS PWA SWCR,USDA ARS PWA SWCR,ADAMS,OR,97810,USA,ContractingOffice,
O120428,USDA APHIS PPQ,USDA APHIS PPQ,PORTLAND,OR,97218,USA,ContractingOffice,
O120430,USDA ANIMAL AND PLANT,USDA ANIMAL AND PLANT,SALEM,OR,97301,USA,ContractingOffice,
O120453,USDA FOREST SVC,USDA FOREST SVC,CORVALLIS,OR,97331,USA,ContractingOffice,
O120455,USDA FOREST SERVICE,USDA FOREST SERVICE,LA GRANDE,OR,97850,USA,ContractingOffice,
O120458,FSA OR STATE OFFICE,FSA OR STATE OFFICE,TUALATIN,OR,97062,USA,ContractingOffice,
O12045R,USDA APHIS ADC,USDA APHIS ADC,ROSEBURG,OR,97470,USA,ContractingOffice,
O12045S,USDA APHIS ADC,USDA APHIS ADC,JOHN DAY,OR,97845,USA,ContractingOffice,
O120467,MOUNT HOOD NATIONAL FOREST,MOUNT HOOD NATIONAL FOREST,SANDY,OR,97055,USA,ContractingOffice,
O12046W,USDA FOREST SERVICE,USDA FOREST SERVICE,SANDY,OR,97055,USA,ContractingOffice,
O12047X,USDA APHIS PPQ SITC,USDA APHIS PPQ SITC,PORTLAND,OR,97218,USA,ContractingOffice,
O120496,USDA RURAL DEVELOPMENT,USDA RURAL DEVELOPMENT,PORTLAND,OR,97232,USA,ContractingOffice,
O1204GG,DESCHUTES NATIONAL FOREST,DESCHUTES NATIONAL FOREST,BEND,OR,97701,USA,ContractingOffice,
O1204H1,PACIFIC NORTHWEST REGIONAL OFFICE,PACIFIC NORTHWEST REGIONAL OFFICE,PORTLAND,OR,97204,USA,ContractingOffice,
O1204H3,USDA AMS LIVESTOCK SEED DIV,USDA AMS LIVESTOCK SEED DIV,MADISON,WI,53708-8911,USA,ContractingOffice,
O1204H8,USDA GIPSA,USDA GIPSA,PORTLAND,OR,97208,USA,ContractingOffice,
O1204J0,USDA AMS FV PPS I,USDA AMS FV PPS I,MILTON FREEWATER,OR,97862,USA,ContractingOffice,
O1204J1,USDA GIPSA,USDA GIPSA,PORTLAND,OR,97223,USA,ContractingOffice,
O1204J4,USDA AMS FV,USDA AMS FV,PORTLAND,OR,97205,USA,ContractingOffice,
O1204J6,USDA AMS LS AND SEED DIVISION,USDA AMS LS AND SEED DIVISION,PORTLAND,OR,97204,USA,ContractingOffice,
O1204J8,USDA AMS F AND V DIV FRESH,USDA AMS F AND V DIV FRESH,SALEM,OR,97310,USA,ContractingOffice,
O1204K0,USDA AMS FRUIT VEG DIV PPB,USDA AMS FRUIT VEG DIV PPB,SALEM,OR,97302,USA,ContractingOffice,
O1204KK,MALHEUR NATIONAL FOREST,MALHEUR NATIONAL FOREST,JOHN DAY,OR,97845,USA,ContractingOffice,
O1204L8,USDA FOREST SVC,USDA FOREST SVC,REDMOND,OR,97756,USA,ContractingOffice,
O1204M3,WALLOWA WHITMAN NATIONAL FOREST,WALLOWA WHITMAN NATIONAL FOREST,BAKER CITY,OR,97814,USA,ContractingOffice,
O1204N0,OCHOCO NATIONAL FOREST,OCHOCO NATIONAL FOREST,PRINEVILLE,OR,97754,USA,ContractingOffice,
O1204N1,USDA FS WESTERN WIDLAND ENVIRONMEN,USDA FS WESTERN WIDLAND ENVIRONMEN,PRINEVILLE,OR,97754,USA,ContractingOffice,
O1204N7,ROGUE RIVER SISIKIYOU NATL FOREST,ROGUE RIVER SISIKIYOU NATL FOREST,MEDFORD,OR,97504,USA,ContractingOffice,
O1204NJ,USDA FOREST SERVICE,USDA FOREST SERVICE,PORTLAND,OR,97204,USA,ContractingOffice,
O1204P5,FREMONT WINEMA NATIONAL FOREST,FREMONT WINEMA NATIONAL FOREST,LAKEVIEW,OR,97630,USA,ContractingOffice,
O1204R3,UMATILLA NATIONAL FOREST R6,UMATILLA NATIONAL FOREST R6,PENDLETON,OR,97801,USA,ContractingOffice,
O1204R4,WILLAMETTE NATIONAL FOREST,WILLAMETTE NATIONAL FOREST,SPRINGFIELD,OR,97477,USA,ContractingOffice,
O1204T0,SIUSLAW NATIONAL FOREST,SIUSLAW NATIONAL FOREST,CORVALLIS,OR,97331,USA,ContractingOffice,
O1204T1,UMPQUA NATIONAL FOREST,UMPQUA NATIONAL FOREST,ROSEBURG,OR,97470,USA,ContractingOffice,
O1204T8,WOLF CREEK JCCC,WOLF CREEK JCCC,GLIDE,OR,97443,USA,ContractingOffice,
O1204TT,ANGELL JOB CORPS,ANGELL JOB CORPS,YACHATS,OR,97498,USA,ContractingOffice,
O1204U3,USDA FOREST SERVICE,USDA FOREST SERVICE,KLAMATH FALLS,OR,97601,USA,ContractingOffice,
O120502,USDA APHIS PPQ,USDA APHIS PPQ,BLAINE,WA,98231,USA,ContractingOffice,
O120521,USDA ARS PWA PULLMAN LSS,USDA ARS PWA PULLMAN LSS,PULLMAN,WA,99164-6221,USA,ContractingOffice,
O120532,USDA APHIS PPQ,USDA APHIS PPQ,SEATTLE,WA,98134,USA,ContractingOffice,
O120551,USDA RURAL DEVELOPMENT,USDA RURAL DEVELOPMENT,OLYMPIA,WA,98512,USA,ContractingOffice,
O120578,USDA FOREST SVC PACIFIC NORTHWEST,USDA FOREST SVC PACIFIC NORTHWEST,OLYMPIA,WA,98502,USA,ContractingOffice,
O120579,USDA FOREST SERVICE,USDA FOREST SERVICE,SEATTLE,WA,98103-8600,USA,ContractingOffice,
O120580,FSA WA STATE OFFICE,FSA WA STATE OFFICE,Spokane,WA,99206,USA,ContractingOffice,
O120585,USDA AMS F AND V DIVISION,USDA AMS F AND V DIVISION,KENT,WA,98032,USA,ContractingOffice,
O120589,USDA AMS FRUIT AND VEG DIV FPB,USDA AMS FRUIT AND VEG DIV FPB,OLYMPIA,WA,98504,USA,ContractingOffice,
O120590,USDA AMS FV PROCESSED,USDA AMS FV PROCESSED,YAKIMA,WA,98901,USA,ContractingOffice,
O120597,USDA AMS F AND V DIV MARKET NEWS,USDA AMS F AND V DIV MARKET NEWS,YAKIMA,WA,98902,USA,ContractingOffice,
O120599,USDA APHIS PLANT PROTECTION AND,USDA APHIS PLANT PROTECTION AND,Spokane,WA,99202,USA,ContractingOffice,
O12059P,USDA AGRICULTURAL MARKETING SVC,USDA AGRICULTURAL MARKETING SVC,SEATTLE,WA,98148,USA,ContractingOffice,
O1205AS,USDA APHIS VS,USDA APHIS VS,TUMWATER,WA,98512,USA,ContractingOffice,
O1205AT,USDA APHIS VS,USDA APHIS VS,OLYMPIA,WA,98504,USA,ContractingOffice,
O1205G0,CURLEW JOB CORPS,CURLEW JOB CORPS,CURLEW,WA,99118,USA,ContractingOffice,
O1205G1,COLVILLE NATIONAL FOREST,COLVILLE NATIONAL FOREST,COLVILLE,WA,99114,USA,ContractingOffice,
O1205G2,USDA FS OLYMPIC NATIONAL FOREST,USDA FS OLYMPIC NATIONAL FOREST,OLYMPIA,WA,98512-5623,USA,ContractingOffice,
O1205GG,OKANOGAN WENATCHEE NATIONAL FOREST,OKANOGAN WENATCHEE NATIONAL FOREST,WENATCHEE,WA,98801,USA,ContractingOffice,
O1205K3,GIFFORD PINCHOT NATIONAL FOREST,GIFFORD PINCHOT NATIONAL FOREST,VANCOUVER,WA,98661,USA,ContractingOffice,
O1205M6,MT BAKER SNOQUALMIE NATIONAL FOREST,MT BAKER SNOQUALMIE NATIONAL FOREST,EVERETT,WA,98201,USA,ContractingOffice,
O1205S4,USDA APHIS AMS,USDA APHIS AMS,MOSES LAKE,WA,98837,USA,ContractingOffice,
O1205T1,USDA AMS DAIRY DIVISION,USDA AMS DAIRY DIVISION,BOTHELL,WA,98021-8471,USA,ContractingOffice,
O1206AE,USDA APHIS PPQ,USDA APHIS PPQ,CORVALLIS,OR,97331,USA,ContractingOffice,
O120AFR,USDA APHIS PPQ,USDA APHIS PPQ,EL SEGUNDO,CA,90245,USA,ContractingOffice,
O120E01,USDA APHIS PPQ,USDA APHIS PPQ,ELLENSBURG,WA,98926,USA,ContractingOffice,
O120E02,COLUMBIA BASIN JOB CORPS,COLUMBIA BASIN JOB CORPS,MOSES LAKE,WA,98837,USA,ContractingOffice,
O120E05,FORT SIMCOE JOB CORPS,FORT SIMCOE JOB CORPS,WHITE SWAN,WA,98952,USA,ContractingOffice,
O120E12,USDA APHIS NIES,USDA APHIS NIES,OROVILLE,WA,98844,USA,ContractingOffice,
O120E16,USDA GIPSA,USDA GIPSA,OLYMPIA,WA,98501-4079,USA,ContractingOffice,
O120E17,USDA AMS POULTRY DIV GRADING BR,USDA AMS POULTRY DIV GRADING BR,SEATTLE,WA,98166,USA,ContractingOffice,
O120E24,USDA FOREST SERVICE,USDA FOREST SERVICE,WENATCHEE,WA,98801,USA,ContractingOffice,
O120E25,USDA APHIS ANIMAL DAMAGE CONTROL,USDA APHIS ANIMAL DAMAGE CONTROL,OLYMPIA,WA,98502,USA,ContractingOffice,
O120E26,USDA APHIS WILDLIFE SVC,USDA APHIS WILDLIFE SVC,YAKIMA,WA,98903,USA,ContractingOffice,
O120E27,USDA APHIS WS NWRC,USDA APHIS WS NWRC,OLYMPIA,WA,98512,USA,ContractingOffice,
O120E35,USDA APHIS PPQ,USDA APHIS PPQ,TACOMA,WA,98424,USA,ContractingOffice,
O120E36,USDA APHIS ANIMAL DAMAGE CONTROL,USDA APHIS ANIMAL DAMAGE CONTROL,MOSES LAKE,WA,98837,USA,ContractingOffice,
O120E53,USDA APHIS DWRC,USDA APHIS DWRC,PULLMAN,WA,99164,USA,ContractingOffice,
O120E64,USDA AMS SCIENCE DIV,USDA AMS SCIENCE DIV,YAKIMA,WA,98902,USA,ContractingOffice,
O120F08,USDA AMS FV SCI DIVISION,USDA AMS FV SCI DIVISION,YAKIMA,WA,98902,USA,ContractingOffice,
O120F10,TIMBER LAKE CONS CENTER MT HOOD,TIMBER LAKE CONS CENTER MT HOOD,JOHN DAY,OR,97845,USA,ContractingOffice,
O120H12,USDA APHIS PPQ SITC,USDA APHIS PPQ SITC,SEATAC,WA,98148-2394,USA,ContractingOffice,
O120H13,USDA APHIS WS,USDA APHIS WS,POULSBO,WA,98370,USA,ContractingOffice,
O120H14,USDA APHIS PPQ,USDA APHIS PPQ,SEATTLE,WA,98158,USA,ContractingOffice,
O120H15,USDA APHIS PPQ,USDA APHIS PPQ,SEATTLE,WA,98158,USA,ContractingOffice,
O120H16,USDA APHIS PPQ,USDA APHIS PPQ,YAKIMA,WA,98902,USA,ContractingOffice,
O120H17,USDA APHIS PPQ,USDA APHIS PPQ,SEATTLE,WA,98158,USA,ContractingOffice,
O120H20,USDA APHIS PPQ SITC,USDA APHIS PPQ SITC,SEATTLE,WA,98158-1301,USA,ContractingOffice,
O120H22,USDA APHIS PPQ SITC,USDA APHIS PPQ SITC,SEATTLE,WA,98134,USA,ContractingOffice,
O120H23,USDA APHIS PPQ SITC,USDA APHIS PPQ SITC,BLAINE,WA,98230,USA,ContractingOffice,
O120M06,USDA APHIS WILDLIFE SVC,USDA APHIS WILDLIFE SVC,PORTLAND,OR,97218,USA,ContractingOffice,
O120M31,USDA APHIS REAC,USDA APHIS REAC,SALEM,OR,97301,USA,ContractingOffice,
O120M96,PACIFIC NORTHWEST RESEARCH STATION,PACIFIC NORTHWEST RESEARCH STATION,PORTLAND,OR,97205,USA,ContractingOffice,
O121105,USDA AMS F AND V DIVISION,USDA AMS F AND V DIVISION,HARTFORD,CT,6114,USA,ContractingOffice,
O121111,USDA APHIS PPQ,USDA APHIS PPQ,WINDSOR LOCKS,CT,6096,USA,ContractingOffice,
O121130,FSA CT STATE OFFICE,FSA CT STATE OFFICE,TOLLAND,CT,6084,USA,ContractingOffice,
O121183,USDA FOREST SERVICE,USDA FOREST SERVICE,HAMDEN,CT,06514-1703,USA,ContractingOffice,
O1211A3,USDA APHIS PPQ SPHD,USDA APHIS PPQ SPHD,WALLINGFORD,CT,6492,USA,ContractingOffice,
O1211A4,USDA APHIS PPQ SITC,USDA APHIS PPQ SITC,TOLLAND,CT,6084,USA,ContractingOffice,
O1211JA,USDA APHIS PPQ,USDA APHIS PPQ,GROTON,CT,6340,USA,ContractingOffice,
O1211R2,USDA APHIS PPQ,USDA APHIS PPQ,WALLINGFORD,CT,6492,USA,ContractingOffice,
O121212,USDA AGRICULTURAL MARKETING SVC,USDA AGRICULTURAL MARKETING SVC,PRESQUE ISLE,ME,4769,USA,ContractingOffice,
O121230,FSA ME STATE OFFICE,FSA ME STATE OFFICE,BANGOR,ME,4401,USA,ContractingOffice,
O121266,USDA APHIS PPQ,USDA APHIS PPQ,BANGOR,ME,4401,USA,ContractingOffice,
O1212B3,USDA OFC CONTRACTING&PROCUREMENT,USDA OFC CONTRACTING&PROCUREMENT,WASHINGTON,DC,20250,USA,ContractingOffice,
O121302,USDA APHIS VS,USDA APHIS VS,SUTTON,MA,1590,USA,ContractingOffice,
O121304,USDA APHIS PPQ,USDA APHIS PPQ,OTIS A F B,MA,2542,USA,ContractingOffice,
O121306,USDA RURAL DEVELOPMENT,USDA RURAL DEVELOPMENT,AMHERST,MA,1002,USA,ContractingOffice,
O121310,USDA APHIS PPQ,USDA APHIS PPQ,BOSTON,MA,2222,USA,ContractingOffice,
O121311,USDA AMS F V MN,USDA AMS F V MN,EVERETT,MA,2149,USA,ContractingOffice,
O121313,USDA AMS FRUIT AND VEGETABLE DIV,USDA AMS FRUIT AND VEGETABLE DIV,EVERETT,MA,2149,USA,ContractingOffice,
O121322,USDA AMS DAIRY DIVISION,USDA AMS DAIRY DIVISION,BOSTON,MA,2205,USA,ContractingOffice,
O121330,FSA MA STATE OFFICE,FSA MA STATE OFFICE,AMHERST,MA,1002,USA,ContractingOffice,
O121344,USDA APHIS PPQ,USDA APHIS PPQ,AMHERST,MA,1002,USA,ContractingOffice,
O121358,USDA FNS,USDA FNS,BOSTON,MA,02222-1071,USA,ContractingOffice,
O121430,FSA NH STATE OFFICE,FSA NH STATE OFFICE,CONCORD,NH,3301,USA,ContractingOffice,
O121480,USDA FOREST SERVICE,USDA FOREST SERVICE,DURHAM,NH,03824-0640,USA,ContractingOffice,
O121483,USDA FOREST SERVICE NRS,USDA FOREST SERVICE NRS,THORNTON,NH,3223,USA,ContractingOffice,
O121484,WHITE MOUNTAIN NATIONAL FOREST,WHITE MOUNTAIN NATIONAL FOREST,CAMPTON,NH,3223,USA,ContractingOffice,
O1214A9,USDA APHIS,USDA APHIS,CONCORD,NH,3301,USA,ContractingOffice,
O1214DE,USDA APHIS ADC,USDA APHIS ADC,CONCORD,NH,3302,USA,ContractingOffice,
O121502,USDA AMS FRUIT AND VEG DIV,USDA AMS FRUIT AND VEG DIV,WARWICK,RI,2886,USA,ContractingOffice,
O121505,USDA APHIS PPQ,USDA APHIS PPQ,WARWICK,RI,2886,USA,ContractingOffice,
O121539,FSA RI STATE OFFICE,FSA RI STATE OFFICE,WARWICK,RI,2886,USA,ContractingOffice,
