awarding_agency_code,awarding_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_office_code,funding_office_name
19,DEPARTMENT OF STATE (DOS),19CF20,U.S. EMBASSY BRAZZAVILLE,97,DEPARTMENT OF DEFENSE (DOD),M00089,COMMANDING OFFICER
19,DEPARTMENT OF STATE (DOS),19CF20,U.S. EMBASSY BRAZZAVILLE,97,DEPARTMENT OF DEFENSE (DOD),M00872,DETACHMENT COMMANDER
19,DEPARTMENT OF STATE (DOS),19CF20,U.S. EMBASSY BRAZZAVILLE,97,DEPARTMENT OF DEFENSE (DOD),N09034,MARINE WING SUPPORT SQUADRON 271
19,DEPARTMENT OF STATE (DOS),19DA20,U.S. EMBASSY COPENHAGEN,97,DEPARTMENT OF DEFENSE (DOD),M00872,DETACHMENT COMMANDER
19,DEPARTMENT OF STATE (DOS),19DA20,U.S. EMBASSY COPENHAGEN,97,DEPARTMENT OF DEFENSE (DOD),NW5616,MARINE HELICOPTER SQUADRON HMX
19,DEPARTMENT OF STATE (DOS),19EG30,U.S.  EMBASSY CAIRO,97,DEPARTMENT OF DEFENSE (DOD),N3061B,NAVAL SCIENCE INSTRUCTOR NJROTCU
19,DEPARTMENT OF STATE (DOS),19ES60,U.S. EMBASSY SAN SALVADOR,97,DEPARTMENT OF DEFENSE (DOD),M00089,COMMANDING OFFICER
19,DEPARTMENT OF STATE (DOS),19ES60,U.S. EMBASSY SAN SALVADOR,97,DEPARTMENT OF DEFENSE (DOD),M06050,COMMANDING OFFICER
19,DEPARTMENT OF STATE (DOS),19ES60,U.S. EMBASSY SAN SALVADOR,97,DEPARTMENT OF DEFENSE (DOD),M67399,COMMANDING OFFICER
19,DEPARTMENT OF STATE (DOS),19ES60,U.S. EMBASSY SAN SALVADOR,97,DEPARTMENT OF DEFENSE (DOD),N12625,WENATCHEE YTB 808
19,DEPARTMENT OF STATE (DOS),19FJ60,U.S. EMBASSY SUVA,97,DEPARTMENT OF DEFENSE (DOD),M00089,COMMANDING OFFICER
19,DEPARTMENT OF STATE (DOS),19GG80,U.S. EMBASSY TBILISI,97,DEPARTMENT OF DEFENSE (DOD),M71701,OFFICER IN CHARGE
19,DEPARTMENT OF STATE (DOS),19GG80,U.S. EMBASSY TBILISI,97,DEPARTMENT OF DEFENSE (DOD),N65116,NAVY MARINE CORPS APPELLATE REVIEW
19,DEPARTMENT OF STATE (DOS),19GH10,U.S. EMBASSY ACCRA,97,DEPARTMENT OF DEFENSE (DOD),M00089,COMMANDING OFFICER
19,DEPARTMENT OF STATE (DOS),19M160,U.S. EMBASSY LILONGWE,97,DEPARTMENT OF DEFENSE (DOD),M54110,MARINE CORPS LIAISON OFFICER V(A)I
19,DEPARTMENT OF STATE (DOS),19MU30,U.S. EMBASSY MUSCAT,97,DEPARTMENT OF DEFENSE (DOD),L00160,ADVANCE RADIATOR INC
19,DEPARTMENT OF STATE (DOS),19MU30,U.S. EMBASSY MUSCAT,97,DEPARTMENT OF DEFENSE (DOD),M00089,COMMANDING OFFICER
19,DEPARTMENT OF STATE (DOS),19MU30,U.S. EMBASSY MUSCAT,97,DEPARTMENT OF DEFENSE (DOD),N63285,NCIS QUANTICO VA
19,DEPARTMENT OF STATE (DOS),19PM07,U.S. EMBASSY PANAMA CITY,97,DEPARTMENT OF DEFENSE (DOD),N34470,NCISFPD PANAMA CITY PANAMA
19,DEPARTMENT OF STATE (DOS),19RP38,U.S. EMBASSY MANILA,97,DEPARTMENT OF DEFENSE (DOD),N63285,NCIS QUANTICO VA
19,DEPARTMENT OF STATE (DOS),19RP38,U.S. EMBASSY MANILA,97,DEPARTMENT OF DEFENSE (DOD),N67896,MARINE CORPS CENTRAL COMMAND
19,DEPARTMENT OF STATE (DOS),19RP38,U.S. EMBASSY MANILA,97,DEPARTMENT OF DEFENSE (DOD),N69056,NAVAL CRIMINAL INVESTIGATIVE SERVIC
19,DEPARTMENT OF STATE (DOS),19RP38,U.S. EMBASSY MANILA,97,DEPARTMENT OF DEFENSE (DOD),N69795,NAVFAC PACIFIC SITE PHILIPPINES
19,DEPARTMENT OF STATE (DOS),19SG20,U.S. EMBASSY DAKAR,97,DEPARTMENT OF DEFENSE (DOD),M00089,COMMANDING OFFICER
19,DEPARTMENT OF STATE (DOS),19SG20,U.S. EMBASSY DAKAR,97,DEPARTMENT OF DEFENSE (DOD),M00872,DETACHMENT COMMANDER
19,DEPARTMENT OF STATE (DOS),19SG20,U.S. EMBASSY DAKAR,97,DEPARTMENT OF DEFENSE (DOD),M01236,OFFICER IN CHARGE
19,DEPARTMENT OF STATE (DOS),19SP50,U.S. EMBASSY MADRID,97,DEPARTMENT OF DEFENSE (DOD),M00089,COMMANDING OFFICER
19,DEPARTMENT OF STATE (DOS),19T040,U.S. EMBASSY LOME,97,DEPARTMENT OF DEFENSE (DOD),MSAG09,SPMAGTF-CENT
19,DEPARTMENT OF STATE (DOS),19TC12,AMERICAN CONSULATE DUBAI,97,DEPARTMENT OF DEFENSE (DOD),M00089,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47PA03,PBS CENTRAL OFFICE,97,DEPARTMENT OF DEFENSE (DOD),N43414,SUBMARINE TRNG FACILITY LS DAM NECK
47,GENERAL SERVICES ADMINISTRATION (GSA),47PD01,PBS R3,97,DEPARTMENT OF DEFENSE (DOD),N43414,SUBMARINE TRNG FACILITY LS DAM NECK
47,GENERAL SERVICES ADMINISTRATION (GSA),47PD03,PBS R3,97,DEPARTMENT OF DEFENSE (DOD),N43414,SUBMARINE TRNG FACILITY LS DAM NECK
47,GENERAL SERVICES ADMINISTRATION (GSA),47PD12,PBS R3,97,DEPARTMENT OF DEFENSE (DOD),N00018,BUREAU OF MEDICINE AND SURGERY
47,GENERAL SERVICES ADMINISTRATION (GSA),47PF00,PBS R5,97,DEPARTMENT OF DEFENSE (DOD),M00094,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47PF00,PBS R5,97,DEPARTMENT OF DEFENSE (DOD),N00024,NAVSEA HQ
47,GENERAL SERVICES ADMINISTRATION (GSA),47PF00,PBS R5,97,DEPARTMENT OF DEFENSE (DOD),N68346,NAVAL AIR SYSTEMS COMMAND HQ AIR 01
47,GENERAL SERVICES ADMINISTRATION (GSA),47PG00,PBS R6,97,DEPARTMENT OF DEFENSE (DOD),M00094,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47PG02,PBS R6,97,DEPARTMENT OF DEFENSE (DOD),M00089,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47PG08,PBS R6,97,DEPARTMENT OF DEFENSE (DOD),M00027,COMMANDANT
47,GENERAL SERVICES ADMINISTRATION (GSA),47PG08,PBS R6,97,DEPARTMENT OF DEFENSE (DOD),M00081,DIRECTOR
47,GENERAL SERVICES ADMINISTRATION (GSA),47PG08,PBS R6,97,DEPARTMENT OF DEFENSE (DOD),M00091,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47PG08,PBS R6,97,DEPARTMENT OF DEFENSE (DOD),M00263,COMMANDING GENERAL
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFAA,GSA FAS AAS REGION 10,97,DEPARTMENT OF DEFENSE (DOD),N4162A,NAVAL AIR SYSTEMS COMMAND
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFAA,GSA FAS AAS REGION 10,97,DEPARTMENT OF DEFENSE (DOD),N4523A,PUGET SOUND NAVAL SHIPYARD IMF
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFAA,GSA FAS AAS REGION 10,97,DEPARTMENT OF DEFENSE (DOD),N60957,DEFENSE FINANCE AND ACCOUNTING SERV
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFAA,GSA FAS AAS REGION 10,97,DEPARTMENT OF DEFENSE (DOD),N68520,FLEET READINESS CENTER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFCA,GSA FAS AAS FEDSIM,97,DEPARTMENT OF DEFENSE (DOD),M00089,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFCA,GSA FAS AAS FEDSIM,97,DEPARTMENT OF DEFENSE (DOD),M95430,COMMANDING GENERAL
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFCA,GSA FAS AAS FEDSIM,97,DEPARTMENT OF DEFENSE (DOD),N00019,NAVAL AIR SYSTEMS COMMAND
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFCA,GSA FAS AAS FEDSIM,97,DEPARTMENT OF DEFENSE (DOD),N00024,NAVSEA HQ
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFCA,GSA FAS AAS FEDSIM,97,DEPARTMENT OF DEFENSE (DOD),N00038,CDR US PACIFIC COMMAND USPACOM
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFCA,GSA FAS AAS FEDSIM,97,DEPARTMENT OF DEFENSE (DOD),N00421,NAVAL AIR WARFARE CENTER AIR DIV
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFCA,GSA FAS AAS FEDSIM,97,DEPARTMENT OF DEFENSE (DOD),N3654A,CJTF-HOA
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFCA,GSA FAS AAS FEDSIM,97,DEPARTMENT OF DEFENSE (DOD),N4002A,SOUTHEAST REGIONAL MAINT CTR
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFCA,GSA FAS AAS FEDSIM,97,DEPARTMENT OF DEFENSE (DOD),N45582,SPECIAL OPERATIONS COMMAND PACIFIC
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFCA,GSA FAS AAS FEDSIM,97,DEPARTMENT OF DEFENSE (DOD),N65886,FLEET READINESS CENTER SOUTHEAST
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFCA,GSA FAS AAS FEDSIM,97,DEPARTMENT OF DEFENSE (DOD),N66021,FLEET READINESS CENTER WESTERN PAC
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFDA,GSA FAS AAS REGION 11,97,DEPARTMENT OF DEFENSE (DOD),M02303,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFDA,GSA FAS AAS REGION 11,97,DEPARTMENT OF DEFENSE (DOD),M67443,DEFENSE FIN ACCT SERVICE M67443
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFDA,GSA FAS AAS REGION 11,97,DEPARTMENT OF DEFENSE (DOD),N49606,NAVY CYBER WARFARE DEVELOPMENT GRP
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFEA,GSA FAS AAS REGION 2,97,DEPARTMENT OF DEFENSE (DOD),M00089,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFHA,GSA GAS AAS REGION 6,97,DEPARTMENT OF DEFENSE (DOD),MMV200,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),M00085,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),M00088,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),M01480,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),M20231,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),M67025,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),M67443,DFAS COLUMBUS M67443
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),M92840,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),M95430,COMMANDING GENERAL
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),M95450,COMMANDER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),N00014,OFFICE OF NAVAL RESEARCH
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),N00015,NAVAL INTELLIGENCE ACTIVITY
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),N00019,NAVAL AIR SYSTEMS COMMAND
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),N00024,NAVSEA HQ
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),N00039,NAVAL INFORMATION WARFARE SYSTEMS
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),N00072,COMNAVRESFOR
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),N00421,NAVAL AIR WARFARE CENTER AIR DIV
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),N57023,OPERATIONAL TEST AND EVALUATION
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),N60530,NAVAL AIR WARFARE CTR WEAPONS DIV
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),N65236,NIWC ATLANTIC
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),N66001,NIWC PACIFIC
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),N68096,U S NAVAL HOSPITAL   GUAM
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFLA,GSA FAS AAS REGION 5,97,DEPARTMENT OF DEFENSE (DOD),R57020,COMMANDER SUBMARINE FORCE
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFMA,GSA FAS AAS REGION 3,97,DEPARTMENT OF DEFENSE (DOD),M00089,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFMA,GSA FAS AAS REGION 3,97,DEPARTMENT OF DEFENSE (DOD),N00025,NAVAL FACILITIES ENGINEERING COMD
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFMA,GSA FAS AAS REGION 3,97,DEPARTMENT OF DEFENSE (DOD),N32353,NAVAIRSYSCOMHQ
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFMA,GSA FAS AAS REGION 3,97,DEPARTMENT OF DEFENSE (DOD),N40080,NAV FAC ENGINEERING CMD WASHINGTON
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFMA,GSA FAS AAS REGION 3,97,DEPARTMENT OF DEFENSE (DOD),N40192,NAVFAC ENGINEERING COMMAND MARIANAS
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFNA,GSA FAS AAS REGION 1,97,DEPARTMENT OF DEFENSE (DOD),M00542,OFFICER IN CHARGE
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFNA,GSA FAS AAS REGION 1,97,DEPARTMENT OF DEFENSE (DOD),M95430,COMMANDING GENERAL
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFNA,GSA FAS AAS REGION 1,97,DEPARTMENT OF DEFENSE (DOD),N00060,U S FLEET FORCES COMMAND
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFNA,GSA FAS AAS REGION 1,97,DEPARTMENT OF DEFENSE (DOD),N00178,NSWC DAHLGREN
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFNA,GSA FAS AAS REGION 1,97,DEPARTMENT OF DEFENSE (DOD),N20104,COMPACFLT
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFNA,GSA FAS AAS REGION 1,97,DEPARTMENT OF DEFENSE (DOD),N3654A,CJTF-HOA
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFNA,GSA FAS AAS REGION 1,97,DEPARTMENT OF DEFENSE (DOD),N45404,SUBMEPP ACTIVITY
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFNA,GSA FAS AAS REGION 1,97,DEPARTMENT OF DEFENSE (DOD),N62853,UNDERSEA SURVEILLANCE
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFNA,GSA FAS AAS REGION 1,97,DEPARTMENT OF DEFENSE (DOD),N68688,DEFENSE FINANCE AND ACCOUNTING SERV
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFNA,GSA FAS AAS REGION 1,97,DEPARTMENT OF DEFENSE (DOD),N68732,DEFENSE FINANCE AND ACCOUNTING SERV
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFPA,GSA FAS AAS REGION 9,97,DEPARTMENT OF DEFENSE (DOD),M00016,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFPA,GSA FAS AAS REGION 9,97,DEPARTMENT OF DEFENSE (DOD),M00039,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFPA,GSA FAS AAS REGION 9,97,DEPARTMENT OF DEFENSE (DOD),M95450,COMMANDER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFPA,GSA FAS AAS REGION 9,97,DEPARTMENT OF DEFENSE (DOD),N00014,OFFICE OF NAVAL RESEARCH
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFPA,GSA FAS AAS REGION 9,97,DEPARTMENT OF DEFENSE (DOD),N00038,CDR US PACIFIC COMMAND USPACOM
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFPA,GSA FAS AAS REGION 9,97,DEPARTMENT OF DEFENSE (DOD),N00242,NAVY REGION SOUTHWEST
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFPA,GSA FAS AAS REGION 9,97,DEPARTMENT OF DEFENSE (DOD),N00421,NAVAL AIR WARFARE CENTER AIR DIV
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFPA,GSA FAS AAS REGION 9,97,DEPARTMENT OF DEFENSE (DOD),N47853,JOINT INTERAGENCY TASK FORCE WEST
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFPA,GSA FAS AAS REGION 9,97,DEPARTMENT OF DEFENSE (DOD),N62271,NAVAL POSTGRADUATE SCHOOL
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFPA,GSA FAS AAS REGION 9,97,DEPARTMENT OF DEFENSE (DOD),N65886,FLEET READINESS CENTER SOUTHEAST
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFPA,GSA FAS AAS REGION 9,97,DEPARTMENT OF DEFENSE (DOD),N66021,FLEET READINESS CENTER WESTERN PAC
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFPA,GSA FAS AAS REGION 9,97,DEPARTMENT OF DEFENSE (DOD),N69052,NAVY MEDICINE WEST DET OKINAWA
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFPA,GSA FAS AAS REGION 9,97,DEPARTMENT OF DEFENSE (DOD),NW7091,NAVY AIR AND MISSILE DEF COM
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFRA,GSA FAS AAS REGION 8,97,DEPARTMENT OF DEFENSE (DOD),18E983,COPE
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFRA,GSA FAS AAS REGION 8,97,DEPARTMENT OF DEFENSE (DOD),M00026,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFRA,GSA FAS AAS REGION 8,97,DEPARTMENT OF DEFENSE (DOD),M30305,COMMANDING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFRA,GSA FAS AAS REGION 8,97,DEPARTMENT OF DEFENSE (DOD),M67854,COMMANDER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFRA,GSA FAS AAS REGION 8,97,DEPARTMENT OF DEFENSE (DOD),N00019,NAVAL AIR SYSTEMS COMMAND
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFRA,GSA FAS AAS REGION 8,97,DEPARTMENT OF DEFENSE (DOD),N00259,NAVAL MEDICAL CENTER SAN DIEGO CA
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFRA,GSA FAS AAS REGION 8,97,DEPARTMENT OF DEFENSE (DOD),N18900,RECEIVING OFFICER
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFRA,GSA FAS AAS REGION 8,97,DEPARTMENT OF DEFENSE (DOD),N32353,NAVAIRSYSCOMHQ
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFRA,GSA FAS AAS REGION 8,97,DEPARTMENT OF DEFENSE (DOD),N67026,FLEET MARINE FORCE ATLANTIC
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFRA,GSA FAS AAS REGION 8,97,DEPARTMENT OF DEFENSE (DOD),N68732,DEFENSE FINANCE AND ACCOUNTING SERV
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFRA,GSA FAS AAS REGION 8,97,DEPARTMENT OF DEFENSE (DOD),R57025,COMMANDER NAVAL AIR FORCE PAC FLT
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFRA,GSA FAS AAS REGION 8,97,DEPARTMENT OF DEFENSE (DOD),R67025,FLEET MARINE FORCE PACIFIC
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFSA,GSA FAS AAS REGION 4,97,DEPARTMENT OF DEFENSE (DOD),18E983,COPE
47,GENERAL SERVICES ADMINISTRATION (GSA),47QFSA,GSA FAS AAS REGION 4,97,DEPARTMENT OF DEFENSE (DOD),DABT51,(blank)
