acqsysID:ID,name,title,description,:LABEL
acqsys060005,AAMS : acqsys060005,AAMS (Automated Acquisition Management Solution),The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle,PortfolioApplication
acqsys060006,AAMS : acqsys060006,AAMS (Automated Acquisition Management Solution),The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle,PortfolioApplication
acqsys060007,AAMS : acqsys060007,AAMS (Automated Acquisition Management Solution),The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle,PortfolioApplication
acqsys060008,AAMS : acqsys060008,AAMS (Automated Acquisition Management Solution),The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle,PortfolioApplication
acqsys060009,AAMS : acqsys060009,AAMS (Automated Acquisition Management Solution),The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle,PortfolioApplication
acqsys006207,AAP: acqsys006207,ADVANCED acquisition PLAN,The purpose of this application/business intelligence program is to track the status of all actions for subordinate activities,PortfolioApplication
acqsys002654,AC - ARC: acqsys002654,ACQUISITION RESOURCE CENTER,1,PortfolioApplication
acqsys002686,AC - ASSIST: acqsys002686,ACQUISITION SOURCE SELECTION INTERACTIVE SUPPORT TOOL,1,PortfolioApplication
acqsys006513,AC - IBOP: acqsys006513,INTERACTIVE BUSINESS OPPORTUNITIES PAGE,1,PortfolioApplication
acqsys006469,AC - PCF: acqsys006469,PROJECT CONTRACT FOLDER,1,PortfolioApplication
acqsys006303,AC - RAT: acqsys006303,REVERSE AUCTION TOOL,1,PortfolioApplication
acqsys000402,ACASS: acqsys000402,ARCHITECT-ENGINEERS CONTRACT ADMINISTRATION SUPPORT SYSTEM,"ACASS is used for the preparation of performance evaluations of A-E contractors, collection of A-E qualifications, and reporting of DoD awards to A-E firms",PortfolioApplication
acqsys001294,ACBIS: acqsys001294,ARMY CONTRACTING BUSINESS INTELLIGENCE SYSTEM,Army Contracting Business Intelligence systems (ACBIS) is a web-based business intelligence (BI) systems that extracts contract data populated in the two Army contract writing systemss (SPS and PADDS) and populates that data in a data warehouse which is used for real time query purposes,PortfolioApplication
acqsys001514,ACE-C: acqsys001514,ACQUISITION AND CONTRACTS E-COMMERCE,ACE-C is an integrated end-to-end SPAWAR Claimancy 2,PortfolioApplication
acqsys002554,ACINTERN: acqsys002554,ACQUISITION INTERNS INTRANET WEB SITE,"The systems will assist the AC Interns in developing the broad acquisition knowledge, outstanding business and management insight, and demonstrated expertise in developing and applying effective business solutions",PortfolioApplication
acqsys002555,ACINTERWS: acqsys002555,ACQUISITION CENTER INTERNET WEBDESK,"APPLICATIONBENEFITS: Acquisition Center Internet WEBDESK (ACINTERWS) is the AMCOM Acquisition Center's (AC) public internet website which contains links, reports, or forms of an acquisition nature that are viewable by the public sector",PortfolioApplication
acqsys007374,ACINTRAWS: acqsys007374,ACQUISITION CENTER INTRANET WEBDESK,APPLICATIONBENEFITS: ACINTRAWS is the AMCOM Acquisition Center's (AC) private intranet WEBDESK which provides a central point to obtain information,PortfolioApplication
acqsys006208,ACL: acqsys006208,ADVANCED CONCEPTS LABORATORY,This interactive facility is equipped for design and analysis of 3-D advanced vehicle models,PortfolioApplication
acqsys001315,ACMB-52LPT: acqsys001315,ACM B-52 LOADED PYLON TEST,This CPCI is used to verified that pylon loaded with one to six missiles is ready for transfer to the flight for uploading on a B-52 aircraft and isolat faults to a pylon or missile,PortfolioApplication
acqsys001316,ACMESTSFLS: acqsys001316,ACM ESTS FLIGHT LOAD SOFTWARE,This CPCI is used to load the Air Vehicle Digital Computer Unit (ADCU) Operational Flight Software (OFS) into an Air Vehicle (A/V) in readiness for flight and provides associated security declassification functions,PortfolioApplication
acqsys001317,ACMFGS/W: acqsys001317,ACM FIELD GUIDANCE SOFTWARE,This CPCI is used to provide overall control of the Inertial Reference Unit (IRU) and to implement the required modes and functions to perform a field calibration of the Air Vehicle Digital Computer Unit (ADCU),PortfolioApplication
acqsys001318,ACML1/2: acqsys001318,ACM LEVEL 1/LEVEL 2 TEST,This CPCI is used to verify that an AGM-129 air vehicle isoperating properly so as to be ready for load of Operational Flight Software and storage an a pylon,PortfolioApplication
acqsys002562,ACPO: acqsys002562,ACQUISITION CENTER POLICY OFFICE QUICK CLICK PLACE,"APPLICATIONBENEFITS: Acquisition Center Policy Office Quick Click Place (ACPO) is a public website which was internally developed for AMCOM Acquisition Center (AC) to post acquisition regulations, information, and training in various formats such as Word documents, PDF files, and Excel spreadsheets",PortfolioApplication
acqsys000403,ACPS: acqsys000403,AUTOMATED CONTRACT PREPARATION SYSTEM,Contract writing systems for Logistics buying organizations,PortfolioApplication
acqsys001084,ACQ NOW CL: acqsys001084,ACQUISITION NOW FOR CONTINUOUS LEARNING ,"The Air Force has to report continuous learning compliance to DoD and ACQ, CL provides an automated tool to support that requirement",PortfolioApplication
acqsys001622,ACQBIZ: acqsys001622,ACQBUSINESS,AcqBusiness (ACQBIZ) provides a portfolio of enterprise business systemss and web services capabilities that enable Program Executive Officers and Program Managers to effectively and efficiently perform the business of acquisition,PortfolioApplication
acqsys011738,ACQBIZ 3.0 DEV: acqsys011738,ACQBIZ 3.0 DEV ENVIRONMENT,AcqBiz 3,PortfolioApplication
acqsys009898,AcqBiz Central: acqsys009898,ACQUISITION BUSINESS CENTRAL PORTAL,"AcqBiz Central formerly the Acquisition Business Enterprise (ABE) Hub, it is the single collection point for the Army Acquisition Community and Life Cycle Management Command communities of interest providing a focal point with single sign-on and central repository entry point",PortfolioApplication
acqsys002565,ACQPACKLOG: acqsys002565,ACQUISITION PACKAGE LOG,Tracking systems for acquisition packages reviewed by Small Business office,PortfolioApplication
acqsys011745,AcqReadiness: acqsys011745,ACQUISITION BUSINESS READINESS,1,PortfolioApplication
acqsys002566,ACQUIRE: acqsys002566,ACQUISITION CENTER QUERY/UPDATE RESPONSIBLE CONTRACT SPECIALIST,"APPLICATION BENEFITS: Acquisition Center Query/Update Responsible Contract Specialist (ACQUIRE) provides the AMCOM Acquisition Center (AC) with a view of both missile and aviation AMCs Procurement Automated Data and Document systems (PADDS) data, with the focus of the queries being the Buyer-Code information",PortfolioApplication
acqsys005990,ACQWEB: acqsys005990,AT&L ACQUISITION WEBSITE,"The online publicly-accessible home for OUSD (AT&L) providing information on functions, activities and projects",PortfolioApplication
acqsys009911,ACST: acqsys009911,ACQUISITION AND COMMAND SUPPORT TOOLKIT,"Suite of web based tools used for business planning, acquisition, and decision-making assistance",PortfolioApplication
acqsys001088,ACTIVE PROJECT: acqsys001088,ACTIVE PROJECT,Active Project -an internet solution designed as a repository of all engineering drawings and specifications associated with your projects,PortfolioApplication
acqsys023055,A-CTS: acqsys023055,AVIATION AND MISSILE CENTER CONTRACT TRACKING SYSTEM,"The application is designed to provide the user a tool to efficiently create, track, modify, and submit tasks to the Army Contracting Command for award of an AVIATION and MISSILE CENTER contract",PortfolioApplication
acqsys009026,ACTT: acqsys009026,ADVANCED CONTRACT TRACKING TOOL,Advanced Contract Tracking Tool - Legacy,PortfolioApplication
acqsys002570,ACUWS: acqsys002570,ACQUISITION CENTER UNIVERSITY WEBSITE,"ACUWS provides the capability to satisfy business requirements to inform the AMCOM acquisition community about continuing acquisition education opportunities, to improve the efficiency of ACU administration functions, to control class enrollment, to document and track completed courses for certification using Continuous Learning Points (CLPs), and provides a link to the CAPPMIS systems for viewing the IDP",PortfolioApplication
acqsys016023,ACWS: acqsys016023,ARMY CONTRACT WRITING SYSTEM,"The Army Contract Writing systems (ACWS) will be the Army's single, enterprise-wide, contract writing and management systems",PortfolioApplication
acqsys011921,ADDM: acqsys011921,ACQUISITION DOCUMENT DEVELOPMENT AND MANAGEMENT,"Develop clear requirements and credible increments of capability to: (1) Assist PO with planning, reaching on-time milestone readiness, (2) Manage the development and use of milestone acquisition document content, (3) Monitor and manage Document Roadmap actions to reach readiness",PortfolioApplication
acqsys006219,ADE: acqsys006219,ARCHITECTURE DESIGN ENVIRONMENT,"Client-Server tool designed to interface with architecture database and provide a WYSIWYG, DoDAF compliant, desktop for systemss Architects and Analysts",PortfolioApplication
acqsys001089,ADPE DB: acqsys001089,ADPE DATABASE,It supports the management of ADPE computer accounts and allows tracking of these assets as they are transfered into and out of the managers account,PortfolioApplication
acqsys001201,ADSS: acqsys001201,ARMY TEST AND EVALUATION COMMAND DECISION SUPPORT SYSTEM,The U,PortfolioApplication
acqsys001257,ADSS-WEB: acqsys001257,ATEC DECISION SUPPORT SYSTEM (WEB),Army Test and Evaluation Project Management Tool,PortfolioApplication
acqsys016956,ADVANTOR: acqsys016956,ADVANTOR ASN,"The Advantor Advantage Suite for Networks (Advantor ASN) is a commercial off-the-shelf (COTS) command, control and display equipment systems manufactured by Advantor Corporation for the management of electronic security equipment (ESE)",PortfolioApplication
acqsys016598,AECS: acqsys016598,AFOTEC ELECTRONIC COORDINATION SYSTEM,AECS is currently used by the Air Force Operational Test and Evaluation Center (AFOTEC) Headquarters and five geographically separated Detachments to coordinate all test program documentation,PortfolioApplication
acqsys013531,AEGIS RMS EIS: acqsys013531,"AEGIS RELIABILITY, MAINTAINABILITY, AND SUPPORTABILITY ENGINEERING INFORMATION SYSTEM","The Aegis Reliability, Maintainability, and Supportability (RMS) Engineering Information systems (EIS) systems is the official source of Aegis Combat systems (ACS) information",PortfolioApplication
acqsys006606,AEP-JPEO A&A: acqsys006606,AMMUNITION ENTERPRISE PORTAL (ME.SPACE),"The Ammunition Enterprise Portal (AEP) was established by the JPEO A&A as a way to integrate people, processes and infrastructure across the ammunition enterprise and other military service customers to support our mission as the Department of Defense?s Single Manager for Conventional Ammunition (SMCA)",PortfolioApplication
acqsys001726,AF GRITS: acqsys001726,"AF GENERATION, RECEIVING, INTEGRATED TRACKING SYSTEM","AF GRITS is an Access database application tool that is used to support Acquisition Program Office personnel to generate contract data requirements lists (CDRL), track contract submittals and response, and report contract data delivery status",PortfolioApplication
acqsys001732,A-FAST: acqsys001732,AWARD-FEE AUTOMATED SUPPORT TOOL,"Supports the collection, analysis and presentation of comments and ratings for contract Award Fee Determination",PortfolioApplication
acqsys007909,AFCD: acqsys007909,AIR FORCE CONGRESSIONAL DOMAIN,"The Air Force Congressional Domain is a one-stop, interactive site for users to retrieve and manage key Congressional information to include member and staff bios, legislation, hearings and hearing excerpts, Air Force Congressional Track, Congressional calendar, etc",PortfolioApplication
acqsys008427,AFCD: acqsys008427,CONGRESSIONAL DOMAIN,"The Air Force Congressional Domain is a one-stop, interactive site for users to retrieve and manage key Congressional information to include member and staff bios, legislation, hearings and hearing excerpts, Air Force Congressional Track, Congressional calendar, etc",PortfolioApplication
acqsys008746,AFCD: acqsys008746,CONGRESSIONAL DOMAIN,"The Air Force Congressional Domain is a one-stop location for USAF congressional information, including hearing schedules, hearing summaries, committee memberships, member and staff biographies, legislation, funding, floor reports, trip reports, contact reports, congressional website links, and reference information",PortfolioApplication
acqsys001735,AFCORP: acqsys001735,AFRL/RW CORPORATE MANAGEMENT INFORMATION SYSTEM,"The TYBRIN Group, an SEI CMMI Maturity Level 3 certified and ISO/AS 9100 registered organization, develops and maintains AFCORP in support of the war-fighter and the Air Force Research Laboratory Munitions Directorate (AFRL/RW)",PortfolioApplication
acqsys001166,AFCT: acqsys001166,USAF CONGRESSIONAL TRACK,"The Air Force Congressional Track (AFCT) allows users to retrieve unclassified Congressional funding information, bill language and report language pertaining to Air Force programs and installations",PortfolioApplication
acqsys010762,AFERMS: acqsys010762,AIR FORCE ENTERPRISE RISK MANAGEMENT SYSTEM,"An enterprise risk management systems, comprehensively covering project, operational & corporate risk management",PortfolioApplication
acqsys001756,AFRL/DESM-AVID: acqsys001756,AVID VIDEO PRODUCTION SYSTEM,Used for digital editing of classified and unclassified videos,PortfolioApplication
acqsys001757,AFRL/DESM-MICROWAVE: acqsys001757,KIHEI MICROWAVE NETWORK,Network to support remote operations and application development on Maui,PortfolioApplication
acqsys001762,AFRL/RRS-UNCLRD: acqsys001762,ROME RESEARCH SITE UNCLASSIFIED NETWORK R&D SYSTEMS,All R&D systemss on the Unclassified Network,PortfolioApplication
acqsys001761,AFRL/RX BA: acqsys001761,RX BUSINESS APPLICATIONS,"AFRL/RX/BA is a group of independent applications and databases supporting planning, personnel demographics, suspense tracking, facilities work order requests, and business processes communication which provides awareness of, access to, and delivery of information and services across the Materials Directorate",PortfolioApplication
acqsys000405,AFWAY: acqsys000405,AIR FORCE WAY,AFWay II is a re-engineered process and web-based application built on Commerical Off-the-Shelf (COTS) technology,PortfolioApplication
acqsys008986,AFWAY Legacy: acqsys008986,AIR FORCE WAY LEGACY,AFWay is a re-engineered process and web-based systems for purchasing information technology (IT) products and services in the USAF,PortfolioApplication
acqsys009056,AI: acqsys009056,AIRCRAFT INVENTORY,"The Aircraft Inventory (AI) module will provide the ability to maintain information about aircraft at the AFFTC including aircraft type, tail number, date acquired, scheduled release date and dates for scheduled maintenance",PortfolioApplication
acqsys016165,AICIS: acqsys016165,AVIATION AND MISSILE CENTER INTEGRATED CENTER INFORMATION SYSTEM,Description: systems: Business mission reporting and decision support tool known as AICIS that is a web-based information tool used to manage U,PortfolioApplication
acqsys000617,AIM: acqsys000617,ACQUISITION INFORMATION MANAGEMENT,"AIM is a non-ACAT, web-based systems that supports Program Managers and Headquarters personnel in Acquisition Program oversight, statutory and regulatory reporting",PortfolioApplication
acqsys005538,"AIM-9L/M, AIM-9P: acqsys005538","AIM-9L/M, AIM-9P","SIDEWINDER MISSILE, INFRARED GUIDED SHORT RANGE MISSILE",PortfolioApplication
acqsys030612,AIMMS: acqsys030612,ATEC INTEGRATED MISSION MANAGEMENT SYSTEM,The Army Test and Evaluation Command (ATEC) Integrated Mission Management systems (AIMMS) is a proposed replacement for the legacy ATEC Decision Support systems (ADSS) (DITPR ID #1201) and Versatile Information systemss Integrated On-line Nationwide (VISION) (DITPR ID #1202),PortfolioApplication
acqsys001404,AIMS: acqsys001404,AVIONICS INVENTORY MANAGEMENT SYSTEM,Tracks the history of parts that are used in the B2 air planes,PortfolioApplication
acqsys001093,AIRCRAFT HAZARD DATABASE: acqsys001093,AIRCRAFT HAZARD DATABASE,Tracks F-16 Aircraft Hazards and Safety Issues - replaces old paper process,PortfolioApplication
acqsys001405,AIRWAVE: acqsys001405,AIRWAVE,DESCRIPTION: AIRWAVE is a web based routing engine used to coordinate maintenance activity on the AWACS Weapon systems,PortfolioApplication
acqsys001777,AITS: acqsys001777,ALL INVENTORY TRACKING SYSTEM,Used for tracking ADPE (automated data processing equipment) and Equipment inventory within the division,PortfolioApplication
acqsys002615,AKX: acqsys002615,ARCHITECTURE KNOWLEDEGE EXCHANGE,systemss Architecture web portal,PortfolioApplication
acqsys017101,Alchemy: acqsys017101,ALCHEMY,"The primary function of Alchemy is to provide a searchable database of contractual, program managent, and engineering documents for the B-2 and F-16 Programs",PortfolioApplication
acqsys000407,ALERTS: acqsys000407,ALERTS,ALERTS aids in the deliveries surveillance function,PortfolioApplication
acqsys023135,ALLP: acqsys023135,ACQUISITION LESSONS LEARNED PORTAL,"Army's authoritative source of timely and relevant acquisition lessons and best practices used to enhance the performance of the Army acquisition enterprise and to influence Army acquisition policies, planning, and decisions",PortfolioApplication
acqsys002620,AMCLIST: acqsys002620,AMCLIST03,Database for Small Business contractors,PortfolioApplication
acqsys015925,AMRB: acqsys015925,AUTOMATED MATERIAL REVIEW BOARD,Tool that automates records and reports related to the Material Review Board process,PortfolioApplication
acqsys021372,AMS: acqsys021372,ACQUISITION MANAGEMENT SYSTEM,The Acquisition Management systems (AMS) is a software suite of web applications that standardizes key acquisition processes and provides for common measuring and tracking across the Command,PortfolioApplication
acqsys060010,AMS: acqsys060010,Acquisition Management System (AMS),AMS is a contract writing management system that provides full procurement lifecycle support including all phases from advanced acquisition planning through contract closeout,PortfolioApplication
acqsys005968,AO: acqsys005968,AIRCRAFT OPERATIONS,"Aircraft Operations is an application designed to track flight deliveries, approval, training and metrics",PortfolioApplication
acqsys010007,APAT: acqsys010007,ACQUISITION PROGRAM ANALYSIS TOOLKIT,"Used for business intelligence, analytics and decision-making assistance in management of acquisition programs",PortfolioApplication
acqsys001407,APLS: acqsys001407,AUTOMATED POSTAL LOCATOR SYSTEM,"Provides Postal Service Centers (PSC) an automated tool to track changes in addresses, resolves misaddressed or forward mail, and print mailing labels",PortfolioApplication
acqsys002646,APMRS: acqsys002646,ACQUISITION PRE & POST-AWARD MANAGEMENT REPORTING SYSTEM-TACO100,The Acquisition Pre & Post Award Management systems (APMRS) contains historical data on contract deliveries and service performance and to manage Production Leadtime (PLT),PortfolioApplication
acqsys002647,APMRS: acqsys002647,ACQUISITION POST-AWARD MGMT REPORTING SYSTEM,"Tool that is used to obtain contractual information and to track delivery schedule delinquencies, obtain division and /or individual contract specialist contract obligation information and generate contract closeout transactions for CCSS",PortfolioApplication
acqsys002648,APMS: acqsys002648,ACQUISITION PRE-AWARD MANAGEMENT SYSTEM-TACO99,This systems replaced a massive paper reporting systems and has also greatly reduced the time and effort necessary to produce monthly and quarterly workload statistics for management,PortfolioApplication
acqsys002649,APMS: acqsys002649,ACQUISITION PROCESSING MANAGEMENT SYSTEM,The purpose of the Acquisition Processing Management systems is to track all PRONs from date of initiation until award while tracking the Administrative Lead Time (ALT) and Procurement Administrative Lead Time (PALT),PortfolioApplication
acqsys001095,APRS: acqsys001095,WR-ALC AUTOMATED PR SYSTEM,Web application allowing workflow routing of Purchase Requests,PortfolioApplication
acqsys002651,APS: acqsys002651,AUTOMATED PURCHASING SYSTEM,APS is a windows-based application used to input/order and track automation and supply requests that are less than $2500,PortfolioApplication
acqsys001096,APS (J023): acqsys001096,AUTOMATED PURCHASE SYSTEM,APS J023 is no longer being used and is considered decommissioned as of 9-30-2006,PortfolioApplication
acqsys006035,APSS: acqsys006035,ACQUISITION PLANNING SUPPORT SERVICES (APSS),APSS facilitates teaming between DCMA/buying activities early in the acquisition process,PortfolioApplication
acqsys006664,APTS: acqsys006664,ARNOLD PLANT TEST SYSTEMS,"Arnold Plant Test systemss comprise the ETF Control, P-Plant, and Test Facility Plant systemss",PortfolioApplication
acqsys006218,ARCHITECTURE BRIDGE: acqsys006218,ARCHITECTURE BRIDGE,"The Architecture Bridge seamlessly bridges the gap between high fidelity, hardware-in-the-loop type threat systemss and existing SAF structures, while preserving the SAF architecture and its capability to represent large numbers of entities in real time",PortfolioApplication
acqsys016210,ARD: acqsys016210,AFOTEC RESOURCE DATABASE,"AFOTEC Requirements Database (ARD) version 1 provides a single, standardized, AFOTEC-wide, systems for test directors, test resource managers, and resource managers to input all resource requirements",PortfolioApplication
acqsys016145,ARDEC-ACEPL: acqsys016145,ADVANCED COLLABORATIVE ENVIRONMENT FOR THE PDM LIFECYCLE,"The ARDEC-ACEPL (Armaments Research Development and Engineering Center - Advanced Collaborative Environment for the Product Data Management (PDM) Lifecycle) is a research, development, and engineering systems, based on Commercial off the Shelf software (COTS), supporting munitions and energetics development, systemss engineering and support activities",PortfolioApplication
acqsys001091,ARFTS: acqsys001091,AFFTC RANGE FLIGHT TERMINATION SYSTEM,This systems provides Range Safety the ability to terminate an FTS-equipped unmanned air vehicle (UAV) if positive control has been lost,PortfolioApplication
acqsys060011,ARIBA BUYER: acqsys060011,ARIBA BUYER,"Procure-to-order solution, supports front-end procurement process operate with maximum efﬁciency while integrating seamlessly with enterprise resource planning (ERP) system for invoice and payment processing",PortfolioApplication
acqsys009125,ARMT: acqsys009125,ARNOLD REQUIREMENTS MAPPING TOOL,The Arnold Requirements Mapping Tool (ARMT) is a Web-enabled application deployed on the base unclassified network and accessible on the end user's desktop PC,PortfolioApplication
acqsys020933,ARMY ECS (CLASSIFIED): acqsys020933,ARMY EXPORT CONTROL SYSTEM (CLASSIFIED),The Army Export Control systems (ECS) is a workflow management systems for the processing of Foreign Military Sales (FMS) license applications submitted by private industry to the Department of State (DoS),PortfolioApplication
acqsys009364,ARSWP: acqsys009364,ARSW PORTAL,"The wing portal project is a web-based ""one stop shop"" supporting organization-wide management and administrative functions",PortfolioApplication
acqsys001086,AS (J090A): acqsys001086,ACQUISITION SCREENING,"The potential buy database and acquisition method code (AMC) screening subsystems (J090A, phase 1, CDMS) consists of two increments which provide: (a",PortfolioApplication
acqsys016893,ASA: acqsys016893,ANALYSIS STANDALONE,Provide a brief summary of the function and justification for this investment by answering the following questions,PortfolioApplication
acqsys002670,ASACP: acqsys002670,AUTOMATED SYSTEMS ARCHITECTURE CHANGE PROPOSAL SYSTEM,Web based systems designed to automate the process of creating and tracking systemss Architecture Change Proposals,PortfolioApplication
acqsys001643,ASAS: acqsys001643,ACQUISITION SPEND ANALYSIS SERVICE,"To consistently and effectively manage acquisition throughout the enterprise and achieve business transformation or modernization, DoD must have sufficient and timely insight into enterprise spending information",PortfolioApplication
acqsys001313,ASC LCOM: acqsys001313,AERONAUTICAL SYSTEMS CENTER LOGISTICS COMPOSITE MODEL,ASC LCOM is a government-owned simulation tool that is used to support the acquisition of aeronautical weapon systemss,PortfolioApplication
acqsys009122,ASC PLM TC: acqsys009122,ASC PRODUCT LIFE CYCLE MANAGEMENT TEAMCENTER,"ASC PLM Teamcenter is a requirements management tool that will assist the Wings with program execution, requirements management and the documents required in the Acquisition of Weapons systemss to move from milestone to milestone",PortfolioApplication
acqsys016247,ASDB: acqsys016247,ACQUISITION SECURITY DATABASE,"The ASDB is the DoD horizontal protection database providing online storage, retrieval, and tracking of critical program information (CPI) and supporting program protection documents to facilitate comparative analysis of defense systemss' technology and align CPI protection activities across the DoD (source DoD Instruction 5200",PortfolioApplication
acqsys016292,ASDOS: acqsys016292,AEROSPACE SYSTEMS DIRECTORATE OPERATIONAL SUPPORT,"The Aerospace systemss Directorate Operational Support (ASDOS) systems is a web-based, CAC-enabled Information Technology (IT) solution the Air Force Research Laboratory (AFRL) systemss Directorate IT functionality that the current AFRL Enterprise tool set does not provide",PortfolioApplication
acqsys009545,ASDS: acqsys009545,AVIONICS SOFTWARE DEVELOPMENT SYSTEM,"The Avionics Software Development systems (ASDS) is a mainframe computer systems that supports the development and maintenance of embedded weapon systemss software for B-1B, B-52, E3A, ACM, ALCM, and CALCM weapon systemss",PortfolioApplication
acqsys007427,ASEM-8: acqsys007427,SA-8 ADVANCE SYSTEM ENDGAME METHODOLOGY),The ASEM-8 (SA-8 Advanced systems Endgame Methodology) is an interactive (operator in the loop) digital simulation of the SA-8 Surface-To-Air Missile (SAM) systems that includes endgame (probability of hit/kill) capability,PortfolioApplication
acqsys017051,ASETE: acqsys017051,ARMAMENTS RESEARCH DEVELOPMENT AND ENGINEERING CENTER SYSTEMS ENGINEERING TOOLS ENVIRONMENT,Army Research Development and Engineering Center (ARDEC) systemss Engineering Tools Environment (ASETE) is a suite of systems Engineering (SE) Commercial off the Shelf (COTS) tools which include International Business Machines (IBM) Rational Dynamic Object Oriented Requirements systems (DOORS) and No Magic?s Magic Draw which resides on servers maintained by Picatinny?s Network Enterprise Center (NEC),PortfolioApplication
acqsys002679,ASFI: acqsys002679,ARMY SINGLE FACE TO INDUSTRY,"This Web site has been established by the Assistant Secretary of the Army for Acquisition, Logistics and Technology, ASA(AL&T), as part of their Web-based strategy",PortfolioApplication
acqsys006227,ASFI IBOP: acqsys006227,ARMY SINGLE FACE TO INDUSTRY INTERACTIVE BUSINESS OPPORTUNITIES PAGE,Army Single Face To Industry Interactive Business Opportunities Page,PortfolioApplication
acqsys012370,ASIMIS-PC: acqsys012370,AIRCRAFT STRUCTURAL INTEGRITY MANAGEMENT INFORMATION SYSTEM - PC,systems collects individual aircraft usage data and produces individual aircraft estimates of crack growth at critical structural locations,PortfolioApplication
acqsys001285,ASM: acqsys001285,ACQUISITION SUPPORT MODEL,Use of the ASM will expedite the acquisition process by collecting all of the necessary information into a central location,PortfolioApplication
