domainID:ID,name,question,:LABEL
eccentric03,Eccentricity Q3,Other people seem to think my behavior is weird,FacetQuestion
eccentric04,Eccentricity Q4,People have told me that i think about things in a really strange way,FacetQuestion
eccentric05,Eccentricity Q5,My thoughts often go off in odd or unusual directions,FacetQuestion
eccentric06,Eccentricity Q6,My thoughts often do not make sense to others,FacetQuestion
eccentric07,Eccentricity Q7,People often look at me as if i had said something really weird,FacetQuestion
eccentric08,Eccentricity Q8,Others seem to think i am quite odd or unusual,FacetQuestion
eccentric09,Eccentricity Q9,My thoughts are strange and unpredictable,FacetQuestion
eccentric10,Eccentricity Q10,I think about things in odd ways that do not make sense to most people,FacetQuestion
eccentric11,Eccentricity Q11,I have been told more than once that i have a number of odd quirks or habits,FacetQuestion
eccentric12,Eccentricity Q12,I have several habits that others find eccentric or strange,FacetQuestion
eccentric13,Eccentricity Q13,I often have thoughts that make sense to me but that other people say are strange,FacetQuestion
emotional01,Emotional Lability Q1,My emotions sometimes change for no good reason,FacetQuestion
emotional02,Emotional Lability Q2,I have much stronger emotional reactions than almost everyone else,FacetQuestion
emotional03,Emotional Lability Q3,I am a highly emotional person,FacetQuestion
emotional04,Emotional Lability Q4,I get emotional easily often for very little reason,FacetQuestion
emotional05,Emotional Lability Q5,I never know where my emotions will go from moment to moment,FacetQuestion
emotional06,Emotional Lability Q6,I get emotional over every little thing,FacetQuestion
emotional07,Emotional Lability Q7,My emotions are unpredictable,FacetQuestion
grandiosi01,Grandiosity Q1,To be honest i am just more important than other people,FacetQuestion
grandiosi02,Grandiosity Q2,I have outstanding qualities that few others possess,FacetQuestion
grandiosi03,Grandiosity Q3,I am better than almost everyone else,FacetQuestion
grandiosi04,Grandiosity Q4,I have achieved far more than almost anyone i know,FacetQuestion
grandiosi05,Grandiosity Q5,I deserve special treatment,FacetQuestion
grandiosi06,Grandiosity Q6,I often have to deal with people who are less important than me,FacetQuestion
hostility01,Hostility Q1,I snap at people when they do little things that irritate me,FacetQuestion
hostility02,Hostility Q2,I can be mean when i need to be,FacetQuestion
hostility03,Hostility Q3,I am easily angered,FacetQuestion
hostility04,Hostility Q4,I resent being told what to do even by people in charge,FacetQuestion
hostility05,Hostility Q5,I have a very short temper,FacetQuestion
hostility06,Hostility Q6,I always make sure i get back at people who wrong me,FacetQuestion
hostility07,Hostility Q7,I get irritated easily by all sorts of things,FacetQuestion
hostility08,Hostility Q8,I am usually pretty hostile,FacetQuestion
hostility09,Hostility Q9,It makes me really angry when people insult me in even a minor way,FacetQuestion
hostility10,Hostility Q10,I am nasty and short to anybody who deserves it,FacetQuestion
impulsivi01,Impulsivity Q1,I feel like i act totally on impulse,FacetQuestion
impulsivi02,Impulsivity Q2,I usually do things on impulse without thinking about what might happen as a result,FacetQuestion
impulsivi03,Impulsivity Q3,Even though i know better i can not stop making rash decisions,FacetQuestion
impulsivi04,Impulsivity Q4,I always do things on the spur of the moment,FacetQuestion
impulsivi05,Impulsivity Q5,I usually think before i act,FacetQuestion
impulsivi06,Impulsivity Q6,I am very impulsive,FacetQuestion
intimacya01,Intimacy Avoidance Q1,I prefer to keep romance out of my life,FacetQuestion
intimacya02,Intimacy Avoidance Q2,I enjoy being in love,FacetQuestion
intimacya03,Intimacy Avoidance Q3,I break off relationships if they start to get close,FacetQuestion
intimacya04,Intimacy Avoidance Q4,I am just not very interested in having sexual relationships,FacetQuestion
intimacya05,Intimacy Avoidance Q5,I steer clear of romantic relationships,FacetQuestion
intimacya06,Intimacy Avoidance Q6,I prefer being alone to having a close romantic partner,FacetQuestion
irrespons01,Irresponsibility Q1,Others see me as irresponsible,FacetQuestion
irrespons02,Irresponsibility Q2,I am often pretty careless with my own and others’ things,FacetQuestion
irrespons03,Irresponsibility Q3,I make promises that i do not really intend to keep,FacetQuestion
irrespons04,Irresponsibility Q4,I often forget to pay my bills,FacetQuestion
irrespons05,Irresponsibility Q5,I have skipped town to avoid responsibilities,FacetQuestion
irrespons06,Irresponsibility Q6,I just skip appointments or meetings if i am not in the mood,FacetQuestion
irrespons07,Irresponsibility Q7,I follow through on commitments,FacetQuestion
manipulat01,Manipulativeness Q1,I am good at making people do what i want them to do,FacetQuestion
manipulat02,Manipulativeness Q2,Sweet-talking others helps me get what i want,FacetQuestion
manipulat03,Manipulativeness Q3,I am good at conning people,FacetQuestion
manipulat04,Manipulativeness Q4,I can certainly turn on the charm if i need to get my way,FacetQuestion
manipulat05,Manipulativeness Q5,It is easy for me to take advantage of others,FacetQuestion
perceptua01,Perceptual Dysregulation Q1,I can have trouble telling the difference between dreams and waking life,FacetQuestion
perceptua02,Perceptual Dysregulation Q2,Sometimes i get this weird feeling that parts of my body feel like they are dead or not really me,FacetQuestion
perceptua03,Perceptual Dysregulation Q3,People often talk about me doing things i do not remember at all,FacetQuestion
perceptua04,Perceptual Dysregulation Q4,It is weird but sometimes ordinary objects seem to be a different shape than usual,FacetQuestion
perceptua05,Perceptual Dysregulation Q5,I often see vivid dream-like images when i am falling asleep or waking up,FacetQuestion
perceptua06,Perceptual Dysregulation Q6,Sometimes when i look at a familiar object it is somehow like i am seeing it for the first time,FacetQuestion
perceptua07,Perceptual Dysregulation Q7,I often can not control what i think about,FacetQuestion
perceptua08,Perceptual Dysregulation Q8,Sometimes i feel controlled by thoughts that belong to someone else,FacetQuestion
perceptua09,Perceptual Dysregulation Q9,Sometimes i think someone else is removing thoughts from my head,FacetQuestion
perceptua10,Perceptual Dysregulation Q10,I have periods in which i feel disconnected from the world or from myself,FacetQuestion
perceptua11,Perceptual Dysregulation Q11,I often zone out and then suddenly come to and realize that a lot of time has passed,FacetQuestion
perceptua12,Perceptual Dysregulation Q12,Things around me often feel unreal or more real than usual,FacetQuestion
persevera01,Perseveration Q1,It is hard for me to stop an activity even when it is time to do so,FacetQuestion
persevera02,Perseveration Q2,I have missed out on things because i was busy trying to get something i was doing exactly right,FacetQuestion
persevera03,Perseveration Q3,I keep approaching things the same way even when it is not working,FacetQuestion
persevera04,Perseveration Q4,It is hard for me to shift from one activity to another,FacetQuestion
persevera05,Perseveration Q5,I have trouble changing how i am doing something even if what i am doing is not going well,FacetQuestion
persevera06,Perseveration Q6,I get fixated on certain things and can not stop,FacetQuestion
persevera07,Perseveration Q7,I get stuck on things a lot,FacetQuestion
persevera08,Perseveration Q8,I get stuck on one way of doing things even when it is clear it will not work,FacetQuestion
persevera09,Perseveration Q9,I feel compelled to go on with things even when it makes little sense to do so,FacetQuestion
restricte01,Restricted Affectivity Q1,When it comes to my emotions people tell me i am a cold fish,FacetQuestion
restricte02,Restricted Affectivity Q2,I do not have very long-lasting emotional reactions to things,FacetQuestion
restricte03,Restricted Affectivity Q3,I do not get emotional,FacetQuestion
restricte04,Restricted Affectivity Q4,I do not show emotions strongly,FacetQuestion
restricte05,Restricted Affectivity Q5,People tell me it is difficult to know what i am feeling,FacetQuestion
restricte06,Restricted Affectivity Q6,I never show emotions to others,FacetQuestion
restricte07,Restricted Affectivity Q7,I do not react much to things that seem to make others emotional,FacetQuestion
rigidperf01,Rigid Perfectionism Q1,I have been told that i spend too much time making sure things are exactly in place,FacetQuestion
rigidperf02,Rigid Perfectionism Q2,People tell me that i focus too much on minor details,FacetQuestion
rigidperf03,Rigid Perfectionism Q3,If something i do is not absolutely perfect it is simply not acceptable,FacetQuestion
rigidperf04,Rigid Perfectionism Q4,People complain about my need to have everything all arranged,FacetQuestion
rigidperf05,Rigid Perfectionism Q5,Even though it drives other people crazy i insist on absolute perfection in everything i do,FacetQuestion
rigidperf06,Rigid Perfectionism Q6,I check things several times to make sure they are perfect,FacetQuestion
rigidperf07,Rigid Perfectionism Q7,It is important to me that things are done in a certain way,FacetQuestion
rigidperf08,Rigid Perfectionism Q8,I keep trying to make things perfect even when i have gotten them as good as they are likely to get,FacetQuestion
rigidperf09,Rigid Perfectionism Q9,I simply will not put up with things being out of their proper places,FacetQuestion
rigidperf10,Rigid Perfectionism Q10,I have a strict way of doing things,FacetQuestion
risktakin01,Risk Taking Q1,People would describe me as reckless,FacetQuestion
risktakin02,Risk Taking Q2,I avoid risky situations,FacetQuestion
risktakin03,Risk Taking Q3,I avoid risky sports and activities,FacetQuestion
risktakin04,Risk Taking Q4,I have no limits when it comes to doing dangerous things,FacetQuestion
risktakin05,Risk Taking Q5,I do a lot of things that others consider risky,FacetQuestion
risktakin06,Risk Taking Q6,I like to take risks,FacetQuestion
risktakin07,Risk Taking Q7,When i want to do something i do not let the possibility that it might be risky stop me,FacetQuestion
risktakin08,Risk Taking Q8,I avoid anything that might be even a little bit dangerous,FacetQuestion
risktakin09,Risk Taking Q9,I prefer to play it safe rather than take unnecessary chances,FacetQuestion
risktakin10,Risk Taking Q10,I do not mind a little risk now and then,FacetQuestion
risktakin11,Risk Taking Q11,I do what i want regardless of how unsafe it might be,FacetQuestion
risktakin12,Risk Taking Q12,I never take risks,FacetQuestion
risktakin13,Risk Taking Q13,I do not think about getting hurt when i am doing things that might be dangerous,FacetQuestion
risktakin14,Risk Taking Q14,I hate to take chances,FacetQuestion
separatio01,Separation Insecurity Q1,I dread being without someone to love me,FacetQuestion
separatio02,Separation Insecurity Q2,I worry a lot about being alone,FacetQuestion
separatio03,Separation Insecurity Q3,I hade rather be in a bad relationship than be alone,FacetQuestion
separatio04,Separation Insecurity Q4,I can not stand being left alone even for a few hours,FacetQuestion
separatio05,Separation Insecurity Q5,I fear being alone in life more than anything else,FacetQuestion
separatio06,Separation Insecurity Q6,I will do just about anything to keep someone from abandoning me,FacetQuestion
separatio07,Separation Insecurity Q7,I never want to be alone,FacetQuestion
submissiv01,Submissiveness Q1,I change what i do depending on what others want,FacetQuestion
submissiv02,Submissiveness Q2,I usually do what others think i should do,FacetQuestion
submissiv03,Submissiveness Q3,I do what other people tell me to do,FacetQuestion
submissiv04,Submissiveness Q4,I try to do what others want me to do,FacetQuestion
suspiciou01,Suspiciousness Q1,Plenty of people are out to get me,FacetQuestion
suspiciou02,Suspiciousness Q2,Others would take advantage of me if they could,FacetQuestion
suspiciou03,Suspiciousness Q3,I am always on my guard for someone trying to trick or harm me,FacetQuestion
suspiciou04,Suspiciousness Q4,People are basically trustworthy,FacetQuestion
suspiciou05,Suspiciousness Q5,It seems like i am always getting a raw deal from others,FacetQuestion
suspiciou06,Suspiciousness Q6,I rarely feel that people i know are trying to take advantage of me,FacetQuestion
suspiciou07,Suspiciousness Q7,I suspect that even my so-called friends betray me a lot,FacetQuestion
unusualbe01,Unusual Beliefs & Experiences Q1,I have some unusual abilities like sometimes knowing exactly what someone is thinking,FacetQuestion
unusualbe02,Unusual Beliefs & Experiences Q2,I sometimes have heard things that others could not hear,FacetQuestion
unusualbe03,Unusual Beliefs & Experiences Q3,I often have unusual experiences such as sensing the presence of someone who is not actually there,FacetQuestion
unusualbe04,Unusual Beliefs & Experiences Q4,I have seen things that were not really there,FacetQuestion
unusualbe05,Unusual Beliefs & Experiences Q5,I believe that some people can move things with their minds,FacetQuestion
unusualbe06,Unusual Beliefs & Experiences Q6,Sometimes i can influence other people just by sending my thoughts to them,FacetQuestion
unusualbe07,Unusual Beliefs & Experiences Q7,I often see unusual connections between things that most people miss,FacetQuestion
unusualbe08,Unusual Beliefs & Experiences Q8,I have had some really weird experiences that are very difficult to explain,FacetQuestion
withdrawa01,Withdrawal Q1,I prefer not to get too close to people,FacetQuestion
withdrawa02,Withdrawal Q2,I keep to myself,FacetQuestion
withdrawa03,Withdrawal Q3,I go out of my way to avoid any kind of group activity,FacetQuestion
withdrawa04,Withdrawal Q4,I keep my distance from people,FacetQuestion
withdrawa05,Withdrawal Q5,I do not like spending time with others,FacetQuestion
withdrawa06,Withdrawal Q6,I am not interested in making friends,FacetQuestion
withdrawa07,Withdrawal Q7,I say as little as possible when dealing with people,FacetQuestion
withdrawa08,Withdrawal Q8,I do not like to get too close to people,FacetQuestion
withdrawa09,Withdrawal Q9,I do not deal with people unless i have to,FacetQuestion
withdrawa10,Withdrawal Q10,I avoid social events,FacetQuestion
