nepskeyID:ID,name,title,:LABEL
neps0702,NEPS-702,GS4658E Contracting officer has been suspended in warrants' hard edit thrown ,NEPSKey
neps0703,NEPS-703,Batch Job Search Criteria for Time Stamp ,NEPSKey
neps0704,NEPS-704,FPDS-NG CAR Created With eSign FPDS NGBypass as TRUE ,NEPSKey
neps0705,NEPS-705,Unable to view attachments in VSS ,NEPSKey
neps0706,NEPS-706,Security Organization Reassignment Enforce Security Not Functioning Properly ,NEPSKey;Duplicate
neps0707,NEPS-707,Number of Offers 10D not Mapping to FPDS ,NEPSKey
neps0708,NEPS-708,unexpected error occurred in get method ,NEPSKey;Duplicate;Workaround
neps0709,NEPS-709,Importing PRDS modification removes all CDRL lines ,NEPSKey
neps0710,NEPS-710,PDS 2.6 Modified Attachments have same content in Changed section for Current and Previous ,NEPSKey
neps0711,NEPS-711,Handle Foreign addresses based on appropriate formatting rules for Navy ePS DODAAC job ,NEPSKey;Workaround
neps0712,NEPS-712,Patch MM 25261 + PDS Mod Export FoBDetails Not Working with Added and Deleted Case ,NEPSKey
neps0714,NEPS-714,PDS 2.6 Export IDIQ Contracts should not be exporting with <ProcurementInstrumentVehicle> of Schedule ,NEPSKey
neps0715,NEPS-715,VSS Guest users are unable to view public attachments on Announcements and Solicitation ,NEPSKey;Duplicate;Workaround
neps0716,NEPS-716,PDS 2.6 PDS_PRDS Import_Export Support One Itemized Line to Many Accounting Lines ,NEPSKey;Workaround
neps0717,NEPS-717,Add Fields via Metadata Extensibility ,NEPSKey
neps0718,NEPS-718,Attachments will not delete on document correspondence. ,NEPSKey
neps0719,NEPS-719,Configure eSign integrations on AWS IT ePS Environment ,NEPSKey
neps0720,NEPS-720,Debugging SAM Reps and Certs Vendor Query Installation ,NEPSKey;Workaround
neps0721,NEPS-721,VSS Installation on PI6 ,NEPSKey;Duplicate
neps0722,NEPS-722,Server Error AS0067E Database request Error in Closeout Checklist_Closeout ,NEPSKey
neps0723,NEPS-723,Replace Functionality in Itemized Lines within AWD ,NEPSKey
neps0724,NEPS-724,Error Printing Contract Completion statement in IT Testing ,NEPSKey;Workaround
neps0725,NEPS-725,Itemized Lines are displaying as highlighted when user navigates away from page and comes back ,NEPSKey;Duplicate
neps0726,NEPS-726,FPDS-NG Base and Exercised Options Amount 3B Includes Unexercised Option Amounts ,NEPSKey
neps0727,NEPS-727,PDS 2.6 Surveillance Criticality Designator ,NEPSKey
neps0728,NEPS-728,Acquisitions Documents Copy Forward Attachment Causes JCR Error ,NEPSKey;Duplicate
neps0729,NEPS-729,PDS 2.6 Momentum should replace U mod number with appropriate or P Mod numbers before ,NEPSKey
neps0730,NEPS-730,AQ0006I returned importing PRDS modification files ,NEPSKey;Duplicate
neps0731,NEPS-731,Copy records from Workload Options MF_WKLD_RCMM_RULE ,NEPSKey;Workaround
neps0732,NEPS-732,Solicitation Set Asides are not transmitted to SAM.gov Contract Opps ,NEPSKey;Duplicate
neps0733,NEPS-733,Closeout Query does not Refresh Excess Funds ,NEPSKey;Duplicate
neps0734,NEPS-734,Server Error AS0067E Database Request Error when selecting SOL to Copy Forward ,NEPSKey
neps0735,NEPS-735,FPDS-NG Tab missing when creating AWD ,NEPSKey;Workaround
neps0736,NEPS-736,FfsAwardAmendment::CopyFromAspects calls wrong parent implementation ,NEPSKey;Duplicate
neps0737,NEPS-737,Provide document vendor agreement for Bilateral mod that cannot be digitally signed ,NEPSKey;Workaround
neps0738,NEPS-738,Copying From Child Lines Without Associated Parent Line Allowed ,NEPSKey;Workaround
neps0739,NEPS-739,Copying Milestone Templates Lead to Database Error ,NEPSKey;Duplicate
neps0740,NEPS-740,Open Issue from IT Testing WebEx Session TC00100.3_083 ,NEPSKey;Working_As_Designed
neps0741,NEPS-741,Solicitation Reference should not be required for Special Notice Announcement SAM.gov Contract Opps ,NEPSKey
neps0742,NEPS-742,PDS 2.6 Import only UnhandledException when AttachmentDataFormat missing from Attachments ,NEPSKey
neps0743,NEPS-743,Attachment error in integration server log ,NEPSKey
neps0744,NEPS-744,BASIC Security Role changes in Day One ,NEPSKey;Workaround
neps0745,NEPS-745,PDS 2.6 Import LimitDescription = Allowed Per Order ,NEPSKey;Workaround
neps0746,NEPS-746,EVF Configuration Utility does not read in JDBC Adapter properties from Common ,NEPSKey;Duplicate
neps0747,NEPS-747,DoDAAD batch job Procurement flag update ,NEPSKey;Workaround
neps0748,NEPS-748,Security Category box appearance ,NEPSKey;Working_As_Designed
neps0749,NEPS-749,FPDS-NG Data Dictionary capabilities functionality ,NEPSKey;Workaround
neps0750,NEPS-750,Remove Error GS4468E There are 2 Delivery Date Options specified and only one permitted. ,NEPSKey;Duplicate;Workaround
neps0751,NEPS-751,GS0003E improperly issued on QO modification when document date within QO PoP Dates ,NEPSKey
neps0752,NEPS-752,Approval Routing Missing from Interfaced PRE Purchase Request ,NEPSKey
neps0753,NEPS-753,Generate SOC not displaying clause updates ,NEPSKey
neps0755,NEPS-755,FPDS-NG Reason for Modification 12C on FPDS NGtab not transmitting to FPDS ,NEPSKey;Workaround
neps0757,NEPS-757,PDS 2.6 Export PricingArrangementBase should always be exported from Represented Contract and not from referenced documents ,NEPSKey
neps0758,NEPS-758,Choosing Lines to Copy on QA Acct Line Does Not Copy Select Lines ,NEPSKey
neps0759,NEPS-759,Errors Associated with Limit Description Allowed-Per-Order ,NEPSKey
neps0760,NEPS-760,Incorrect attachment pulled for eSign on Award mods ,NEPSKey;Duplicate;Workaround
neps0761,NEPS-761,Changes tab on AWD mod screen causes system error ,NEPSKey
neps0762,NEPS-762,PDS 2.6 Export Funded Amount should not export at Header when Contract Type = Cost No Fee ,NEPSKey
neps0763,NEPS-763,User under policy that requires approval not going approval process when changing sec org ,NEPSKey;Workaround
neps0764,NEPS-764,Cannot process amendments created using Mass Modification Notebook ,NEPSKey
neps0765,NEPS-765,PDS 2.6 Export Modification ClauseVariation elements are not exported for DeletedClauses when variation or deviation has been deleted ,NEPSKey;Workaround
neps0766,NEPS-766,Notify Requesting Office when PRs have been Accepted ,NEPSKey
neps0767,NEPS-767,Prompt Pay Type Logged flag_checkbox Grayed out ,NEPSKey
neps0768,NEPS-768,PDS PRDS Export PricingArrangement not following business rules ,NEPSKey
neps0769,NEPS-769,SOL Form Freezes when T&Cs are added ,NEPSKey
neps0770,NEPS-770,FPDS-NG Several FPDS SAM Derived Business Designations Not saved on Finalized CAR ,NEPSKey;Working_As_Designed
neps0771,NEPS-771,Clauses with type command LOCAL imported using PDS import services are not mapped correctly ,NEPSKey;Duplicate
neps0772,NEPS-772,Marking Required Field in Contract File cause for Validations to Trigger during Creation ,NEPSKey
neps0773,NEPS-773,Error thrown in Registration Process of SAM Vendor in Momentum with more than one Address Code ,NEPSKey
neps0775,NEPS-775,Maximum Concurrent Users Reached Causing Workflow stuck in pending approval ,NEPSKey
neps0787,NEPS-787,PDS 2.6 PDS_PRDS Import_Export Government Obligation to Order Maximum Amount mapping incorrect ,NEPSKey
neps0788,NEPS-788,Document Number Format sequence DOES NOT restart when changing Document Number Format Teams ,NEPSKey
neps0789,NEPS-789,PDS 2.6 PRDS_PDS Import_Export Missing ItemOtherAmounts enumerations on PDS Export for CPAF CPFF ,NEPSKey
neps0790,NEPS-790,Unable to locate IUID and RFID fields ,NEPSKey
neps0791,NEPS-791,Award Amount Date Vendor required when Order provided ,NEPSKey;Duplicate
neps0792,NEPS-792,EffectiveDate field not there in import wsdl in instance 119 ,NEPSKey
neps0793,NEPS-793,PDS 2.6 Export Remove PI0095E error message for Product or Service dropdown ,NEPSKey
neps0794,NEPS-794,Unable to select itemized lines during copy forward ,NEPSKey;Duplicate
neps0795,NEPS-795,Mapped Fill in values update to null once user navigates away from Edit Fill in window ,NEPSKey
neps0796,NEPS-796,SF30 Form Type Unavailable ltest 130 ,NEPSKey;Workaround
neps0797,NEPS-797,Check DoD document number flag in document number format when checking 'I' and 'O' in document ,NEPSKey;Duplicate
neps0798,NEPS-798,Review Form task creation not routing to approvers ,NEPSKey;Working_As_Designed
neps0799,NEPS-799,PRDS UI Export Error thrown when attempting to export an amendment ,NEPSKey;Duplicate
neps0800,NEPS-800,QN errors ,NEPSKey;Working_As_Designed
neps0801,NEPS-801,Error Copying Workload Option ,NEPSKey
neps0802,NEPS-802,PDS 2.6 Import 500 Proxy Error when Importing documents with line level attachments ,NEPSKey
neps0803,NEPS-803,FPDS-NG Access Log Records for Form do not display ,NEPSKey;Duplicate
neps0804,NEPS-804,PR Categories are not showing up in Security Entries ,NEPSKey
neps0805,NEPS-805,Remove asterisk * from field Identifier on Search Contract File window ,NEPSKey
neps0806,NEPS-806,Unable to send 100 MB document to VSS ,NEPSKey
neps0807,NEPS-807,Concurrent Mods Conflict Resolution Modal should not return parent identity and originalCostTransactionAmount fields ,NEPSKey
neps0808,NEPS-808,Unable to render query results with Estimated End Date ,NEPSKey
neps0809,NEPS-809,Completed Fill Ins flags have no effect on mandatory fill in validation ,NEPSKey;Duplicate
neps0810,NEPS-810,PDS 2.6 Export Modification Error Two Validators do not Validate Amendment itemizedLine ,NEPSKey
neps0811,NEPS-811,Requestor Tracking Number Field not enabled ,NEPSKey
neps0812,NEPS-812,No Referential Integrity for Business Intelligence Reporting Roles ,NEPSKey
neps0813,NEPS-813,Receive Duplicate Clause Number error after patch in MM 15754 ,NEPSKey;Duplicate
neps0814,NEPS-814,PDS 2.6 Export Missing Ordering Period for IDIQ Contracts ,NEPSKey;Duplicate
neps0815,NEPS-815,Unable to import PDS XML file with FAR_DFARS clauses ,NEPSKey
neps0816,NEPS-816,Unable to Remove Milestone Task from Template on CCF ,NEPSKey
neps0817,NEPS-817,Post Contract Opportunities under Transmission Threshold ,NEPSKey
neps0818,NEPS-818,Removing Milestone_Task off of Workload Assignment Notebook triggers error message. ,NEPSKey;Duplicate
neps0819,NEPS-819,PDS 2.6 PRDS_PDS Import_Export Remove ReferenceDescription = Military Interdepartmental Purchase Request MIPR Number mapping ,NEPSKey
neps0820,NEPS-820,PDS 2.6 Import Discount Days not getting defaulted ,NEPSKey;Workaround
neps0821,NEPS-821,PDS 2.6 Export Unit Price included in PDS XML ,NEPSKey
neps0822,NEPS-822,Workload Options does not allow reference to Milestone Template Name that longer than 26 ,NEPSKey;Workaround
neps0823,NEPS-823,PDS 2.6 PDS_PRDS Files generated for UI export not deleted from temp folder immediately after user downloads them ,NEPSKey
neps0824,NEPS-824,Milestone_Task Query Advanced Search Tab Not Equal Query Not Displaying Values Correctly ,NEPSKey
neps0825,NEPS-825,Discount Days 1 2 3 expected to be 10 20 30 in SF33 and SF18 ,NEPSKey
neps0826,NEPS-826,Using Solicitation wsdl does not associate clauses with CLINS ,NEPSKey;Workaround
neps0827,NEPS-827,PDS 2.6 USZipCodeExtension missing and PRDS 3 Export ,NEPSKey;Duplicate
neps0828,NEPS-828,Liquidate Flag Doesnt Stay Checked Upon Save ,NEPSKey
neps0829,NEPS-829,PDS 2.6 Import Ordering Instrument Reference Doesnt Populate on QO PDS Import ,NEPSKey
neps0830,NEPS-830,Optional Clause Fill ins are triggering an error indicating they are mandatory and required ,NEPSKey
neps0831,NEPS-831,Log Audit Query for Warrants not providing unique Unique Record Identifier ,NEPSKey;Duplicate
neps0832,NEPS-832,OPLK error returned when submitting an Amendment Form enabled for DoD Modification Number ,NEPSKey;Duplicate
neps0833,NEPS-833,PDS 2.6 PRDS Export Large UnitPrices are exporting in scientific notation ,NEPSKey
neps0834,NEPS-834,Missing procurement actions_instrument types ,NEPSKey
neps0835,NEPS-835,SAM Contract Opportunities Draft Notice Preview button hidden ,NEPSKey;Duplicate
neps0836,NEPS-836,System Error when creating Local Clause in ePS System Test Environment ,NEPSKey;Duplicate
neps0837,NEPS-837,PDS 2.6 BusinessType Foreign Owned and Located and U.S. Federal Government no longer valid enumeration ,NEPSKey
neps0838,NEPS-838,PDS 2.6 Export Modification Header DeliveryDate not exported if added or deleted on modification ,NEPSKey
neps0839,NEPS-839,Contract File Owner ID Updated by User who not an Adminstrator ,NEPSKey
neps0840,NEPS-840,Choose Which Lines to Copy Forward displays Itemized Lines out of order in specific scenario ,NEPSKey;Duplicate
neps0841,NEPS-841,PDS 2.6 Import_Export FAR Clauses with missing Effective Date ,NEPSKey;Duplicate
neps0842,NEPS-842,PDS 2.6 Export Modification Attachments Offices are not shown in Deleted or Added section ,NEPSKey
neps0843,NEPS-843,Task_Milestone Details Modal on Gantt View Clearing Fields ,NEPSKey
neps0844,NEPS-844,PDS 2.6 PRDS_PDS Import_Export Unable to Import_Export PRDS_PDS with 100mb document ,NEPSKey
neps0845,NEPS-845,User with security permissions to manage Site ID maintenance table receives unexpected security error ,NEPSKey
neps0846,NEPS-846,eSignature System Setting ,NEPSKey
neps0847,NEPS-847,PDS 2.6 PRDS Export Do not send OtherAmount = any header OtherAmounts with exception of Header Only Contract ,NEPSKey
neps0848,NEPS-848,Edit Fill In option missing on clause 252.204 7007 for NAICS a1 ,NEPSKey;Duplicate
neps0849,NEPS-849,Unable to add text in clause block ,NEPSKey;Duplicate;Workaround
neps0850,NEPS-850,Workload Assignment Tasks remain in Workload Managers inbox ,NEPSKey
neps0851,NEPS-851,Fix loading solicitation using solicitation WSDL ,NEPSKey
neps0852,NEPS-852,Unlabeled dropdown appear on QA and QO line below Extended Description ,NEPSKey
neps0853,NEPS-853,PDS 2.6 Export error for unprocessed modifications ,NEPSKey
neps0854,NEPS-854,PDS 2.6 Export Modification ReferenceNumber section ,NEPSKey
neps0855,NEPS-855,PDS 2.6 Export On AWD Modification <MiscellaneousText> being populated incorrectly ,NEPSKey
neps0856,NEPS-856,Creating Amendment using SOAPUI U number assigned to Permanent Amendment number ,NEPSKey;Workaround
neps0857,NEPS-857,Load GENC Province Codes into ePS Environments ,NEPSKey
neps0858,NEPS-858,PDS 2.6 PRDS Export Cost Type Contracts should Export Total Estimated Cost not just Estimated Cost without FCCOM ,NEPSKey
neps0859,NEPS-859,AS0068E Document Attachment duplicate error ,NEPSKey;Duplicate
neps0860,NEPS-860,PDS 2.6 Import Unable to import XML file ,NEPSKey
neps0861,NEPS-861,Milestone task event associated with attachment type does not automatically update when attachment completed ,NEPSKey;Duplicate
neps0862,NEPS-862,External System Validations are OFF in CIT Test ePS Environment ,NEPSKey
neps0863,NEPS-863,Individual Order Call Limit 5C not Mapping to FPDS NGfor BPA Setup ,NEPSKey;Duplicate
neps0864,NEPS-864,VSS Duplicating Attachments When Amending Solicitations ,NEPSKey;Duplicate
neps0865,NEPS-865,PDS 2.6 Export PricingArrangement business rules are not being followed ,NEPSKey
neps0866,NEPS-866,Financial Reference tab not generating ,NEPSKey
neps0867,NEPS-867,Address fields not pulled when DoDaac provided. ,NEPSKey
neps0868,NEPS-868,BIRT server DeployUtililty fails when encrypt.passwords=true ,NEPSKey;Duplicate
neps0869,NEPS-869,PDS 2.6 PRDS_PDS erroneously transmits Contractor Address when no Contractor present on form ,NEPSKey
neps0870,NEPS-870,Open Issue from IT Testing WebEx Session TC00100.3_090 ,NEPSKey;Working_As_Designed
neps0894,NEPS-894,CS able to process changes corrections to previously processed announcement ,NEPSKey
neps0895,NEPS-895,Hide button to edit contract number on award doc header under form section ,NEPSKey;Workaround
neps0896,NEPS-896,HS2 Response Positive Response Showing Error ,NEPSKey;Workaround
neps0897,NEPS-897,GS4664E Review form has already been submitted to workflow and cannot submit it again. ,NEPSKey;Workaround
neps0916,NEPS-916,PR Amendment Number Truncated 1 to 1 ,NEPSKey
neps0917,NEPS-917,PDF files are posting to EDA base64 encoded ,NEPSKey;Workaround
neps0921,NEPS-921,PEGA Additional Forms Search Screen in AWS IT ,NEPSKey
neps0922,NEPS-922,SBCR form throwing Invalid DoDAAC Invalid Security Organization error ,NEPSKey
neps0924,NEPS-924,System for Award Management Contract Opportunities REST API enhancement ,NEPSKey;Enhancement;Workaround
neps0926,NEPS-926,PDS 2.6 PDS_PRDS Import_Export ReferenceDescription = NAICS not exported at header level ,NEPSKey
neps0927,NEPS-927,Clauses in Section I are printing in both Section G and Section I ,NEPSKey;Stylesheet;Workaround
neps0928,NEPS-928,System Rendered Contract PDF Incorrectly included in Section J of Contract ,NEPSKey;Stylesheet;Workaround
neps0929,NEPS-929,IQ_QS_QA_QO Itemized Line Renumbering Does Not Persist Upon Save ,NEPSKey;Workaround
neps0930,NEPS-930,Debugging SAM Real Time Vendor Query Error in AWS IT Env ,NEPSKey;Enhancement;Workaround;Working_As_Designed
neps0931,NEPS-931,FPDS-NG QA Validation FPDS_QA EVF Error [ISS.0085.9102] ,NEPSKey;Workaround
neps0932,NEPS-932,FPDS-NG CAR did not finalize ,NEPSKey;Working_As_Designed
neps0953,NEPS-953,Line Cost = Line Funding Edit Logic Updates Required ,NEPSKey;Workaround
neps0955,NEPS-955,PDS 2.6 and Funds Check External Validations Stuck in Process ,NEPSKey
neps0956,NEPS-956,VSS Registry ,NEPSKey;Workaround
neps0957,NEPS-957,Unable to view_download Rendered PDF contracts in AWS IT using Internet Explorer ,NEPSKey
neps0959,NEPS-959,SF1449 Header Fields are not mapped ORD Document type ,NEPSKey
neps0961,NEPS-961,Marking Milestone complete through status selection box does not populate Actual End Date ,NEPSKey;Stylesheet
neps0962,NEPS-962,Attachments are not transmitting to SAM ,NEPSKey
neps0963,NEPS-963,PDS 2.6 PDS_V_W_91 Error Issued when Local Clauses are Included ,NEPSKey;Workaround
neps0964,NEPS-964,Entry of Specification Number causing PDS_F_F_16 validation error ,NEPSKey;Workaround
neps0965,NEPS-965,SAM Reps and Cert issue in AWS IT Environment ,NEPSKey;Workaround
neps0966,NEPS-966,PDS 2.6 Export Header Only Total Contract Value field does not include Estimated Cost fields for Cost Type line ,NEPSKey
neps0967,NEPS-967,Subscribed users are not receiving baseline notifications for overdue Milestone Tasks in AWS IT ,NEPSKey;Workaround
neps0968,NEPS-968,VSS Missing Attachments in AWS IT ,NEPSKey;Workaround
neps0969,NEPS-969,Pentahos Interactive Report Export Feature Not Working ,NEPSKey
neps0970,NEPS-970,Cannot run external validation on award with line items associated clauses ,NEPSKey;Workaround
neps0971,NEPS-971,PDS 2.6 Export incorrectly including MILSTRIP ReferenceValue data for non MILSTRIP contracts ,NEPSKey
neps0972,NEPS-972,Copy With Options Functionality does not Copy Accounting Delivery Information on copied Sub Lines ,NEPSKey;Workaround
neps0973,NEPS-973,DODAAC not copying over for Office Addresses ,NEPSKey;Workaround
neps0974,NEPS-974,PDS 2.6 Export Pricing Arrangement Being Exported on both Separately Identified SLIN and Priced ELIN associated with SLIN ,NEPSKey;Workaround
neps0975,NEPS-975,PDS 2.6 Export RangeOrThresholdDiscounts_DiscountStructure required but not exported when Stepladder_QPB provided ,NEPSKey;Workaround
neps0976,NEPS-976,PDS 2.6 Export missing limits on D type contract ,NEPSKey
neps0977,NEPS-977,Modification cannot be extracted for PDS validation ,NEPSKey
neps0978,NEPS-978,PDS 2.6 Export Class mapping not found by map id error returned for exported Orders ,NEPSKey;Workaround
neps0980,NEPS-980,SRS 3.2.3 TEF 29 TEF 29.01 TEF 29.02 TOP 9 TOP 18; TC10000.1_001 TOP 11 ,NEPSKey;Observation
neps0981,NEPS-981,ePS Virtual IT Interfaces: Navy ERP to Navy ePS Interface TC00377.1 ,NEPSKey;Observation
neps0982,NEPS-982,Contract Closeout required data missing ,NEPSKey;Observation
neps0983,NEPS-983,ePS Virtual IT Interfaces: Navy ePS Interface to SAM Contract Opportunities and FPDS NG TC03737 1 ,NEPSKey;Observation
neps0984,NEPS-984,ePS Virtual IT Interfaces: Navy ERP to Navy ePS Interface TC00378 ,NEPSKey;Observation;Working_As_Designed
neps0985,NEPS-985,ePS Virtual IT Interfaces: Navy ERP to Navy ePS Interface TC00379 ,NEPSKey;Observation
neps0986,NEPS-986,ePS Virtual IT EDA and MOCAS TC00662.1 ,NEPSKey;Observation
neps0987,NEPS-987,ePS Virtual IT Interfaces: Navy ERP to Navy ePS Interface TC00380.1 ,NEPSKey;Observation
neps0988,NEPS-988,ePS Virtual IT Interfaces: Navy ERP to Navy ePS Interface TC00380.3 ,NEPSKey;Observation
neps0989,NEPS-989,ePS Virtual IT Interfaces: Navy ERP to Navy ePS Interface TC00380.2 ,NEPSKey;Observation
neps0990,NEPS-990,ePS Virtual IT Failed Not Tested Vivi TC00400.1_004 ,NEPSKey;Observation
neps0991,NEPS-991,Interface Team Comment TC00380.1 TC00378.1 TC00377.3 TC00332.1 TC00378.1 TC00379.1 TC00380.1 TC00662.1 TC00726.1 TC00727.1 TC03223.1 TC03737.2 ,NEPSKey;Observation
neps0992,NEPS-992,Interface Team Comment TC00332.1 TC00377.1 TC00377.1 TC00378.1 TC00377.3 TC00378.1 TC00379.1 TC00380.1 TC00439.1 TC00726.1 TC00727.1 TC03223.1 ,NEPSKey;Observation
neps0993,NEPS-993,Interface Team Comment TC00379.1 TC00377.1 TC00378.1 TC00377.3 TC00439.1 TC00726.1 TC00727.1 TC03223.1 ,NEPSKey;Observation
neps0994,NEPS-994,IT Daily Report ,NEPSKey;Observation
neps0995,NEPS-995,SBCR form throwing Invalid-DoDAAC-Invalid-Security-Organization error ,NEPSKey;Observation
neps0996,NEPS-996,ePS Virtual IT Miscellaneous Function TC005.2_010 ,NEPSKey;Workaround
neps0997,NEPS-997,ePS Virtual IT Failed Not Tested Misc Functional TC00100.6_005 ,NEPSKey;Observation
neps0999,NEPS-999,AWS IT Solicitation SAM Contract Opps and VSS transmission errors ,NEPSKey;Workaround
neps1000,NEPS-1000,Second Concurrent Modification Stuck in Held status ,NEPSKey;Workaround
neps1001,NEPS-1001,PDS 2.6 Export Ordering Period on ,NEPSKey;Duplicate;Workaround
neps1002,NEPS-1002,Award QA from Request IQ Financial Reference tab not generating distinct ACRN ,NEPSKey;Observation
neps1003,NEPS-1003,Workaround Production environment will be configured with additional resources ,NEPSKey;Observation
neps1004,NEPS-1004,Update TC00726.1 per IT Observations. ,NEPSKey;Observation
neps1005,NEPS-1005,Incorrect credentials associated with user. ,NEPSKey;Observation
neps1006,NEPS-1006,Navy ERP inbound PR test scripts TC00377.x ,NEPSKey;Observation
neps1007,NEPS-1007,SAM external validation message for SBA Certified 8a Program Participant Vendors ,NEPSKey;Observation
neps1008,NEPS-1008,Funds Check External Validations Stuck in Process ,NEPSKey;Workaround
neps1009,NEPS-1009,Incorrect credentials associated with user. ,NEPSKey;Observation
neps1010,NEPS-1010,Roles and permissions appear to be improperly configured. ,NEPSKey;Observation
neps1011,NEPS-1011,Many requirements removed from updated test case ,NEPSKey;Observation;Workaround
neps1018,NEPS-1018,HS1 User ACK Missing Revision Data Element ,NEPSKey
neps1019,NEPS-1019,HS1 ACK 2 system ACK Revision number incorrect ,NEPSKey
neps1020,NEPS-1020,Credit Card # Last 6 Digits: Dropping Leading Zeros ,NEPSKey;Navy_Does_Not_Concur;Workaround
neps1021,NEPS-1021,IT05 Badly formed test case 1 PRDS XML not being logged in ESB and no response ,NEPSKey
neps1022,NEPS-1022,IT07 HS3 Contract Award missing Signature Date ,NEPSKey;Workaround
neps1023,NEPS-1023,PDS 2.6 Export Clause Fillins map both value and tag to insert fillins ,NEPSKey;Observation;Workaround
neps1026,NEPS-1026,PR Amendment Failing AS0067E Database request Error ,NEPSKey
neps1027,NEPS-1027,PDS 2.6 PRDS Export Remove AQ0012E PDS edit ,NEPSKey;Workaround
neps1029,NEPS-1029,Re directed to User Login Page when Accessing Pega after logging into ePS via SSO ,NEPSKey;Workaround
neps1032,NEPS-1032,Test Case updates for ESE 1 ESE 2 and ESE 3 ,NEPSKey;Observation;Workaround
neps1039,NEPS-1039,Question Regarding vulnerability in Momentum online help around XSS ,NEPSKey;Workaround
neps1040,NEPS-1040,Improve handling of src parameter to mapping.jsp ,NEPSKey;Workaround
neps1041,NEPS-1041,Improve handling of executableName field on BatchJob class ,NEPSKey
neps1042,NEPS-1042,Remove ClearCaches.jsp from ePS momex deploy ,NEPSKey
neps1043,NEPS-1043,Change admin console default passwords ,NEPSKey
neps1044,NEPS-1044,New security roles based on DPC profiles ,NEPSKey
neps1047,NEPS-1047,Adapter Service error arises when executing PDS and FC External System Validation ,NEPSKey
neps1049,NEPS-1049,Refresh of AWS IT Environment with Day 1 Configuration ,NEPSKey
neps1051,NEPS-1051,Update 2 EVF response processing success_failure ,NEPSKey
neps1075,NEPS-1075,JA Announcements are not transmitting Attachments to Alpha.SAM.gov ,NEPSKey
neps1076,NEPS-1076,Attachment Not Transmitting to SAM.gov Due to Size Limitation ,NEPSKey;Workaround
neps1079,NEPS-1079,Test requirements IFP 7 and IFP 8 ,NEPSKey;Observation
