CognitiveBiasCategory,categoryID:ID,CognitiveBiasType,typeID:ID,CognitiveBias,cognitivebiasID:ID
Social,social,Attribution Bias,attributionbias,Group attribution error,groupattributionerror
Social,social,Attribution Bias,attributionbias,Hostile attribution bias,hostileattributionbias
Social,social,Attribution Bias,attributionbias,Intentionality bias,intentionalitybias
Social,social,Attribution Bias,attributionbias,Just-world hypothesis,justworldhypothesis
Social,social,Attribution Bias,attributionbias,Moral luck,moralluck
Social,social,Attribution Bias,attributionbias,Puritanical bias,puritanicalbias
Social,social,Attribution Bias,attributionbias,Pygmalion effect,pygmalioneffect
Social,social,Attribution Bias,attributionbias,Reactive devaluation,reactivedevaluation
Social,social,Attribution Bias,attributionbias,Self-serving bias,selfservingbias
Social,social,Attribution Bias,attributionbias,Shared information bias,sharedinformationbias
Social,social,Attribution Bias,attributionbias,Ultimate attribution error,ultimateattributionerror
Social,social,Cognitive Dissonance,cognitivedissonance,Ben Franklin effect,benfranklineffect
Social,social,Conformity Bias,conformitybias,Availability cascade,availabilitycascade
Social,social,Conformity Bias,conformitybias,Bandwagon effect,bandwagoneffect
Social,social,Conformity Bias,conformitybias,Courtesy bias,courtesybias
Social,social,Conformity Bias,conformitybias,Groupthink,groupthink
Social,social,Conformity Bias,conformitybias,Social desirability bias,socialdesirabilitybias
Social,social,Egocentric Bias,egocentricbias,Bias blind spot,biasblindspot
Social,social,Egocentric Bias,egocentricbias,Defensive attribution hypothesis,defensiveattributionhypothesis
Social,social,Egocentric Bias,egocentricbias,Egocentric bias,egocentricbias
Social,social,Egocentric Bias,egocentricbias,False consensus effect,falseconsensuseffect
Social,social,Egocentric Bias,egocentricbias,False uniqueness bias,falseuniquenessbias
Social,social,Egocentric Bias,egocentricbias,Illusion of asymmetric insight,illusionofasymmetricinsight
Social,social,Egocentric Bias,egocentricbias,Illusion of transparency,illusionoftransparency
Social,social,Egocentric Bias,egocentricbias,Illusory superiority,illusorysuperiority
Social,social,Egocentric Bias,egocentricbias,Naïve cynicism,naïvecynicism
Social,social,Egocentric Bias,egocentricbias,Naïve realism,naïverealism
Social,social,Egocentric Bias,egocentricbias,Third-person effect,thirdpersoneffect
Social,social,Egocentric Bias,egocentricbias,Trait ascription bias,traitascriptionbias
Social,social,Egocentric Bias,egocentricbias,Worse-than-average effect,worsethanaverageeffect
Social,social,Extension Neglect,extensionneglect,Social comparison bias,socialcomparisonbias
Social,social,False Priors,falsepriors,Sexual overperception bias  or  Sexual underperception bias,sexualoverperceptionbiasorsexualunderperceptionbias
Social,social,Ingroup Bias,ingroupbias,Ingroup bias,ingroupbias
Social,social,Ingroup Bias,ingroupbias,Not invented here,notinventedhere
Social,social,Ingroup Bias,ingroupbias,Outgroup homogeneity bias,outgrouphomogeneitybias
Social,social,Prospect Theory,prospecttheory,Reactance,reactance
